Character, Abs. Freq., Rel. Freq.
端,2,7843
用,8,31373
動,2,7843
窮,2,7843
知,2,7843
物,2,7843
殺,4,15686
盛,2,7843
肖,2,7843
地,2,7843
傷,6,23529
水,6,23529
秉,2,7843
求,4,15686
將,2,7843
郭,2,7843
貪,6,23529
凶,2,7843
要,2,7843
犯,4,15686
終,4,15686
爵,2,7843
江,2,7843
俗,2,7843
保,4,15686
白,4,15686
造,2,7843
制,4,15686
觀,2,7843
賞,2,7843
業,2,7843
疑,6,23529
滅,2,7843
鄙,4,15686
邑,2,7843
盡,2,7843
傑,6,23529
千,2,7843
化,6,23529
無,14,54902
急,2,7843
集,2,7843
威,6,23529
除,2,7843
平,6,23529
均,2,7843
勝,4,15686
蔽,2,7843
弱,2,7843
魚,2,7843
懼,2,7843
臣,24,94118
亂,12,47059
里,2,7843
全,4,15686
惡,16,62745
機,2,7843
生,6,23529
王,2,7843
絲,2,7843
和,2,7843
首,2,7843
家,2,7843
受,6,23529
致,16,62745
圖,2,7843
累,2,7843
扶,2,7843
審,2,7843
憂,2,7843
教,2,7843
儲,2,7843
殊,2,7843
夜,2,7843
測,2,7843
禮,10,39216
招,2,7843
夙,2,7843
同,2,7843
；,8,31373
迎,2,7843
寧,2,7843
尊,4,15686
時,2,7843
享,2,7843
思,2,7843
石,2,7843
天,20,78431
非,4,15686
富,2,7843
抱,2,7843
惑,4,15686
讎,6,23529
務,4,15686
路,6,23529
金,2,7843
樂,36,141176
據,2,7843
治,14,54902
正,2,7843
節,8,31373
德,18,70588
仁,6,23529
職,2,7843
擠,2,7843
微,4,15686
掃,2,7843
建,2,7843
萬,4,15686
外,4,15686
逆,8,31373
食,2,7843
作,4,15686
低,2,7843
政,20,78431
通,6,23529
荒,2,7843
士,10,39216
殃,2,7843
昏,2,7843
揚,2,7843
帛,2,7843
立,4,15686
兵,4,15686
大,2,7843
嫉,2,7843
心,8,31373
降,12,47059
蟲,2,7843
潛,2,7843
內,6,23529
安,12,47059
寐,2,7843
河,2,7843
淡,2,7843
多,4,15686
常,2,7843
美,2,7843
邦,2,7843
聚,2,7843
行,10,39216
虛,2,7843
佚,4,15686
勢,2,7843
勞,4,15686
乖,4,15686
蹈,2,7843
序,2,7843
禍,6,23529
孫,2,7843
恬,2,7843
散,2,7843
死,2,7843
源,2,7843
上,8,31373
還,2,7843
身,6,23529
釋,4,15686
都,2,7843
善,10,39216
利,8,31373
興,2,7843
怨,8,31373
竹,4,15686
使,10,39216
道,28,109804
合,4,15686
絕,2,7843
溉,2,7843
消,2,7843
城,2,7843
祥,2,7843
賊,2,7843
力,2,7843
殘,4,15686
百,8,31373
報,2,7843
獲,2,7843
患,2,7843
位,4,15686
姦,2,7843
收,2,7843
一,20,78431
重,2,7843
久,6,23529
害,6,23529
順,6,23529
體,10,39216
尚,2,7843
令,14,54902
臨,2,7843
佑,2,7843
竭,2,7843
賢,28,109804
人,66,258824
謀,4,15686
舍,4,15686
極,2,7843
廣,4,15686
修,4,15686
階,2,7843
主,6,23529
宜,4,15686
慕,2,7843
敗,4,15686
豪,6,23529
成,4,15686
聖,16,62745
及,6,23529
忠,2,7843
刑,2,7843
討,4,15686
危,4,15686
國,28,109804
歸,8,31373
亡,6,23529
處,4,15686
游,2,7843
命,4,15686
貧,2,7843
誅,8,31373
結,2,7843
世,8,31373
邪,8,31373
火,2,7843
功,6,23529
墜,2,7843
福,4,15686
己,8,31373
昆,2,7843
近,8,31373
克,2,7843
施,4,15686
流,2,7843
進,6,23529
民,18,70588
器,2,7843
爝,2,7843
衰,4,15686
定,4,15686
澤,6,23529
欲,2,7843
明,6,23529
失,18,70588
名,16,62745
彰,2,7843
廢,2,7843
高,2,7843
隱,2,7843
脅,2,7843
敢,2,7843
暴,2,7843
遠,6,23529
救,4,15686
拘,2,7843
當,4,15686
發,2,7843
徵,2,7843
惻,2,7843
傳,2,7843
長,2,7843
親,2,7843
決,4,15686
強,4,15686
奉,2,7843
義,14,54902
清,6,23529
君,24,94118
優,2,7843
斃,2,7843
加,4,15686
就,2,7843
祿,4,15686
