Character, Abs. Freq., Rel. Freq.
矩,2,12563
會,2,12563
威,14,87940
離,2,12563
色,2,12563
流,2,12563
珍,2,12563
定,4,25126
治,2,12563
因,2,12563
民,2,12563
仁,4,25126
自,2,12563
變,4,25126
合,2,12563
鳥,2,12563
謀,6,37688
知,2,12563
相,4,25126
設,4,25126
曉,8,50251
附,2,12563
凶,2,12563
衰,10,62814
略,20,125628
藏,2,12563
祝,2,12563
雄,6,37688
貪,4,25126
制,6,37688
諸,2,12563
顯,2,12563
吉,2,12563
太,2,12563
觀,2,12563
姓,2,12563
師,12,75377
策,2,12563
叛,4,25126
邀,2,12563
位,4,25126
將,4,25126
失,4,25126
法,2,12563
蹶,2,12563
微,2,12563
使,18,113065
天,10,62814
顧,2,12563
決,2,12563
施,2,12563
疏,2,12563
情,2,12563
方,2,12563
害,4,25126
令,2,12563
審,4,25126
移,2,12563
軍,18,113065
古,2,12563
：,20,125628
行,8,50251
趨,2,12563
竭,2,12563
階,2,12563
嫌,2,12563
退,4,25126
戰,2,12563
霸,6,37688
兵,2,12563
立,2,12563
稷,2,12563
多,4,25126
譎,2,12563
作,4,25126
內,2,12563
高,2,12563
說,2,12563
化,4,25126
富,2,12563
勢,16,100503
秘,2,12563
危,2,12563
世,6,37688
澤,2,12563
疑,6,37688
甲,2,12563
皇,2,12563
伯,2,12563
非,8,50251
滅,2,12563
賢,6,37688
鬥,2,12563
存,4,25126
國,12,75377
命,2,12563
智,8,50251
御,6,37688
歸,2,12563
朝,2,12563
事,2,12563
全,2,12563
職,2,12563
談,2,12563
封,2,12563
弱,4,25126
計,2,12563
成,6,37688
紀,2,12563
差,2,12563
勿,2,12563
帝,2,12563
愚,4,25126
禮,4,25126
攬,2,12563
勇,4,25126
英,4,25126
服,2,12563
功,16,100503
盛,4,25126
加,2,12563
巫,2,12563
備,4,25126
死,6,37688
好,4,25126
察,2,12563
美,8,50251
言,4,25126
悅,2,12563
擒,2,12563
生,2,12563
臣,20,125628
逆,2,12563
待,2,12563
降,2,12563
虧,2,12563
樂,2,12563
權,14,87940
義,6,37688
亂,2,12563
信,4,25126
一,4,25126
財,4,25126
寇,2,12563
傾,2,12563
辯,2,12563
吏,2,12563
還,2,12563
破,2,12563
深,8,50251
安,4,25126
讓,2,12563
上,4,25126
德,14,87940
專,2,12563
喪,2,12563
百,2,12563
賞,8,50251
陰,2,12563
為,14,87940
利,2,12563
保,2,12563
難,2,12563
奇,2,12563
伐,2,12563
誅,2,12563
人,14,87940
家,2,12563
患,2,12563
論,2,12563
源,2,12563
社,2,12563
敵,8,50251
著,2,12563
罷,2,12563
平,2,12563
敗,2,12563
別,2,12563
羅,2,12563
惑,2,12563
君,6,37688
禁,2,12563
海,6,37688
卜,2,12563
道,4,25126
任,2,12563
州,2,12563
度,2,12563
善,2,12563
誓,2,12563
心,6,37688
息,2,12563
用,4,25126
闇,2,12563
良,2,12563
主,10,62814
志,4,25126
王,8,50251
地,4,25126
極,2,12563
士,16,100503
卒,4,25126
奪,4,25126
結,2,12563
駁,2,12563
身,6,37688
盟,2,12563
進,2,12563
中,10,62814
玩,2,12563
問,2,12563
侯,2,12563
陳,2,12563
；,2,12563
弓,2,12563
聖,4,25126
明,4,25126
亡,6,37688
無,42,263819
廢,4,25126
同,6,37688
姦,4,25126
惡,2,12563
體,4,25126
統,2,12563
咎,2,12563
賊,2,12563
