Character, Abs. Freq., Rel. Freq.
困,2,3821
周,38,72602
棚,6,11464
寸,42,80245
置,14,26748
道,4,7642
為,62,118456
功,34,64960
八,58,110814
半,26,49675
堵,2,3821
開,2,3821
數,24,45854
高,68,129920
臑,2,3821
餘,6,11464
倉,2,3821
米,12,22927
菽,8,15285
作,2,3821
：,118,225449
減,2,3821
角,4,7642
百,94,179595
定,8,15285
堅,12,22927
各,14,26748
土,12,22927
秋,4,7642
受,2,3821
墟,2,3821
聢,2,3821
共,2,3821
堡,4,7642
術,52,99350
粟,14,26748
羨,2,3821
踟,2,3821
同,4,7642
并,20,38212
石,4,7642
內,6,11464
行,8,15285
壤,12,22927
相,16,30569
甍,2,3821
輸,8,15285
地,12,22927
到,20,38212
谷,4,7642
池,10,19106
求,12,22927
水,4,7642
籠,4,7642
步,20,38212
穿,16,30569
渠,6,11464
丈,138,263661
人,68,129920
隄,4,7642
來,10,19106
萬,30,57318
自,14,26748
圓,8,15285
實,26,49675
夏,2,3821
外,8,15285
麻,2,3821
冬,2,3821
童,4,7642
倍,8,15285
城,4,7642
太,8,15285
負,2,3821
從,6,11464
依,8,15285
法,26,49675
冥,4,7642
乘,76,145204
中,8,15285
徒,26,49675
用,26,49675
袤,76,145204
塹,6,11464
麥,2,3821
返,2,3821
當,6,11464
一,208,397402
分,44,84066
積,92,175774
？,70,133741
溝,6,11464
千,54,103172
約,4,7642
七,66,126099
盤,4,7642
廣,86,164310
平,6,11464
礫,4,7642
深,28,53496
答,72,137562
載,12,22927
容,4,7642
即,20,38212
尺,250,477646
程,20,38212
本,4,7642
委,8,15285
往,10,19106
陽,2,3821
亭,4,7642
無,8,15285
芻,6,11464
除,14,26748
壔,4,7642
間,10,19106
少,10,19106
馬,2,3821
錐,4,7642
斛,24,45854
曲,6,11464
末,2,3821
加,6,11464
上,56,106993
令,2,3821
；,8,15285
車,8,15285
問,70,133741
春,2,3821
躕,2,3821
及,10,19106
鱉,2,3821
方,22,42033
沙,4,7642
今,58,110814
垣,16,30569
幾,70,133741
里,8,15285
