Character, Abs. Freq., Rel. Freq.
壬,4,80000
內,2,40000
外,2,40000
位,6,120000
品,2,40000
進,2,40000
象,6,120000
交,4,80000
卦,2,40000
浸,2,40000
剛,2,40000
純,2,40000
土,2,40000
積,2,40000
易,2,40000
廟,2,40000
生,2,40000
降,8,160000
順,2,40000
公,2,40000
陰,10,200000
合,4,80000
云,2,40000
建,2,40000
寅,4,80000
丁,2,40000
通,4,80000
軫,2,40000
長,6,120000
候,4,80000
道,6,120000
否,2,40000
酉,2,40000
物,2,40000
坤,2,40000
甲,2,40000
氣,10,200000
納,2,40000
運,2,40000
居,4,80000
彙,2,40000
震,2,40000
八,2,40000
筭,2,40000
義,2,40000
金,2,40000
」,2,40000
入,2,40000
感,2,40000
相,4,80000
乾,6,120000
星,4,80000
柔,2,40000
飛,2,40000
大,4,80000
從,4,80000
伏,2,40000
小,2,40000
天,6,120000
宿,2,40000
《,22,440000
應,2,40000
世,2,40000
陽,16,320000
「,2,40000
泰,12,240000
存,2,40000
升,6,120000
：,4,80000
》,22,440000
丑,2,40000
成,8,160000
來,4,80000
極,4,80000
地,6,120000
鎮,2,40000
危,2,40000
宗,2,40000
起,4,80000
壯,2,40000
上,4,80000
周,2,40000
萬,2,40000
為,8,160000
一,2,40000
復,2,40000
往,2,40000
終,2,40000
分,2,40000
辰,2,40000
立,2,40000
辛,2,40000
