Character, Abs. Freq., Rel. Freq.
凶,6,119048
入,6,119048
行,6,119048
為,2,39683
飛,2,39683
象,4,79365
見,10,198413
順,4,79365
諸,2,39683
互,4,79365
適,2,39683
妄,4,79365
應,4,79365
戌,4,79365
歸,2,39683
爻,2,39683
內,4,79365
嗑,2,39683
正,6,119048
无,4,79365
相,2,39683
外,4,79365
己,2,39683
筭,2,39683
巳,2,39683
《,16,317460
世,2,39683
午,2,39683
天,4,79365
盪,2,39683
從,4,79365
巽,2,39683
半,2,39683
降,6,119048
進,2,39683
運,2,39683
起,4,79365
吉,6,119048
健,4,79365
明,4,79365
道,4,79365
氣,4,79365
物,6,119048
噬,2,39683
止,2,39683
土,2,39683
酉,2,39683
伏,2,39683
牛,2,39683
升,2,39683
候,4,79365
壬,2,39683
》,16,317460
乙,2,39683
初,2,39683
惑,2,39683
虛,2,39683
中,2,39683
元,2,39683
文,2,39683
退,2,39683
履,2,39683
庚,4,79365
動,8,158730
震,4,79365
火,4,79365
長,2,39683
金,4,79365
雷,4,79365
柔,4,79365
變,2,39683
建,2,39683
：,2,39683
純,2,39683
熒,2,39683
周,2,39683
轉,2,39683
一,2,39683
木,4,79365
陰,4,79365
上,4,79365
復,4,79365
宿,2,39683
積,2,39683
星,2,39683
立,2,39683
配,4,79365
乾,6,119048
卦,2,39683
艮,2,39683
陽,12,238095
剛,10,198413
衝,2,39683
分,4,79365
士,2,39683
位,6,119048
