Character, Abs. Freq., Rel. Freq.
土,2,52083
睽,4,104167
戌,4,104167
：,4,104167
誠,2,52083
臣,2,52083
建,2,52083
險,2,52083
象,2,52083
高,4,104167
道,2,52083
周,2,52083
丁,4,104167
離,2,52083
氣,2,52083
執,2,52083
艮,2,52083
奉,2,52083
從,4,104167
廟,2,52083
伏,2,52083
長,2,52083
世,2,52083
《,14,364583
居,4,104167
升,2,52083
巳,2,52083
「,2,52083
剛,2,52083
飛,2,52083
義,2,52083
處,2,52083
相,2,52083
兌,2,52083
」,2,52083
一,2,52083
酉,2,52083
為,4,104167
盪,2,52083
配,2,52083
星,4,104167
降,4,104167
陽,4,104167
更,2,52083
宗,2,52083
宿,2,52083
戊,4,104167
變,2,52083
火,2,52083
上,4,104167
觜,2,52083
入,6,156250
八,2,52083
易,2,52083
時,2,52083
見,2,52083
太,2,52083
云,2,52083
君,2,52083
爻,4,104167
規,2,52083
損,8,208333
》,14,364583
公,2,52083
成,2,52083
起,4,104167
候,2,52083
凶,4,104167
丑,2,52083
癸,2,52083
益,6,156250
筭,2,52083
山,8,208333
吉,4,104167
分,2,52083
立,2,52083
積,2,52083
位,6,156250
卑,2,52083
陰,8,208333
澤,6,156250
卦,4,104167
復,2,52083
