Character, Abs. Freq., Rel. Freq.
辛,2,35714
宿,2,35714
見,4,71429
資,2,35714
天,2,35714
來,4,71429
互,2,35714
家,4,71429
積,8,142857
游,2,35714
午,4,71429
歲,2,35714
復,4,71429
風,4,71429
死,4,71429
星,4,71429
餘,4,71429
居,6,107143
八,4,71429
退,2,35714
應,2,35714
》,16,285714
《,16,285714
序,2,35714
實,4,71429
偪,2,35714
時,4,71429
進,2,35714
從,4,71429
易,2,35714
衰,6,107143
數,2,35714
詰,2,35714
虛,4,71429
終,2,35714
吉,2,35714
」,2,35714
聲,2,35714
陰,4,71429
攷,2,35714
尊,2,35714
巳,4,71429
納,2,35714
筭,2,35714
氣,2,35714
周,2,35714
反,2,35714
陽,6,107143
建,2,35714
訟,2,35714
渙,4,71429
起,4,71429
機,2,35714
殃,2,35714
入,4,71429
溺,2,35714
處,2,35714
思,2,35714
坎,4,71429
一,2,35714
乾,2,35714
外,6,107143
道,2,35714
癸,2,35714
伏,2,35714
動,2,35714
土,2,35714
健,2,35714
要,2,35714
「,2,35714
戊,4,71429
善,4,71429
分,2,35714
降,2,35714
火,4,71429
位,10,178571
滿,2,35714
生,6,107143
候,2,35714
飛,2,35714
合,2,35714
上,6,107143
昴,2,35714
益,2,35714
險,2,35714
內,6,107143
丁,2,35714
慶,2,35714
巽,6,107143
非,4,71429
魂,2,35714
凶,2,35714
盛,6,107143
履,2,35714
卦,6,107143
：,4,71429
中,6,107143
正,8,142857
象,2,35714
丑,2,35714
行,4,71429
順,6,107143
大,2,35714
水,6,107143
為,4,71429
；,2,35714
木,2,35714
