Character, Abs. Freq., Rel. Freq.
脈,36,123626
暴,2,6868
急,8,27473
熨,2,6868
拘,4,13736
變,2,6868
卻,2,6868
硬,8,27473
握,4,13736
戰,2,6868
粥,2,6868
痛,16,54945
見,2,6868
蟲,2,6868
結,4,13736
膿,4,13736
眩,6,20604
水,20,68681
裏,4,13736
覆,2,6868
污,2,6868
制,2,6868
貪,4,13736
怏,2,6868
止,8,27473
喉,4,13736
七,2,6868
衂,4,13736
瀝,2,6868
今,4,13736
為,48,164835
胞,2,6868
厥,12,41209
醫,10,34341
清,8,27473
安,4,13736
關,10,34341
藏,2,6868
形,2,6868
毛,2,6868
弱,14,48077
肉,2,6868
身,14,48077
殆,2,6868
臥,4,13736
聲,2,6868
完,2,6868
衛,4,13736
右,2,6868
逆,10,34341
泄,2,6868
亡,4,13736
欬,4,13736
傷,10,34341
白,2,6868
左,2,6868
目,10,34341
穀,12,41209
太,2,6868
主,2,6868
生,2,6868
堅,2,6868
運,2,6868
欲,14,48077
加,2,6868
盡,2,6868
期,2,6868
愈,2,6868
藥,2,6868
液,6,20604
家,2,6868
寒,34,116758
罷,2,6868
應,6,20604
病,4,13736
卒,4,13736
中,26,89286
輕,2,6868
瘧,2,6868
易,2,6868
惕,2,6868
語,2,6868
；,34,116758
當,10,34341
俱,6,20604
前,2,6868
胎,2,6868
久,2,6868
小,26,89286
解,4,13736
除,2,6868
反,40,137363
嚶,2,6868
屬,2,6868
被,2,6868
溫,6,20604
汗,30,103022
正,4,13736
設,2,6868
技,2,6868
擘,2,6868
慧,4,13736
言,4,13736
爾,2,6868
微,34,116758
日,4,13736
皮,4,13736
客,6,20604
鼻,2,6868
頸,2,6868
咽,12,41209
息,2,6868
睛,4,13736
悸,2,6868
知,2,6868
意,2,6868
脅,4,13736
諸,4,13736
食,6,20604
上,16,54945
入,4,13736
無,12,41209
漿,2,6868
巔,8,27473
榮,6,20604
極,2,6868
飢,2,6868
劇,4,13736
涎,2,6868
竭,6,20604
淋,2,6868
埿,2,6868
射,2,6868
陽,30,103022
自,8,27473
消,2,6868
手,4,13736
嗜,2,6868
孤,2,6868
背,4,13736
甚,4,13736
眠,4,13736
苦,2,6868
體,2,6868
臍,2,6868
巧,2,6868
風,4,13736
獨,2,6868
假,2,6868
人,2,6868
外,4,13736
大,26,89286
緊,10,34341
證,4,13736
元,2,6868
候,2,6868
追,2,6868
閉,6,20604
令,4,13736
口,6,20604
利,18,61813
強,6,20604
時,2,6868
瘡,2,6868
重,8,27473
弦,6,20604
休,6,20604
尿,2,6868
塞,4,13736
救,4,13736
乾,4,13736
翕,4,13736
惡,14,48077
動,10,34341
腹,10,34341
死,2,6868
赤,4,13736
勃,4,13736
血,22,75549
施,2,6868
虛,30,103022
還,2,6868
陰,12,41209
吐,2,6868
痞,8,27473
脹,2,6868
倒,2,6868
短,2,6868
數,20,68681
漸,8,27473
頭,14,48077
實,10,34341
呼,4,13736
煩,16,54945
熏,4,13736
渴,2,6868
仁,2,6868
遲,2,6868
鳴,2,6868
膚,2,6868
掌,2,6868
兩,6,20604
慄,8,27473
眼,2,6868
汲,2,6868
熱,34,116758
革,2,6868
滿,6,20604
相,6,20604
求,2,6868
狀,2,6868
邪,4,13736
躁,4,13736
湯,2,6868
容,2,6868
引,2,6868
初,2,6868
發,30,103022
難,10,34341
從,2,6868
濡,16,54945
氣,36,123626
來,4,13736
燥,6,20604
更,6,20604
津,4,13736
悵,2,6868
冰,2,6868
冒,2,6868
振,8,27473
踡,4,13736
復,10,34341
薄,2,6868
狂,2,6868
吸,4,13736
起,4,13736
識,2,6868
便,36,123626
齧,2,6868
腸,4,13736
部,2,6868
多,14,48077
毒,2,6868
澀,6,20604
明,2,6868
胸,4,13736
顛,2,6868
冷,12,41209
鬼,2,6868
浮,20,68681
黃,6,20604
法,2,6868
胃,8,27473
歸,2,6868
灌,4,13736
嘔,8,27473
心,14,48077
表,2,6868
搏,2,6868
危,2,6868
針,2,6868
行,2,6868
喘,6,20604
成,2,6868
走,2,6868
內,8,27473
因,6,20604
攻,4,13736
間,2,6868
舌,4,13736
