Character, Abs. Freq., Rel. Freq.
陰,6,103806
當,2,34602
眠,2,34602
但,2,34602
食,4,69204
壞,2,34602
愈,2,34602
胸,2,34602
知,2,34602
關,2,34602
往,2,34602
日,6,103806
脈,8,138408
硬,2,34602
兩,2,34602
七,2,34602
逆,2,34602
小,4,69204
少,14,242215
寅,2,34602
痛,2,34602
柴,4,69204
太,2,34602
合,4,69204
大,4,69204
語,4,69204
轉,2,34602
鍼,2,34602
頭,2,34602
溫,2,34602
本,2,34602
無,4,69204
驚,2,34602
口,2,34602
睡,2,34602
傷,8,138408
汗,8,138408
罷,2,34602
解,4,69204
受,4,69204
來,2,34602
脅,2,34602
胡,4,69204
治,2,34602
目,6,103806
人,4,69204
浮,2,34602
聞,2,34602
法,2,34602
煩,6,103806
細,2,34602
邪,4,69204
湯,4,69204
反,2,34602
病,10,173010
苦,2,34602
為,8,138408
滿,4,69204
中,4,69204
盡,2,34602
入,4,69204
時,2,34602
赤,2,34602
耳,2,34602
風,2,34602
咽,2,34602
辰,2,34602
吐,8,138408
從,2,34602
陽,22,380623
和,4,69204
發,8,138408
眩,2,34602
尚,2,34602
證,2,34602
欲,6,103806
乾,4,69204
上,6,103806
屬,4,69204
寒,10,173010
熱,6,103806
緊,2,34602
悸,4,69204
燥,2,34602
胃,6,103806
沉,2,34602
犯,2,34602
嘔,4,69204
讝,4,69204
弦,2,34602
