Character, Abs. Freq., Rel. Freq.
勞,2,15873
快,2,15873
宜,2,15873
皮,2,15873
痺,2,15873
目,2,15873
論,2,15873
風,12,95238
因,2,15873
致,8,63492
飲,4,31746
濕,24,190476
甚,6,47619
火,2,15873
板,2,15873
日,2,15873
久,2,15873
候,2,15873
行,2,15873
俱,2,15873
色,2,15873
劇,2,15873
張,2,15873
家,8,63492
名,10,79365
丹,2,15873
醫,2,15873
和,2,15873
搖,2,15873
發,26,206349
向,2,15873
重,4,31746
應,2,15873
晡,2,15873
自,2,15873
云,2,15873
藥,2,15873
？,2,15873
中,16,126984
強,4,31746
胎,2,15873
黃,4,31746
上,6,47619
欲,6,47619
腹,2,15873
早,2,15873
冷,6,47619
暍,8,63492
燥,4,31746
但,8,63492
問,2,15873
值,2,15873
項,2,15873
痓,12,95238
田,2,15873
毛,2,15873
氣,4,31746
愈,6,47619
針,2,15873
疼,14,111111
弦,2,15873
汗,30,238095
答,2,15873
芤,2,15873
大,6,47619
一,6,47619
灑,4,31746
天,2,15873
病,28,222222
滿,2,15873
時,2,15873
覆,2,15873
陽,18,142857
雨,2,15873
熱,30,238095
便,12,95238
人,6,47619
喘,4,31746
熏,2,15873
微,8,63492
被,2,15873
身,20,158730
遲,2,15873
頭,10,79365
：,6,47619
背,4,31746
開,2,15873
太,20,158730
溫,2,15873
陰,2,15873
法,2,15873
別,2,15873
弱,2,15873
反,6,47619
月,2,15873
煩,6,47619
塞,4,31746
噦,2,15873
為,4,31746
加,2,15873
夏,2,15873
齒,2,15873
惡,12,95238
止,4,31746
柔,2,15873
噤,2,15873
關,2,15873
無,4,31746
見,2,15873
水,6,47619
多,2,15873
種,2,15873
搏,2,15873
寒,22,174603
節,2,15873
；,6,47619
治,2,15873
解,2,15873
脈,12,95238
口,6,47619
死,4,31746
盡,6,47619
細,6,47619
鼻,6,47619
額,2,15873
赤,4,31746
即,2,15873
舌,2,15873
沉,4,31746
數,2,15873
卒,2,15873
傷,10,79365
頸,2,15873
聳,2,15873
利,10,79365
當,6,47619
內,2,15873
小,12,95238
淋,2,15873
食,2,15873
相,4,31746
似,6,47619
剛,2,15873
胸,4,31746
獨,2,15873
前,2,15873
手,2,15873
急,2,15873
痛,10,79365
面,6,47619
渴,4,31746
逆,2,15873
