Character, Abs. Freq., Rel. Freq.
君,40,101266
叔,18,45570
寸,14,35443
齊,10,25316
等,12,30380
降,8,20253
葛,6,15190
喪,2,5063
帶,16,40506
幅,8,20253
姒,2,5063
哭,2,5063
布,26,65823
衽,2,5063
一,14,35443
葬,6,15190
宗,8,20253
首,6,15190
中,24,60759
袂,2,5063
除,4,10127
丈,8,20253
內,4,10127
折,2,5063
屬,2,5063
；,82,207595
孤,2,5063
寄,2,5063
庶,40,101266
絰,24,60759
麻,28,70886
殤,82,207595
妾,24,60759
臣,4,10127
世,10,25316
老,2,5063
總,6,15190
緣,4,10127
八,6,15190
人,52,131646
及,4,10127
即,4,10127
母,116,293671
國,6,15190
外,12,30380
削,8,20253
疏,10,25316
廣,2,5063
祛,2,5063
娣,2,5063
室,8,20253
士,14,35443
父,118,298734
尺,8,20253
親,2,5063
博,4,10127
苴,2,5063
朋,4,10127
弟,98,248101
妹,32,81013
慈,4,10127
昆,82,207595
加,4,10127
纓,12,30380
姊,32,81013
従,42,106329
大,70,177215
甥,2,5063
年,6,15190
報,24,60759
無,12,30380
私,2,5063
斬,2,5063
嫁,16,40506
天,4,10127
侄,6,15190
當,2,5063
改,2,5063
功,18,45570
髽,4,10127
繐,4,10127
曾,10,25316
：,4,10127
孫,26,65823
衣,8,20253
己,2,5063
錫,4,10127
居,6,15190
惡,4,10127
邦,10,25316
同,4,10127
侯,4,10127
友,4,10127
族,8,20253
牡,14,35443
命,6,15190
練,2,5063
冠,24,60759
小,10,25316
弔,4,10127
記,2,5063
杖,8,20253
月,18,45570
受,14,35443
緦,6,15190
知,2,5063
裳,22,55696
澡,2,5063
婦,28,70886
菅,2,5063
箭,2,5063
算,2,5063
姑,36,91139
笄,10,25316
繩,4,10127
適,46,116456
絞,2,5063
縓,6,15190
他,4,10127
乳,2,5063
寓,2,5063
期,2,5063
衤,2,5063
袒,2,5063
長,52,131646
舊,6,15190
升,26,65823
歸,2,5063
七,6,15190
婿,2,5063
免,2,5063
半,4,10127
舅,10,25316
包,2,5063
屨,10,25316
諸,6,15190
童,2,5063
祖,42,106329
卒,6,15190
繼,8,20253
公,24,60759
服,12,30380
妻,30,75949
兄,16,40506
為,182,460759
衰,44,111392
負,2,5063
貴,4,10127
女,42,106329
反,2,5063
主,4,10127
