Character, Abs. Freq., Rel. Freq.
無,4,5212
備,4,5212
肆,6,7819
牖,2,2606
尸,144,187647
柶,4,5212
配,10,13031
臑,8,10425
家,2,2606
進,18,23456
北,48,62549
柔,2,2606
擊,4,5212
人,164,213709
壹,2,2606
割,4,5212
韭,8,10425
伯,10,13031
腴,2,2606
従,24,31274
行,2,2606
玄,2,2606
階,34,44305
鉶,18,23456
；,26,33881
金,2,2606
韇,10,13031
剛,2,2606
筵,12,15637
宿,12,15637
退,12,15637
酢,2,2606
假,2,2606
衣,4,5212
骨,6,7819
祭,76,99036
遷,2,2606
少,2,2606
枓,2,2606
酌,26,33881
眉,2,2606
朝,12,15637
巾,8,10425
妥,2,2606
膚,20,26062
廩,6,7819
宗,18,23456
順,2,2606
敢,4,5212
為,10,13031
揖,2,2606
綏,6,7819
宰,6,7819
酒,36,46912
飲,2,2606
氏,10,13031
廬,2,2606
右,26,33881
掛,2,2606
成,2,2606
東,56,72974
利,12,15637
戒,4,5212
同,4,5212
短,8,10425
序,6,7819
朼,2,2606
幾,4,5212
一,94,122492
史,8,10425
舉,34,44305
官,2,2606
勿,6,7819
甗,2,2606
筮,32,41699
蠃,2,2606
錫,4,5212
匕,10,13031
罍,2,2606
許,2,2606
外,10,13031
飽,4,5212
方,8,10425
旦,2,2606
門,24,31274
示,2,2606
當,6,7819
豆,30,39093
左,18,23456
受,92,119885
大,2,2606
芼,2,2606
宜,2,2606
代,6,7819
禮,6,7819
升,44,57336
建,2,2606
胖,6,7819
明,6,7819
室,6,7819
遠,2,2606
放,2,2606
祝,94,122492
食,120,156372
尻,2,2606
脀,6,7819
馬,4,5212
爵,116,151160
肝,10,13031
載,16,20850
肺,24,31274
疆,2,2606
毛,2,2606
舌,4,5212
稼,2,2606
間,10,13031
嘗,4,5212
鼏,2,2606
士,22,28668
嗇,2,2606
陳,6,7819
某,44,57336
賓,20,26062
中,14,18243
盥,16,20850
尊,6,7819
致,2,2606
即,4,5212
麋,2,2606
各,2,2606
圭,2,2606
豕,18,23456
扃,2,2606
工,2,2606
奠,30,39093
鑊,4,5212
兼,14,18243
對,4,5212
枋,2,2606
覆,2,2606
魚,18,23456
切,10,13031
：,30,39093
雍,16,20850
福,4,5212
宮,12,15637
改,4,5212
擯,2,2606
「,30,39093
親,2,2606
乾,2,2606
止,2,2606
水,4,5212
拜,122,158978
篚,14,18243
純,4,5212
振,16,20850
庭,2,2606
稽,10,13031
甑,2,2606
被,4,5212
薦,18,23456
獻,18,23456
奉,6,7819
用,22,28668
羊,30,39093
牢,24,31274
壽,4,5212
槃,10,13031
除,2,2606
並,6,7819
末,6,7819
甒,4,5212
簞,8,10425
卦,8,10425
骼,8,10425
立,12,15637
納,2,2606
籩,10,13031
鼎,32,41699
再,10,13031
比,2,2606
袂,6,7819
來,10,13031
丁,10,13031
置,2,2606
皇,14,18243
摡,8,10425
述,2,2606
會,4,5212
胃,8,10425
臂,8,10425
」,30,39093
屬,2,2606
心,4,5212
懷,2,2606
授,38,49518
辯,6,7819
使,2,2606
冪,6,7819
阼,20,26062
亞,2,2606
亥,8,10425
田,2,2606
興,48,62549
陪,2,2606
書,2,2606
徹,2,2606
封,2,2606
特,2,2606
諾,6,7819
主,174,226740
資,2,2606
飯,6,7819
正,18,23456
榮,2,2606
執,52,67761
䏝,16,20850
引,2,2606
諸,2,2606
孫,14,18243
體,2,2606
房,26,33881
午,4,5212
相,4,5212
醓,2,2606
肩,16,20850
小,2,2606
吉,8,10425
天,2,2606
承,2,2606
瓦,4,5212
獨,2,2606
拒,2,2606
答,38,49518
觚,4,5212
告,12,15637
嘏,6,7819
言,4,5212
髀,10,13031
佐,96,125098
胾,4,5212
嚌,14,18243
匜,4,5212
饌,4,5212
勺,8,10425
孝,14,18243
服,12,15637
加,18,23456
釋,2,2606
堂,4,5212
鹽,6,7819
革,2,2606
木,4,5212
請,2,2606
複,4,5212
橫,16,20850
設,48,62549
爾,4,5212
脅,22,28668
蓋,6,7819
占,6,7819
位,8,10425
事,12,15637
府,2,2606
爨,12,15637
饗,8,10425
常,2,2606
延,2,2606
旬,2,2606
送,12,15637
內,14,18243
婦,56,72974
女,6,7819
詩,2,2606
兩,20,26062
日,24,31274
脊,20,26062
妃,10,13031
抽,2,2606
葵,4,5212
期,4,5212
摶,2,2606
安,2,2606
俎,70,91217
醢,10,13031
就,2,2606
棜,4,5212
上,112,145947
歲,10,13031
坐,62,80792
滌,2,2606
終,2,2606
卒,38,49518
重,2,2606
侑,8,10425
尚,8,10425
觶,4,5212
南,50,65155
扱,2,2606
年,2,2606
端,6,7819
首,16,20850
萬,2,2606
本,2,2606
奧,2,2606
啟,6,7819
刂,2,2606
柄,2,2606
臘,18,23456
普,2,2606
