Character, Abs. Freq., Rel. Freq.
平,2,28653
輿,2,28653
笠,2,28653
尺,2,28653
蔽,2,28653
冑,2,28653
：,6,85960
藜,2,28653
安,4,57307
信,2,28653
治,4,57307
紝,4,57307
太,4,57307
壤,2,28653
鋸,2,28653
田,8,114613
垣,2,28653
矛,2,28653
；,32,458453
織,4,57307
城,6,85960
溝,2,28653
公,4,57307
犬,2,28653
旗,2,28653
春,4,57307
伍,2,28653
問,2,28653
隊,2,28653
分,2,28653
冬,2,28653
度,2,28653
郭,2,28653
事,8,114613
干,2,28653
周,2,28653
钁,2,28653
糧,4,57307
櫓,2,28653
夏,2,28653
刈,2,28653
武,4,57307
耨,2,28653
鏺,2,28653
設,2,28653
里,6,85960
禦,4,57307
攻,8,114613
具,8,114613
使,2,28653
牛,4,57307
食,2,28653
耰,2,28653
雞,2,28653
將,2,28653
薪,2,28653
野,2,28653
符,2,28653
轉,2,28653
馬,6,85960
用,4,57307
杵,2,28653
道,2,28653
簦,2,28653
營,2,28653
」,6,85960
修,4,57307
秋,4,57307
蒺,2,28653
遂,2,28653
廩,4,57307
器,2,28653
騎,2,28653
富,2,28653
棘,2,28653
行,2,28653
人,10,143266
楯,2,28653
耒,2,28653
盡,4,57307
無,6,85960
數,2,28653
吏,2,28653
善,4,57307
處,2,28653
為,2,28653
草,2,28653
畝,2,28653
耜,2,28653
兵,6,85960
庫,2,28653
臼,2,28653
收,2,28653
儲,2,28653
守,6,85960
天,2,28653
王,4,57307
斧,2,28653
丈,4,57307
強,2,28653
渠,2,28653
國,6,85960
家,2,28653
輸,4,57307
禾,2,28653
鋤,2,28653
疇,2,28653
婦,4,57307
定,2,28653
芻,2,28653
堅,2,28653
「,6,85960
帥,2,28653
候,2,28653
蓑,2,28653
塹,4,57307
車,4,57307
戟,2,28653
？,4,57307
鍤,2,28653
闢,2,28653
伺,2,28653
旌,2,28653
甲,2,28653
實,2,28653
壘,4,57307
官,2,28653
戰,8,114613
步,2,28653
粟,2,28653
相,4,57307
約,2,28653
長,2,28653
倉,2,28653
束,2,28653
畜,2,28653
薛,2,28653
備,4,57307
