Character, Abs. Freq., Rel. Freq.
為,4,54054
言,2,27027
太,6,81081
好,2,27027
士,6,81081
肅,4,54054
一,2,27027
明,4,54054
欲,2,27027
怳,4,54054
應,4,54054
觀,16,216216
賢,2,27027
勢,2,27027
果,2,27027
簡,2,27027
信,2,27027
：,12,162162
八,6,81081
心,2,27027
效,2,27027
外,10,135135
白,2,27027
靜,2,27027
公,6,81081
慢,2,27027
廉,4,54054
中,4,54054
「,8,108108
舉,2,27027
怯,2,27027
別,2,27027
賤,2,27027
奈,2,27027
使,2,27027
試,2,27027
溫,2,27027
決,2,27027
變,2,27027
；,30,405405
德,2,27027
財,2,27027
徵,4,54054
英,2,27027
惚,4,54054
精,4,54054
非,2,27027
無,10,135135
敬,2,27027
人,6,81081
王,6,81081
肖,4,54054
實,2,27027
貴,2,27027
謹,2,27027
告,2,27027
相,4,54054
劣,2,27027
？,4,54054
嗃,4,54054
內,4,54054
態,2,27027
練,2,27027
勇,4,54054
七,2,27027
武,4,54054
忠,2,27027
反,6,81081
顯,2,27027
激,2,27027
良,2,27027
聖,2,27027
敢,2,27027
情,6,81081
嚴,2,27027
色,2,27027
悾,4,54054
」,8,108108
高,2,27027
酒,2,27027
形,2,27027
誠,6,81081
備,2,27027
詭,2,27027
遂,2,27027
虛,2,27027
恭,2,27027
際,2,27027
盜,2,27027
大,2,27027
辭,4,54054
湛,4,54054
窮,2,27027
知,8,108108
見,2,27027
閒,2,27027
易,2,27027
功,2,27027
謀,4,54054
問,6,81081
貞,2,27027
兵,2,27027
天,2,27027
醉,2,27027
愨,2,27027
難,2,27027
貌,6,81081
雄,2,27027
