Character, Abs. Freq., Rel. Freq.
晉,2,83333
餌,2,83333
適,2,83333
賣,2,83333
曄,2,83333
山,2,83333
朱,2,83333
間,2,83333
頤,2,83333
安,2,83333
時,2,83333
歲,2,83333
聘,2,83333
積,2,83333
梯,4,166667
長,2,83333
高,2,83333
升,2,83333
飛,2,83333
都,2,83333
軌,2,83333
說,2,83333
爾,2,83333
端,2,83333
上,6,250000
知,4,166667
丹,6,250000
趙,4,166667
頃,2,83333
任,8,333333
雲,2,83333
里,2,83333
涉,2,83333
識,2,83333
桓,4,166667
歸,2,83333
常,4,166667
面,2,83333
期,2,83333
俱,2,83333
神,2,83333
縱,2,83333
服,2,83333
善,2,83333
八,2,83333
數,2,83333
光,6,250000
世,2,83333
煉,2,83333
老,2,83333
市,2,83333
蔡,4,166667
人,4,166667
年,4,166667
簡,2,83333
顏,4,166667
