Character, Abs. Freq., Rel. Freq.
云,2,57143
上,2,57143
室,2,57143
更,4,114286
止,2,57143
宿,2,57143
蘊,2,57143
接,2,57143
色,2,57143
時,2,57143
聃,2,57143
私,4,114286
飲,4,114286
質,2,57143
笑,2,57143
年,4,114286
鼓,2,57143
寫,2,57143
」,2,57143
美,4,114286
卷,4,114286
雙,2,57143
開,4,114286
文,4,114286
玄,2,57143
無,2,57143
養,2,57143
房,2,57143
性,2,57143
視,2,57143
：,2,57143
為,2,57143
行,2,57143
書,8,228571
「,2,57143
歲,2,57143
道,2,57143
丸,10,285714
諸,4,114286
客,2,57143
少,2,57143
追,2,57143
復,2,57143
身,2,57143
傾,2,57143
來,4,114286
市,2,57143
交,2,57143
知,2,57143
臻,2,57143
妙,2,57143
顏,2,57143
翅,2,57143
塵,2,57143
家,4,114286
數,2,57143
婦,2,57143
人,8,228571
常,2,57143
術,2,57143
遂,2,57143
引,2,57143
納,2,57143
沽,2,57143
設,2,57143
女,4,114286
棄,2,57143
近,2,57143
遇,2,57143
法,2,57143
素,4,114286
作,2,57143
酒,8,228571
絕,2,57143
要,4,114286
盜,2,57143
陳,4,114286
飛,4,114286
仙,8,228571
