Character, Abs. Freq., Rel. Freq.
天,2,56180
遂,6,168539
米,2,56180
俱,2,56180
挺,2,56180
來,8,224719
復,2,56180
背,4,112360
昇,2,56180
善,2,56180
雨,2,56180
角,4,112360
魚,10,280899
神,2,56180
舍,2,56180
中,4,112360
雲,2,56180
游,2,56180
」,2,56180
長,4,112360
戶,2,56180
著,2,56180
傅,2,56180
年,4,112360
英,10,280899
見,2,56180
飲,2,56180
作,2,56180
：,2,56180
鄉,2,56180
C,2,56180
樂,2,56180
捕,4,112360
駕,2,56180
食,4,112360
即,2,56180
餘,2,56180
養,2,56180
煒,2,56180
持,2,56180
舒,2,56180
厥,2,56180
妻,2,56180
赴,2,56180
愛,2,56180
上,4,112360
超,2,56180
水,4,112360
池,2,56180
人,2,56180
生,2,56180
迎,4,112360
螭,2,56180
赤,2,56180
怪,2,56180
色,4,112360
步,2,56180
異,2,56180
大,2,56180
門,2,56180
央,2,56180
汝,6,168539
吳,2,56180
騰,2,56180
祠,2,56180
丈,2,56180
好,2,56180
「,2,56180
拜,2,56180
我,2,56180
職,2,56180
數,2,56180
翼,4,112360
翅,2,56180
靈,2,56180
七,2,56180
升,2,56180
歲,4,112360
謝,2,56180
立,2,56180
虓,2,56180
言,2,56180
鯉,2,56180
鱗,2,56180
為,2,56180
一,2,56180
歸,4,112360
入,2,56180
穀,2,56180
