Character, Abs. Freq., Rel. Freq.
餘,4,113636
靈,2,56818
著,2,56818
君,2,56818
車,2,56818
青,2,56818
入,4,113636
接,2,56818
真,2,56818
合,2,56818
隱,2,56818
柱,2,56818
諡,2,56818
經,2,56818
德,6,170455
名,2,56818
守,2,56818
尼,2,56818
見,2,56818
內,2,56818
秦,2,56818
壽,2,56818
姓,2,56818
喜,2,56818
元,2,56818
衰,2,56818
強,2,56818
耳,2,56818
聖,2,56818
死,2,56818
藏,2,56818
史,6,170455
卷,2,56818
涯,2,56818
知,4,113636
迎,2,56818
周,6,170455
神,2,56818
轉,2,56818
字,2,56818
書,2,56818
精,2,56818
跡,2,56818
尹,2,56818
塞,2,56818
師,2,56818
大,2,56818
兩,2,56818
使,2,56818
冥,2,56818
仲,2,56818
云,2,56818
聃,2,56818
待,2,56818
陳,2,56818
乘,2,56818
令,2,56818
伯,2,56818
年,4,113636
》,2,56818
作,2,56818
《,2,56818
上,2,56818
養,2,56818
鏡,2,56818
生,4,113636
道,4,113636
兑,2,56818
時,4,113636
貴,2,56818
無,4,113636
積,2,56818
記,2,56818
好,2,56818
奇,2,56818
：,2,56818
牛,2,56818
施,2,56818
為,10,284091
百,2,56818
函,2,56818
李,2,56818
同,2,56818
關,4,113636
陽,2,56818
一,2,56818
稱,2,56818
八,2,56818
老,6,170455
絕,2,56818
氣,4,113636
殷,2,56818
儀,2,56818
人,6,170455
