Character, Abs. Freq., Rel. Freq.
讎,2,32468
告,4,64935
自,2,32468
戶,4,64935
京,4,64935
易,2,32468
上,4,64935
仁,12,194805
殺,10,162338
因,2,32468
害,2,32468
哀,2,32468
安,2,32468
亡,2,32468
中,2,32468
他,2,32468
冠,2,32468
新,2,32468
；,2,32468
處,2,32468
」,4,64935
夜,2,32468
呼,2,32468
「,4,64935
妻,8,129870
世,2,32468
大,2,32468
臥,6,97403
徑,2,32468
語,2,32468
請,2,32468
首,4,64935
東,4,64935
念,2,32468
為,4,64935
：,6,97403
報,2,32468
譎,2,32468
昌,2,32468
女,14,227273
長,2,32468
行,4,64935
斷,2,32468
孝,8,129870
義,14,227273
節,6,97403
人,6,97403
頭,4,64935
頌,2,32468
聞,2,32468
當,2,32468
敢,2,32468
君,4,64935
果,2,32468
高,2,32468
聽,4,64935
道,2,32468
厚,2,32468
仇,6,97403
身,6,97403
還,2,32468
《,2,32468
日,2,32468
開,4,64935
明,2,32468
計,2,32468
死,2,32468
欲,4,64935
釋,2,32468
半,2,32468
持,2,32468
妾,2,32468
師,4,64935
輕,2,32468
要,4,64935
論,2,32468
間,2,32468
生,4,64935
沐,4,64935
無,4,64935
居,2,32468
里,2,32468
視,2,32468
成,6,97403
劫,4,64935
家,4,64935
求,2,32468
諾,2,32468
旦,2,32468
待,2,32468
牖,4,64935
樓,4,64935
重,2,32468
使,4,64935
許,4,64935
痛,2,32468
恩,2,32468
》,2,32468
遂,2,32468
天,2,32468
父,8,129870
期,2,32468
