Character, Abs. Freq., Rel. Freq.
入,3,28818
圖,3,28818
報,3,28818
使,6,57637
市,3,28818
卿,3,28818
文,3,28818
「,6,57637
卒,3,28818
侯,3,28818
善,3,28818
輔,3,28818
老,3,28818
釋,3,28818
受,3,28818
遠,3,28818
禍,3,28818
頌,3,28818
：,12,115274
聞,6,57637
攜,3,28818
令,3,28818
亡,3,28818
大,3,28818
人,9,86455
扶,3,28818
妻,12,115274
薄,3,28818
浴,3,28818
見,6,57637
霸,6,57637
哲,3,28818
諸,3,28818
吾,6,57637
伐,6,57637
云,3,28818
恭,3,28818
孔,3,28818
公,18,172911
王,3,28818
敢,3,28818
身,3,28818
識,3,28818
晉,12,115274
從,6,57637
飡,9,86455
為,3,28818
耳,3,28818
羈,12,115274
》,3,28818
民,3,28818
久,3,28818
璧,6,57637
？,3,28818
首,3,28818
言,3,28818
詩,3,28818
士,6,57637
禮,9,86455
獨,3,28818
相,6,57637
曹,18,172911
國,15,144092
興,3,28818
『,3,28818
；,3,28818
重,3,28818
遺,3,28818
設,3,28818
厥,3,28818
弱,3,28818
觀,6,57637
白,3,28818
胡,3,28818
舍,3,28818
知,9,86455
僖,9,86455
保,3,28818
近,3,28818
氏,6,57637
施,3,28818
戮,3,28818
免,3,28818
作,3,28818
僕,3,28818
難,3,28818
早,6,57637
父,3,28818
力,3,28818
及,3,28818
駢,3,28818
伺,3,28818
《,3,28818
閭,6,57637
表,3,28818
成,3,28818
自,6,57637
微,3,28818
赴,3,28818
兵,3,28818
壺,3,28818
』,3,28818
加,6,57637
負,12,115274
饋,3,28818
討,6,57637
將,3,28818
貳,3,28818
反,9,86455
君,9,86455
託,3,28818
上,3,28818
門,3,28818
無,6,57637
外,3,28818
智,3,28818
脅,3,28818
」,3,28818
視,6,57637
罪,3,28818
主,3,28818
明,3,28818
今,3,28818
