Character, Abs. Freq., Rel. Freq.
云,2,25189
人,10,125945
國,2,25189
悅,2,25189
身,2,25189
欲,2,25189
冑,2,25189
入,10,125945
介,2,25189
薨,2,25189
喜,2,25189
世,2,25189
杖,2,25189
士,2,25189
君,2,25189
軒,2,25189
頌,2,25189
立,4,50378
無,4,50378
使,4,50378
莊,4,50378
年,2,25189
魯,2,25189
兩,2,25189
？,2,25189
渾,4,50378
「,6,75567
公,24,302267
戈,2,25189
通,2,25189
聵,20,251889
錯,2,25189
路,2,25189
內,2,25189
》,2,25189
輒,2,25189
免,2,25189
遂,4,50378
我,4,50378
譖,2,25189
儀,4,50378
大,6,75567
悼,2,25189
」,6,75567
嬖,2,25189
豎,2,25189
報,2,25189
圃,2,25189
蒙,2,25189
時,2,25189
滅,2,25189
乘,4,50378
知,2,25189
良,12,151134
咸,2,25189
女,6,75567
將,2,25189
衛,8,100756
交,2,25189
淫,4,50378
親,2,25189
昏,2,25189
迫,2,25189
讒,2,25189
姊,2,25189
死,6,75567
告,2,25189
鼠,2,25189
《,2,25189
盟,4,50378
舍,2,25189
妻,4,50378
廁,2,25189
卒,2,25189
南,10,125945
奔,8,100756
氏,4,50378
：,8,100756
伯,4,50378
定,2,25189
詩,2,25189
州,2,25189
許,2,25189
強,2,25189
朝,4,50378
復,2,25189
迎,2,25189
衣,2,25189
宋,8,100756
及,2,25189
太,8,100756
皮,2,25189
蒯,20,251889
孔,10,125945
為,10,125945
文,4,50378
惡,2,25189
亂,8,100756
姬,18,226700
母,6,75567
惑,2,25189
靈,8,100756
戎,2,25189
食,2,25189
相,4,50378
悝,10,125945
怒,2,25189
苟,2,25189
殺,8,100756
