Character, Abs. Freq., Rel. Freq.
遽,2,30303
「,10,151515
及,4,60606
果,2,30303
俱,2,30303
衛,6,90909
無,4,60606
初,2,30303
戴,2,30303
力,4,60606
用,2,30303
詩,2,30303
謀,4,60606
己,2,30303
壽,18,272727
痛,2,30303
太,14,212121
殆,2,30303
馬,2,30303
弟,2,30303
！,2,30303
》,2,30303
惠,2,30303
娶,2,30303
上,2,30303
遂,2,30303
寧,4,60606
士,4,60606
竟,2,30303
云,2,30303
伋,12,181818
陰,4,60606
旄,6,90909
為,8,121212
罪,2,30303
亂,4,60606
殺,12,181818
起,2,30303
往,2,30303
良,2,30303
夷,4,60606
請,2,30303
行,4,60606
終,2,30303
飲,2,30303
白,2,30303
頌,2,30303
棄,2,30303
齊,6,90909
告,2,30303
求,2,30303
：,12,181818
公,12,181818
惡,2,30303
要,2,30303
危,4,60606
待,2,30303
宣,16,242424
聞,2,30303
音,2,30303
醒,2,30303
死,10,151515
姜,16,242424
」,10,151515
世,4,60606
命,2,30303
《,2,30303
盜,6,90909
使,4,60606
父,2,30303
朔,8,121212
欲,6,90909
構,2,30303
度,2,30303
奪,2,30303
避,2,30303
人,6,90909
德,2,30303
追,2,30303
侯,2,30303
界,2,30303
設,2,30303
薨,2,30303
我,4,60606
生,4,60606
女,2,30303
立,8,121212
