Character, Abs. Freq., Rel. Freq.
日,2,22222
室,2,22222
儽,2,22222
異,2,22222
戎,2,22222
號,6,66667
成,2,22222
武,6,66667
嘗,2,22222
瑟,2,22222
美,2,22222
餓,2,22222
輟,2,22222
決,2,22222
廣,4,44444
邑,2,22222
文,2,22222
韓,2,22222
傾,2,22222
歌,2,22222
幸,2,22222
兵,4,44444
徒,2,22222
太,6,66667
旁,2,22222
起,2,22222
探,2,22222
《,2,22222
孝,2,22222
女,12,133333
圍,6,66667
想,2,22222
吳,8,88889
寤,2,22222
姚,8,88889
色,2,22222
臣,6,66667
神,2,22222
娶,2,22222
愛,2,22222
樂,2,22222
封,2,22222
微,2,22222
弟,2,22222
離,2,22222
生,8,88889
李,2,22222
飲,2,22222
近,2,22222
作,2,22222
寇,2,22222
惠,6,66667
淫,2,22222
來,2,22222
「,6,66667
章,20,222222
恩,2,22222
解,2,22222
頌,2,22222
丘,6,66667
榮,2,22222
即,2,22222
謀,2,22222
沙,6,66667
閉,4,44444
吾,2,22222
行,2,22222
慈,2,22222
言,8,88889
逢,2,22222
走,2,22222
無,2,22222
詩,2,22222
顏,4,44444
年,4,44444
宗,2,22222
時,4,44444
心,4,44444
主,20,222222
朝,4,44444
觀,2,22222
靈,10,111111
計,2,22222
國,2,22222
殺,2,22222
入,2,22222
我,2,22222
分,2,22222
數,6,66667
安,4,44444
孟,8,88889
立,4,44444
食,4,44444
代,4,44444
苕,4,44444
亂,4,44444
嬖,2,22222
從,4,44444
擊,2,22222
內,4,44444
嬴,4,44444
對,2,22222
：,8,88889
命,4,44444
后,16,177778
憐,2,22222
陽,4,44444
聞,2,22222
甚,2,22222
兌,4,44444
屬,2,22222
鹄,2,22222
鼓,2,22222
父,18,200000
衰,2,22222
欲,4,44444
惑,2,22222
死,4,44444
流,2,22222
處,2,22222
人,6,66667
廢,4,44444
夷,2,22222
自,2,22222
善,2,22222
反,2,22222
酒,2,22222
遂,4,44444
群,4,44444
夢,4,44444
月,2,22222
興,2,22222
攘,2,22222
宮,6,66667
游,2,22222
為,12,133333
意,2,22222
式,2,22222
相,2,22222
」,6,66667
窺,2,22222
因,4,44444
見,8,88889
曾,2,22222
君,4,44444
》,2,22222
趙,8,88889
久,2,22222
餘,2,22222
熒,4,44444
初,2,22222
天,2,22222
王,22,244444
雀,2,22222
