Character, Abs. Freq., Rel. Freq.
志,2,18587
報,4,37175
逢,2,18587
息,2,18587
「,30,278810
休,2,18587
投,2,18587
：,32,297398
知,12,111524
飲,6,55762
孔,16,148699
女,6,55762
賓,2,18587
清,4,37175
吾,2,18587
觴,4,37175
將,4,37175
漢,2,18587
兩,4,37175
綌,4,37175
穆,2,18587
？,6,55762
云,2,18587
名,2,18587
沙,2,18587
人,12,111524
跪,2,18587
欲,8,74349
辭,10,92937
阿,10,92937
非,2,18587
安,2,18587
斯,2,18587
注,2,18587
願,6,55762
狂,2,18587
固,2,18587
拂,2,18587
游,2,18587
暑,2,18587
溢,2,18587
婦,2,18587
楚,4,37175
谷,10,92937
妾,2,18587
問,2,18587
野,4,37175
嗟,2,18587
為,6,55762
財,2,18587
伏,2,18587
鄙,8,74349
抽,6,55762
喬,2,18587
《,2,18587
流,6,55762
淫,2,18587
風,4,37175
地,2,18587
濁,2,18587
旁,2,18587
南,10,92937
木,2,18587
寤,2,18587
處,12,111524
丘,6,55762
棄,4,37175
軫,4,37175
調,4,37175
從,2,18587
北,8,74349
永,2,18587
禮,6,55762
資,2,18587
少,2,18587
乞,2,18587
早,2,18587
隱,2,18587
敢,4,37175
自,4,37175
貢,24,223048
徂,4,37175
陋,2,18587
年,2,18587
水,4,37175
滿,2,18587
遊,4,37175
一,6,55762
思,4,37175
分,2,18587
辨,2,18587
聞,2,18587
嚮,2,18587
心,6,55762
璜,2,18587
琴,6,55762
親,2,18587
挹,4,37175
復,2,18587
受,2,18587
授,10,92937
上,2,18587
情,4,37175
」,28,260223
天,2,18587
告,2,18587
婢,2,18587
竊,2,18587
達,4,37175
見,2,18587
浣,6,55762
還,2,18587
置,2,18587
頌,2,18587
私,2,18587
身,2,18587
言,4,37175
佩,2,18587
往,4,37175
海,2,18587
絺,4,37175
隧,6,55762
深,2,18587
當,2,18587
入,2,18587
》,2,18587
迎,2,18587
求,2,18587
命,2,18587
借,2,18587
音,4,37175
無,4,37175
反,2,18587
異,2,18587
曲,2,18587
久,2,18587
客,2,18587
賢,2,18587
行,2,18587
我,10,92937
甚,2,18587
觀,4,37175
譚,4,37175
詩,2,18587
