Character, Abs. Freq., Rel. Freq.
叔,8,110803
時,2,27701
丹,2,27701
通,4,55402
益,2,27701
云,2,27701
欲,2,27701
楹,2,27701
氏,2,27701
別,4,55402
男,6,83102
聞,2,27701
》,2,27701
將,2,27701
桓,6,83102
廟,2,27701
橫,2,27701
閔,8,110803
延,2,27701
弒,2,27701
僖,2,27701
齮,2,27701
嗟,2,27701
桷,2,27701
弟,2,27701
父,22,304709
見,2,27701
入,4,55402
齊,8,110803
伐,2,27701
？,2,27701
邾,2,27701
莒,2,27701
公,28,387812
恐,2,27701
慶,20,277008
般,4,55402
棗,2,27701
使,4,55402
卜,2,27701
哀,26,360111
召,2,27701
致,2,27701
甚,2,27701
奔,4,55402
俱,2,27701
栗,2,27701
國,4,55402
及,4,55402
：,6,83102
用,4,55402
泣,2,27701
禽,2,27701
宗,2,27701
甫,2,27701
為,2,27701
姜,30,415512
夸,2,27701
好,2,27701
遂,6,83102
淫,8,110803
忌,2,27701
啜,2,27701
數,2,27701
人,4,55402
詩,2,27701
玉,2,27701
適,2,27701
女,6,83102
聽,2,27701
《,2,27701
妒,2,27701
！,2,27701
「,4,55402
立,14,193906
帛,2,27701
亡,2,27701
魯,8,110803
莊,4,55402
節,2,27701
征,2,27701
夏,2,27701
贄,6,83102
物,2,27701
自,2,27701
武,2,27701
邪,2,27701
大,6,83102
驕,4,55402
章,2,27701
禮,2,27701
謀,6,83102
」,4,55402
依,2,27701
襲,2,27701
牙,2,27701
初,2,27701
頌,2,27701
刻,2,27701
危,2,27701
幣,4,55402
黨,2,27701
宮,2,27701
殺,10,138504
無,4,55402
婦,6,83102
縱,2,27701
鳥,2,27701
今,2,27701
闈,2,27701
侯,2,27701
酖,4,55402
薨,2,27701
