Character, Abs. Freq., Rel. Freq.
歸,6,82988
衰,3,41494
人,24,331950
《,6,82988
違,3,41494
無,3,41494
務,3,41494
吾,6,82988
肯,3,41494
貞,3,41494
勸,3,41494
見,6,82988
莊,12,165975
女,3,41494
今,3,41494
時,3,41494
離,3,41494
傅,6,82988
賢,3,41494
中,3,41494
甚,3,41494
道,12,165975
公,9,124481
意,9,124481
為,3,41494
閔,3,41494
節,3,41494
嘗,3,41494
行,6,82988
壹,9,124481
恐,3,41494
失,3,41494
》,6,82988
序,3,41494
憐,3,41494
詩,12,165975
微,12,165975
執,6,82988
命,3,41494
衛,3,41494
君,9,124481
遣,3,41494
胡,9,124481
？,9,124481
終,6,82988
式,9,124481
納,3,41494
往,3,41494
作,9,124481
編,3,41494
母,6,82988
遇,3,41494
義,6,82988
頌,3,41494
：,15,207469
俟,3,41494
反,6,82988
異,3,41494
同,3,41494
！,3,41494
路,3,41494
欲,3,41494
乖,3,41494
婦,12,165975
黎,9,124481
侯,3,41494
」,12,165975
「,12,165975
守,3,41494
合,3,41494
