Character, Abs. Freq., Rel. Freq.
宋,2,14556
充,2,14556
室,2,14556
神,2,14556
窮,4,29112
父,6,43668
怪,2,14556
自,2,14556
』,4,29112
深,4,29112
說,4,29112
奔,4,29112
景,16,116448
廢,2,14556
害,4,29112
祠,2,14556
玩,4,29112
囚,2,14556
惶,2,14556
衍,6,43668
風,2,14556
：,26,189229
明,8,58224
里,2,14556
頌,2,14556
拘,2,14556
！,8,58224
鄰,2,14556
郭,2,14556
樂,2,14556
吏,2,14556
命,4,29112
好,4,29112
即,2,14556
飲,2,14556
婧,6,43668
愛,6,43668
卒,2,14556
陰,2,14556
草,2,14556
望,2,14556
滋,2,14556
聞,10,72780
究,2,14556
殆,2,14556
令,12,87336
國,6,43668
遂,2,14556
折,2,14556
方,2,14556
恚,2,14556
？,4,29112
禱,2,14556
崇,4,29112
私,2,14556
我,2,14556
醉,6,43668
千,2,14556
」,20,145560
寡,4,29112
公,22,160116
數,2,14556
蒞,2,14556
城,2,14556
太,2,14556
糱,2,14556
義,2,14556
順,2,14556
備,2,14556
召,2,14556
進,2,14556
山,2,14556
陽,2,14556
時,6,43668
樹,4,29112
首,2,14556
悼,2,14556
為,12,87336
鐘,2,14556
罪,4,29112
鼓,2,14556
畜,2,14556
旱,2,14556
祀,4,29112
老,2,14556
懸,4,29112
言,4,29112
稱,2,14556
極,2,14556
使,4,29112
拔,2,14556
淫,2,14556
受,2,14556
役,2,14556
辭,2,14556
天,4,29112
朝,2,14556
植,4,29112
賊,4,29112
》,2,14556
苗,2,14556
雨,8,58224
笑,2,14556
云,2,14556
色,2,14556
王,2,14556
孤,2,14556
加,4,29112
齊,2,14556
水,2,14556
對,2,14556
法,6,43668
美,2,14556
圖,2,14556
北,2,14556
威,4,29112
稽,2,14556
祿,2,14556
造,2,14556
力,4,29112
刑,10,72780
《,2,14556
勝,4,29112
守,6,43668
執,2,14556
免,4,29112
人,14,101892
君,14,101892
內,2,14556
調,2,14556
願,2,14556
政,2,14556
殃,4,29112
相,2,14556
昔,2,14556
「,20,145560
吾,6,43668
恐,2,14556
麴,2,14556
行,2,14556
暴,4,29112
木,4,29112
女,8,58224
請,4,29112
逆,4,29112
；,4,29112
詩,2,14556
卜,4,29112
問,2,14556
幸,2,14556
傷,22,160116
野,2,14556
名,4,29112
犯,12,87336
妾,10,72780
民,18,131004
慈,2,14556
告,2,14556
門,4,29112
繁,2,14556
罷,2,14556
敬,2,14556
日,2,14556
大,8,58224
身,2,14556
觀,2,14556
損,2,14556
欲,4,29112
正,4,29112
賤,4,29112
味,2,14556
堂,2,14556
嬰,4,29112
悟,2,14556
年,2,14556
食,2,14556
殺,8,58224
晏,14,101892
『,4,29112
面,2,14556
入,2,14556
財,4,29112
嚴,4,29112
懼,2,14556
惕,2,14556
今,6,43668
降,2,14556
死,8,58224
亶,2,14556
將,2,14556
當,8,58224
見,6,43668
憂,2,14556
具,2,14556
穀,2,14556
禾,2,14556
槐,30,218341
宮,2,14556
