Character, Abs. Freq., Rel. Freq.
齊,12,112994
歌,4,37665
師,2,18832
禹,2,18832
事,2,18832
老,8,75330
擊,2,18832
角,2,18832
安,2,18832
白,10,94162
云,4,37665
天,4,37665
識,2,18832
佐,2,18832
母,2,18832
稱,2,18832
生,4,37665
聞,2,18832
仕,2,18832
笑,2,18832
大,2,18832
使,4,37665
浩,12,112994
吾,4,37665
國,8,75330
太,4,37665
皋,2,18832
賤,8,75330
駃,2,18832
商,2,18832
昔,4,37665
》,2,18832
戒,2,18832
疑,2,18832
無,2,18832
道,2,18832
《,2,18832
詩,8,75330
尹,2,18832
問,4,37665
外,2,18832
為,12,112994
水,10,94162
民,2,18832
敢,2,18832
市,2,18832
鯈,4,37665
命,2,18832
公,18,169492
官,2,18832
邪,10,94162
弱,8,75330
色,4,37665
居,2,18832
牛,4,37665
報,4,37665
詢,2,18832
古,2,18832
今,2,18832
桓,12,112994
立,2,18832
蕘,2,18832
請,2,18832
進,4,37665
』,4,37665
：,22,207156
封,2,18832
非,2,18832
頌,2,18832
年,2,18832
遇,2,18832
屠,2,18832
語,4,37665
府,2,18832
從,4,37665
平,2,18832
甚,2,18832
臣,2,18832
「,18,169492
芻,2,18832
相,2,18832
『,4,37665
朝,6,56497
知,8,75330
贊,2,18832
來,2,18832
妾,14,131827
日,10,94162
車,2,18832
謀,4,37665
戚,16,150659
仲,16,150659
憂,8,75330
謝,2,18832
君,12,112994
超,2,18832
欲,4,37665
八,2,18832
甯,18,169492
伊,2,18832
歲,2,18832
望,2,18832
召,2,18832
汝,2,18832
說,2,18832
觀,8,75330
席,2,18832
七,4,37665
」,18,169492
悅,2,18832
見,4,37665
！,4,37665
悲,2,18832
？,16,150659
言,2,18832
異,2,18832
定,2,18832
我,8,75330
少,8,75330
脩,2,18832
榇,2,18832
迎,6,56497
騠,2,18832
毋,8,75330
宿,2,18832
門,2,18832
人,4,37665
婧,8,75330
將,4,37665
東,2,18832
治,6,56497
媵,2,18832
嘉,2,18832
魚,2,18832
家,6,56497
耶,2,18832
氏,2,18832
湯,2,18832
管,20,188324
因,4,37665
僕,2,18832
