Character, Abs. Freq., Rel. Freq.
紀,6,70922
墜,1,11820
龍,1,11820
明,1,11820
汎,2,23641
死,1,11820
雀,1,11820
質,1,11820
少,1,11820
侍,1,11820
變,1,11820
魯,1,11820
成,4,47281
謀,1,11820
賁,1,11820
蝕,1,11820
遺,2,23641
尚,1,11820
萬,4,47281
昇,2,23641
勸,1,11820
瞻,1,11820
允,1,11820
妨,1,11820
神,4,47281
術,1,11820
值,1,11820
星,4,47281
一,7,82742
晝,1,11820
志,2,23641
繫,1,11820
夏,3,35461
陋,1,11820
震,1,11820
舉,2,23641
雨,4,47281
易,1,11820
討,1,11820
大,4,47281
勢,1,11820
卷,1,11820
姓,1,11820
許,1,11820
覽,1,11820
哀,1,11820
體,1,11820
奇,1,11820
嘉,1,11820
立,3,35461
兵,1,11820
涌,1,11820
翔,1,11820
君,2,23641
禾,1,11820
藝,1,11820
醴,1,11820
國,5,59102
麟,1,11820
訓,1,11820
盛,1,11820
說,1,11820
東,1,11820
假,1,11820
權,1,11820
練,1,11820
興,1,11820
斯,1,11820
害,1,11820
惠,1,11820
治,3,35461
見,3,35461
遷,1,11820
定,1,11820
獲,1,11820
孝,1,11820
男,1,11820
繁,1,11820
給,3,35461
鼎,1,11820
略,4,47281
重,2,23641
冰,1,11820
復,1,11820
裂,1,11820
詔,1,11820
巡,1,11820
歲,3,35461
經,2,23641
女,1,11820
人,3,35461
名,1,11820
善,2,23641
紙,1,11820
河,2,23641
鈔,1,11820
傳,2,23641
石,2,23641
策,2,23641
枯,1,11820
祥,2,23641
綜,1,11820
開,1,11820
甘,1,11820
旨,1,11820
無,3,35461
法,3,35461
亮,1,11820
功,3,35461
孛,1,11820
鳳,1,11820
刪,1,11820
秋,1,11820
天,5,59102
后,2,23641
淺,1,11820
比,1,11820
泥,1,11820
林,1,11820
楚,1,11820
悅,3,35461
懼,1,11820
群,1,11820
揆,1,11820
虞,1,11820
吏,1,11820
內,1,11820
記,2,23641
監,2,23641
序,1,11820
雷,1,11820
芝,1,11820
詭,1,11820
降,2,23641
省,3,35461
政,2,23641
古,1,11820
文,2,23641
茂,1,11820
籍,2,23641
檮,1,11820
餘,1,11820
亂,1,11820
輔,1,11820
晉,1,11820
末,2,23641
年,5,59102
宗,5,59102
木,2,23641
磬,1,11820
稷,1,11820
皇,1,11820
實,1,11820
王,1,11820
云,3,35461
動,1,11820
例,1,11820
臻,1,11820
上,1,11820
災,4,47281
篡,1,11820
要,2,23641
撰,2,23641
茲,1,11820
草,2,23641
作,1,11820
杌,1,11820
商,1,11820
雪,1,11820
表,1,11820
髦,1,11820
再,1,11820
荀,1,11820
遲,1,11820
鳥,1,11820
撮,1,11820
嫁,1,11820
元,2,23641
為,7,82742
觀,1,11820
事,9,106383
典,4,47281
平,4,47281
盡,1,11820
直,1,11820
征,1,11820
昔,1,11820
入,1,11820
血,1,11820
周,1,11820
習,1,11820
廢,2,23641
俊,1,11820
更,1,11820
惡,1,11820
寶,2,23641
集,5,59102
家,2,23641
光,1,11820
淵,1,11820
理,1,11820
綱,1,11820
庭,1,11820
連,1,11820
華,1,11820
同,1,11820
主,1,11820
化,2,23641
獎,1,11820
靜,1,11820
約,2,23641
山,2,23641
稱,2,23641
奏,2,23641
瑞,1,11820
中,3,35461
異,4,47281
外,1,11820
景,1,11820
地,4,47281
莽,2,23641
勳,2,23641
臣,2,23641
亢,1,11820
存,2,23641
方,1,11820
露,1,11820
舊,1,11820
魚,1,11820
用,1,11820
令,1,11820
庚,1,11820
昭,1,11820
誣,1,11820
鎮,1,11820
水,1,11820
筆,1,11820
行,3,35461
乘,1,11820
休,1,11820
便,1,11820
仁,1,11820
安,2,23641
戒,1,11820
春,1,11820
七,1,11820
馬,1,11820
辰,1,11820
棄,1,11820
獸,1,11820
陵,1,11820
求,1,11820
命,2,23641
常,2,23641
井,1,11820
總,1,11820
夷,1,11820
差,1,11820
章,1,11820
聖,1,11820
會,1,11820
隕,2,23641
祖,3,35461
通,3,35461
賢,2,23641
祕,1,11820
建,2,23641
火,1,11820
帝,4,47281
言,3,35461
式,2,23641
義,1,11820
月,1,11820
昌,1,11820
玄,1,11820
爾,2,23641
生,4,47281
忽,1,11820
冬,2,23641
泉,1,11820
高,2,23641
世,4,47281
漢,6,70922
虎,2,23641
數,1,11820
百,3,35461
幸,1,11820
懲,1,11820
白,2,23641
太,2,23641
闕,1,11820
殊,2,23641
日,1,11820
本,3,35461
溢,1,11820
書,11,130024
黃,1,11820
歷,1,11820
業,3,35461
語,1,11820
麒,1,11820
各,1,11820
德,1,11820
道,1,11820
敗,1,11820
粗,1,11820
自,1,11820
婦,1,11820
崩,1,11820
齊,1,11820
載,1,11820
持,1,11820
兼,1,11820
