Character, Abs. Freq., Rel. Freq.
郎,8,5873
河,12,8809
附,2,1468
視,2,1468
連,2,1468
奏,2,1468
財,2,1468
委,2,1468
伍,2,1468
補,2,1468
名,2,1468
食,26,19087
隨,4,2936
虜,12,8809
丁,10,7341
船,2,1468
渭,2,1468
賊,2,1468
猶,6,4405
父,26,19087
美,4,2936
圖,4,2936
固,14,10277
海,10,7341
披,2,1468
畢,6,4405
疥,4,2936
射,6,4405
被,6,4405
憐,2,1468
愛,4,2936
逆,4,2936
荊,4,2936
常,10,7341
侔,2,1468
獵,2,1468
饋,2,1468
辱,8,5873
吏,4,2936
肥,2,1468
醉,2,1468
寸,2,1468
位,16,11746
孰,4,2936
火,2,1468
行,20,14682
驗,2,1468
駕,2,1468
狂,2,1468
創,2,1468
因,20,14682
籌,2,1468
祕,2,1468
君,22,16150
月,44,32301
午,6,4405
差,2,1468
拒,2,1468
向,6,4405
購,2,1468
廝,6,4405
教,2,1468
賣,6,4405
京,4,2936
致,6,4405
赤,4,2936
驚,10,7341
丙,4,2936
招,4,2936
事,16,11746
慎,2,1468
酒,4,2936
豪,4,2936
湯,2,1468
武,16,11746
壯,8,5873
面,16,11746
姓,12,8809
鳥,2,1468
兵,50,36705
增,2,1468
圜,2,1468
勢,8,5873
耳,14,10277
弱,4,2936
纔,2,1468
憂,2,1468
吾,48,35237
吳,2,1468
綵,2,1468
坑,6,4405
龍,16,11746
略,8,5873
為,226,165908
執,8,5873
見,24,17619
困,6,4405
涕,4,2936
劍,4,2936
赴,2,1468
使,42,30832
功,62,45515
推,2,1468
井,2,1468
襲,2,1468
咎,8,5873
樊,2,1468
役,2,1468
民,4,2936
隤,2,1468
西,26,19087
我,30,22023
進,12,8809
戴,2,1468
私,2,1468
善,14,10277
雲,2,1468
意,4,2936
拱,2,1468
壬,2,1468
利,14,10277
俎,2,1468
戶,12,8809
送,2,1468
竊,6,4405
算,4,2936
廣,8,5873
穀,6,4405
賑,2,1468
遠,2,1468
時,20,14682
穿,2,1468
謁,2,1468
徇,2,1468
妻,4,2936
師,6,4405
比,4,2936
挾,2,1468
擊,30,22023
開,2,1468
觀,2,1468
人,132,96902
陵,8,5873
少,4,2936
懷,8,5873
杖,2,1468
破,10,7341
妒,2,1468
七,20,14682
漂,2,1468
