Character, Abs. Freq., Rel. Freq.
離,1,1521
單,11,16730
兵,31,47148
眩,3,4563
圖,1,1521
匿,2,3042
諸,9,13688
柏,1,1521
奮,1,1521
白,1,1521
鑿,1,1521
漢,106,161217
蓋,1,1521
哆,5,7605
室,2,3042
物,18,27376
誠,4,6084
禮,2,3042
閒,2,3042
寶,1,1521
橐,1,1521
椎,1,1521
州,2,3042
康,17,25856
貴,11,16730
盛,4,6084
逐,1,1521
布,1,1521
詐,1,1521
等,12,18251
山,9,13688
息,12,18251
》,4,6084
教,1,1521
匈,41,62357
嘗,3,4563
象,2,3042
恢,5,7605
頗,3,4563
初,9,13688
害,2,3042
俱,4,6084
尤,2,3042
侖,4,6084
關,1,1521
方,6,9125
服,2,3042
中,20,30418
）,6,9125
兩,2,3042
汲,1,1521
車,3,4563
盡,4,6084
紀,3,4563
虜,5,7605
它,1,1521
賈,6,9125
麥,2,3042
激,1,1521
災,1,1521
跡,1,1521
瑤,1,1521
筑,1,1521
桀,7,10646
浩,2,3042
柯,1,1521
巨,1,1521
牂,1,1521
著,5,7605
祁,2,3042
風,1,1521
善,21,31939
敦,8,12167
固,1,1521
年,8,12167
母,1,1521
川,1,1521
異,1,1521
黃,1,1521
救,2,3042
汗,2,3042
海,7,10646
傳,6,9125
遍,3,4563
便,1,1521
內,3,4563
斬,5,7605
空,6,9125
請,2,3042
百,13,19772
南,22,33460
總,1,1521
列,2,3042
臂,1,1521
詘,1,1521
云,6,9125
頓,1,1521
輔,1,1521
溼,2,3042
牛,2,3042
隴,2,3042
我,11,16730
君,4,6084
生,7,10646
神,3,4563
進,2,3042
貧,1,1521
斷,1,1521
使,90,136882
略,1,1521
民,8,12167
羌,5,7605
平,2,3042
輕,7,10646
屠,3,4563
什,1,1521
界,2,3042
煌,8,12167
散,1,1521
亡,8,12167
府,2,3042
宜,3,4563
甕,1,1521
開,1,1521
護,1,1521
胡,11,16730
愛,2,3042
更,5,7605
因,15,22814
直,2,3042
氏,27,41065
納,1,1521
報,3,4563
絀,1,1521
好,3,4563
患,2,3042
軍,40,60837
大,108,164259
攻,22,33460
言,27,41065
冒,1,1521
聞,13,19772
賞,2,3042
門,3,4563
眼,1,1521
結,1,1521
黎,4,6084
俗,14,21293
蘭,5,7605
非,3,4563
齎,5,7605
史,1,1521
騎,16,24335
反,3,4563
』,2,3042
覽,2,3042
役,1,1521
控,5,7605
許,3,4563
安,16,24335
覆,1,1521
端,2,3042
巂,2,3042
外,22,33460
偩,1,1521
饑,2,3042
守,7,10646
久,2,3042
宛,74,112548
晨,1,1521
食,18,27376
寡,6,9125
右,5,7605
積,3,4563
輩,5,7605
放,1,1521
師,26,39544
厚,4,6084
尉,8,12167
及,28,42586
比,2,3042
募,3,4563
同,8,12167
費,1,1521
匹,8,12167
羈,6,9125
市,9,13688
商,1,1521
蜚,2,3042
老,5,7605
險,1,1521
騾,1,1521
毒,7,10646
器,5,7605
義,1,1521
自,14,21293
贖,2,3042
私,3,4563
牡,1,1521
設,2,3042
繹,1,1521
蓿,3,4563
寵,1,1521
壯,3,4563
保,1,1521
悅,1,1521
多,30,45627
乘,3,4563
約,3,4563
《,4,6084
率,4,6084
遮,4,6084
載,1,1521
長,9,13688
降,3,4563
毋,9,13688
耕,3,4563
域,2,3042
禽,1,1521
銖,1,1521
工,2,3042
扜,3,4563
急,1,1521
專,3,4563
后,4,6084
『,2,3042
示,1,1521
陶,4,6084
夷,6,9125
月,26,39544
要,2,3042
主,4,6084
事,6,9125
七,4,6084
休,1,1521
起,3,4563
申,4,6084
古,1,1521
卿,3,4563
遺,3,4563
鬲,1,1521
