Character, Abs. Freq., Rel. Freq.
修,1,2518
滅,1,2518
詩,1,2518
兵,5,12591
唫,1,2518
陷,1,2518
眴,1,2518
齊,10,25183
用,3,7555
勿,1,2518
淫,1,2518
察,3,7555
壽,2,5037
容,7,17628
謹,1,2518
鴟,1,2518
瑜,2,5037
》,1,2518
消,1,2518
問,4,10073
闒,1,2518
涕,1,2518
慕,1,2518
魚,2,5037
嘉,2,5037
句,1,2518
東,2,5037
傷,4,10073
年,11,27701
怪,3,7555
左,1,2518
摶,1,2518
鄧,1,2518
斡,2,5037
皭,1,2518
含,1,2518
降,1,2518
議,4,10073
光,1,2518
史,1,2518
汙,2,5037
怛,1,2518
誦,1,2518
南,4,10073
百,4,10073
丐,1,2518
玉,2,5037
戰,1,2518
作,3,7555
厥,1,2518
穆,1,2518
忘,1,2518
揆,1,2518
入,6,15110
遷,4,10073
菑,1,2518
迸,1,2518
外,2,5037
留,1,2518
漢,5,12591
激,2,5037
浴,1,2518
應,1,2518
爭,2,5037
施,1,2518
人,32,80584
犬,2,5037
直,3,7555
嘆,3,7555
吟,1,2518
復,4,10073
葬,2,5037
連,1,2518
章,3,7555
寵,2,5037
郡,4,10073
騷,5,12591
沈,4,10073
聰,1,2518
舟,2,5037
唐,2,5037
隨,2,5037
漂,2,5037
］,2,5037
馮,2,5037
周,1,2518
敗,1,2518
賓,1,2518
悟,2,5037
倒,2,5037
億,1,2518
謗,1,2518
波,1,2518
新,2,5037
我,7,17628
財,1,2518
態,1,2518
辜,1,2518
清,1,2518
嗚,1,2518
見,15,37774
頓,1,2518
迫,1,2518
忠,6,15110
魂,1,2518
垠,1,2518
笑,1,2518
細,2,5037
郢,1,2518
夸,1,2518
卑,2,5037
義,2,5037
驢,1,2518
廣,3,7555
初,4,10073
傅,7,17628
暇,1,2518
稟,1,2518
紆,1,2518
瓠,1,2518
封,1,2518
黨,1,2518
質,4,10073
求,2,5037
客,2,5037
拘,2,5037
即,1,2518
止,3,7555
食,1,2518
鸮,2,5037
覽,1,2518
情,2,5037
地,9,22664
張,9,22664
原,14,35256
屬,4,10073
居,3,7555
瞝,1,2518
從,5,12591
惡,2,5037
憔,1,2518
里,3,7555
詐,1,2518
鄙,2,5037
冀,1,2518
驂,1,2518
憎,1,2518
厚,3,7555
疏,7,17628
虎,1,2518
縮,1,2518
云,1,2518
袖,3,7555
徵,3,7555
疑,3,7555
讓,2,5037
甚,4,10073
千,2,5037
尚,2,5037
漁,2,5037
反,6,15110
官,6,15110
？,17,42810
改,4,10073
甫,1,2518
永,3,7555
糟,1,2518
痛,1,2518
湖,1,2518
孟,2,5037
積,2,5037
制,3,7555
沕,2,5037
神,4,10073
惻,1,2518
武,4,10073
懷,30,75548
：,23,57920
卿,2,5037
鼎,1,2518
槁,2,5037
遭,1,2518
鑪,1,2518
都,1,2518
親,2,5037
謙,1,2518
井,1,2518
慨,1,2518
稚,1,2518
湣,1,2518
螘,1,2518
仞,1,2518
鱣,1,2518
崩,1,2518
前,2,5037
被,3,7555
怒,7,17628
縱,1,2518
獨,7,17628
匠,1,2518
對,3,7555
回,1,2518
畔,1,2518
功,1,2518
軋,1,2518
；,33,83102
吠,2,5037
真,1,2518
靡,2,5037
令,15,37774
當,2,5037
襲,3,7555
薦,1,2518
言,7,17628
列,4,10073
設,1,2518
伐,3,7555
兼,1,2518
虜,1,2518
錯,2,5037
非,3,7555
蓋,1,2518
蒙,1,2518
風,1,2518
安,2,5037
身,3,7555
陰,1,2518
輕,1,2518
罪,1,2518
蒸,1,2518
泄,1,2518
倚,1,2518
黃,1,2518
受,4,10073
轉,2,5037
羅,3,7555
冠,1,2518
尤,1,2518
徂,1,2518
矇,1,2518
曲,2,5037
置,1,2518
帝,11,27701
識,1,2518
弟,1,2518
埃,1,2518
［,2,5037
窈,2,5037
！,14,35256
雨,1,2518
桓,1,2518
柰,2,5037
微,3,7555
寥,1,2518
棄,1,2518
軫,1,2518
八,2,5037
效,1,2518
芳,1,2518
并,2,5037
愍,1,2518
荒,1,2518
諫,3,7555
內,4,10073
召,2,5037
彈,1,2518
誰,2,5037
遰,2,5037
憲,1,2518
萬,5,12591
勸,2,5037
玄,1,2518
空,1,2518
髪,1,2518
嚳,1,2518
秦,20,50365
搖,1,2518
歲,4,10073
疾,2,5037
小,3,7555
遺,2,5037
紛,4,10073
載,1,2518
覆,1,2518
蹇,1,2518
起,1,2518
遇,1,2518
古,1,2518
每,2,5037
文,15,37774
凶,2,5037
茸,1,2518
炭,1,2518
成,1,2518
