Character, Abs. Freq., Rel. Freq.
久,7,8301
羽,9,10672
風,13,15416
光,1,1186
冠,1,1186
奏,11,13044
廊,3,3557
臣,17,20159
息,5,5929
威,5,5929
撫,1,1186
區,1,1186
穌,1,1186
昏,1,1186
祥,1,1186
霑,1,1186
墓,1,1186
尺,1,1186
具,1,1186
獸,2,2372
豕,1,1186
孫,2,2372
雍,3,3557
大,39,46247
庶,4,4743
腹,1,1186
廟,8,9487
祀,4,4743
審,4,4743
臨,3,3557
減,1,1186
視,1,1186
郊,1,1186
侯,15,17787
戒,3,3557
再,4,4743
哭,1,1186
壽,1,1186
缺,1,1186
英,1,1186
焦,1,1186
祿,1,1186
解,1,1186
溢,1,1186
剌,1,1186
今,9,10672
臺,1,1186
孤,1,1186
繩,1,1186
愚,1,1186
覲,1,1186
綱,2,2372
狄,2,2372
箕,1,1186
釋,1,1186
豈,1,1186
序,8,9487
廢,2,2372
濁,1,1186
斟,1,1186
聰,2,2372
言,14,16601
靜,8,9487
牛,2,2372
疆,2,2372
制,13,15416
旌,1,1186
迭,1,1186
酌,1,1186
首,1,1186
桃,1,1186
石,3,3557
彈,1,1186
奮,6,7115
悌,1,1186
削,1,1186
滌,3,3557
合,16,18973
玄,3,3557
兒,1,1186
虞,2,2372
象,14,16601
嘆,4,4743
應,8,9487
一,15,17787
凶,1,1186
冕,3,3557
沈,1,1186
呂,1,1186
匱,1,1186
弛,1,1186
辯,3,3557
治,22,26088
剛,2,2372
軍,2,2372
望,1,1186
夜,3,3557
論,2,2372
冥,1,1186
牟,2,2372
黎,1,1186
恭,3,3557
儀,1,1186
廷,1,1186
沙,1,1186
甲,1,1186
夏,8,9487
返,1,1186
面,1,1186
」,55,65220
左,6,7115
施,5,5929
高,7,8301
蚤,2,2372
傷,1,1186
勢,1,1186
慈,2,2372
宋,2,2372
裕,1,1186
惟,1,1186
溫,2,2372
及,10,11858
男,4,4743
拜,2,2372
戈,1,1186
詐,3,3557
致,5,5929
偽,3,3557
新,4,4743
徵,4,4743
保,1,1186
將,7,8301
葆,1,1186
血,3,3557
［,2,2372
犯,1,1186
路,1,1186
難,2,2372
設,1,1186
延,4,4743
饑,1,1186
俗,3,3557
麤,1,1186
萌,1,1186
嘗,4,4743
敝,1,1186
終,12,14230
說,4,4743
莊,7,8301
采,3,3557
斷,3,3557
卒,1,1186
鈇,1,1186
賜,2,2372
酢,1,1186
秦,2,2372
史,2,2372
舒,3,3557
諧,1,1186
禽,1,1186
』,4,4743
節,21,24902
西,4,4743
妄,1,1186
梢,1,1186
接,4,4743
魯,1,1186
屢,2,2372
弱,1,1186
朝,4,4743
悔,1,1186
洼,1,1186
斯,5,5929
孝,4,4743
祉,1,1186
沛,2,2372
謙,5,5929
仲,1,1186
異,8,9487
侍,2,2372
婚,1,1186
倒,1,1186
姦,7,8301
鼻,1,1186
端,3,3557
醬,1,1186
興,10,11858
緩,2,2372
河,1,1186
帝,9,10672
作,32,37946
余,1,1186
驕,2,2372
誠,3,3557
裼,1,1186
修,2,2372
示,2,2372
亡,7,8301
調,1,1186
革,2,2372
康,1,1186
壇,1,1186
族,2,2372
隨,1,1186
華,4,4743
寒,2,2372
殈,1,1186
鬼,6,7115
留,1,1186
習,7,8301
放,3,3557
倫,3,3557
遺,4,4743
北,5,5929
困,1,1186
輕,1,1186
涉,1,1186
蒲,1,1186
況,1,1186
歌,32,37946
肝,1,1186
脅,1,1186
仁,5,5929
氣,18,21345
薄,2,2372
舍,1,1186
宿,2,2372
昌,1,1186
袒,1,1186
順,13,15416
隱,2,2372
民,38,45061
謹,1,1186
書,2,2372
永,1,1186
獄,1,1186
饗,3,3557
燕,1,1186
淫,14,16601
俯,4,4743
秋,2,2372
細,1,1186
俾,2,2372
百,9,10672
訊,1,1186
父,6,7115
朱,2,2372
集,2,2372
佚,6,7115
獨,3,3557
反,14,16601
液,1,1186
敗,2,2372
知,32,37946
怯,1,1186
容,9,10672
諾,1,1186
哀,9,10672
令,4,4743
孔,3,3557
邪,9,10672
弦,8,9487
赤,2,2372
薊,1,1186
銷,1,1186
害,1,1186
廣,9,10672
載,1,1186
級,3,3557
苦,2,2372
讀,2,2372
桑,1,1186
定,6,7115
聚,3,3557
謚,1,1186
走,2,2372
喪,3,3557
禍,3,3557
宛,1,1186
畜,1,1186
功,5,5929
娛,2,2372
窮,6,7115
旅,3,3557
工,1,1186
待,1,1186
口,3,3557
胎,1,1186
女,7,8301
七,1,1186
笙,2,2372
形,10,11858
飛,1,1186
誰,1,1186
欣,2,2372
饋,1,1186
漢,1,1186
小,8,9487
惠,2,2372
祠,3,3557
危,1,1186
訟,1,1186
養,3,3557
司,3,3557
姻,1,1186
更,2,2372
爾,1,1186
硁,2,2372
慢,8,9487
好,22,26088
絲,2,2372
懘,1,1186
覆,1,1186
醉,1,1186
補,1,1186
簧,1,1186
溺,4,4743
干,12,14230
家,4,4743
積,2,2372
穢,1,1186
須,7,8301
遂,5,5929
晉,4,4743
衰,3,3557
涓,4,4743
夾,2,2372
汲,1,1186
雨,5,5929
前,1,1186
信,4,4743
執,4,4743
周,6,7115
育,3,3557
閉,1,1186
籥,1,1186
成,27,32017
筵,1,1186
失,4,4743
偏,2,2372
人,50,59291
右,7,8301
棄,2,2372
庭,1,1186
非,17,20159
要,1,1186
兵,2,2372
龍,2,2372
詩,14,16601
卑,3,3557
鳥,1,1186
惻,1,1186
肺,1,1186
劍,1,1186
無,23,27274
太,8,9487
韶,1,1186
幼,5,5929
身,6,7115
跇,1,1186
德,33,39132
月,2,2372
推,1,1186
杞,1,1186
鄙,3,3557
受,1,1186
盡,3,3557
臥,1,1186
趣,1,1186
魚,2,2372
俱,1,1186
沔,1,1186
起,7,8301
從,10,11858
嫗,2,2372
藝,1,1186
鬻,1,1186
來,2,2372
達,7,8301
敬,15,17787
增,1,1186
協,3,3557
比,7,8301
退,5,5929
勝,2,2372
暑,2,2372
傾,1,1186
甘,1,1186
易,11,13044
輿,1,1186
噍,1,1186
平,15,17787
辛,1,1186
懷,1,1186
自,12,14230
坐,7,8301
張,1,1186
苞,1,1186
卿,1,1186
『,4,4743
語,4,4743
和,49,58105
毛,1,1186
貴,5,5929
義,18,21345
敢,4,4743
恣,2,2372
爵,2,2372
辨,2,2372
願,3,3557
尉,2,2372
導,1,1186
日,6,7115
錯,1,1186
閨,1,1186
公,20,23716
代,2,2372
隘,1,1186
長,14,16601
累,2,2372
壞,2,2372
備,11,13044
即,3,3557
池,1,1186
昭,2,2372
往,2,2372
鏗,3,3557
用,5,5929
千,1,1186
克,8,9487
惉,1,1186
驁,1,1186
深,5,5929
助,1,1186
陜,1,1186
氏,1,1186
隊,1,1186
