Character, Abs. Freq., Rel. Freq.
志,3,3335
鐵,1,1112
府,3,3335
迫,2,2223
贊,2,2223
服,3,3335
存,6,6670
僵,2,2223
廬,1,1112
弔,2,2223
裘,1,1112
豪,1,1112
精,1,1112
淮,5,5558
溢,1,1112
敢,11,12228
害,6,6670
商,4,4446
猲,1,1112
頭,1,1112
揜,1,1112
委,10,11116
烏,2,2223
鉏,1,1112
果,2,2223
言,14,15562
王,174,193419
鴈,3,3335
罪,9,10004
喪,1,1112
左,3,3335
雷,1,1112
案,1,1112
定,1,1112
戰,20,22232
父,5,5558
溝,1,1112
印,1,1112
棲,1,1112
屣,1,1112
嘗,6,6670
俗,1,1112
封,8,8893
險,2,2223
七,5,5558
轅,1,1112
干,2,2223
菑,4,4446
招,1,1112
請,8,8893
胥,2,2223
黑,1,1112
齊,116,128946
當,9,10004
自,12,13339
鉅,2,2223
括,1,1112
橘,1,1112
轂,1,1112
州,1,1112
刺,3,3335
賢,8,8893
季,1,1112
樂,1,1112
怨,2,2223
闚,1,1112
獻,1,1112
泄,1,1112
目,2,2223
賜,1,1112
建,1,1112
矢,1,1112
內,8,8893
亡,10,11116
賓,4,4446
噲,3,3335
終,4,4446
長,10,11116
附,7,7781
貪,1,1112
廄,1,1112
疾,1,1112
破,13,14451
固,10,11116
吹,1,1112
主,19,21120
告,4,4446
倍,5,5558
刳,1,1112
聚,2,2223
魯,1,1112
行,17,18897
危,7,7781
鞏,1,1112
厚,5,5558
務,4,4446
外,17,18897
敵,3,3335
谿,2,2223
寧,1,1112
壽,1,1112
西,28,31125
氏,8,8893
割,15,16674
為,85,94486
煩,1,1112
庭,1,1112
恃,1,1112
郭,1,1112
好,1,1112
用,7,7781
郪,1,1112
朋,2,2223
德,3,3335
佐,5,5558
養,1,1112
廟,2,2223
胡,1,1112
怵,1,1112
聽,11,12228
柯,1,1112
惠,4,4446
美,3,3335
薄,1,1112
形,2,2223
聲,1,1112
愒,1,1112
阸,3,3335
實,6,6670
諱,1,1112
挾,5,5558
鄢,1,1112
筑,2,2223
涂,1,1112
餓,2,2223
功,9,10004
中,15,16674
敏,2,2223
帷,1,1112
覆,5,5558
說,19,21120
鵠,1,1112
甚,7,7781
塞,13,14451
觀,2,2223
婚,1,1112
「,84,93375
貴,4,4446
張,1,1112
鏑,1,1112
度,3,3335
命,1,1112
率,1,1112
鼓,1,1112
帛,2,2223
胙,1,1112
冥,3,3335
閉,1,1112
兄,4,4446
流,1,1112
地,41,45576
親,16,17786
耳,1,1112
願,11,12228
敬,4,4446
抱,1,1112
挑,1,1112
怒,4,4446
勇,2,2223
學,2,2223
辭,2,2223
紂,1,1112
竊,13,14451
喟,1,1112
土,1,1112
截,1,1112
『,17,18897
惡,5,5558
予,1,1112
帶,8,8893
臂,3,3335
操,1,1112
再,3,3335
客,4,4446
寫,1,1112
暇,1,1112
救,2,2223
輜,1,1112
慮,3,3335
室,4,4446
揚,1,1112
橐,1,1112
許,1,1112
莊,1,1112
輷,2,2223
曾,4,4446
虧,1,1112
連,2,2223
尺,1,1112
音,2,2223
錦,1,1112
樓,2,2223
［,5,5558
碣,1,1112
驕,2,2223
治,3,3335
恥,1,1112
賣,1,1112
衍,1,1112
鄉,1,1112
