Character, Abs. Freq., Rel. Freq.
鮑,2,6757
彊,1,3378
意,1,3378
丑,1,3378
女,7,23649
謝,1,3378
弱,1,3378
欲,6,20270
朝,1,3378
負,1,3378
破,2,6757
鏘,2,6757
薛,1,3378
用,1,3378
顯,1,3378
王,51,172297
賢,1,3378
閒,1,3378
懿,1,3378
甚,2,6757
孔,6,20270
主,1,3378
邑,1,3378
杞,8,27027
急,1,3378
樓,5,16892
賊,1,3378
禪,1,3378
鳳,1,3378
克,2,6757
元,5,16892
救,1,3378
共,8,27027
宣,5,16892
當,3,10135
素,1,3378
郁,1,3378
甲,1,3378
陳,63,212838
建,1,3378
自,6,20270
言,8,27027
蔡,11,37162
失,1,3378
請,1,3378
還,2,6757
望,1,3378
惠,12,40541
民,1,3378
！,3,10135
代,5,16892
戎,2,6757
發,2,6757
及,6,20270
姜,3,10135
僚,1,3378
傳,2,6757
彘,1,3378
火,1,3378
名,2,6757
泄,3,10135
棄,3,10135
垂,1,3378
屬,2,6757
利,5,16892
非,1,3378
為,39,131757
裔,2,6757
帝,4,13514
執,1,3378
徙,1,3378
幕,1,3378
東,6,20270
天,2,6757
龍,1,3378
突,1,3378
妻,3,10135
小,2,6757
哀,12,40541
疾,4,13514
問,2,6757
吁,1,3378
八,9,30405
少,4,13514
頊,1,3378
侯,14,47297
［,2,6757
卜,1,3378
物,1,3378
廏,1,3378
轅,2,6757
戲,2,6757
入,1,3378
適,1,3378
弟,12,40541
射,1,3378
靈,15,50676
吳,16,54054
南,1,3378
堯,1,3378
臼,2,6757
穆,6,20270
尚,1,3378
莊,8,27027
吾,1,3378
公,166,560811
午,2,6757
乘,1,3378
項,1,3378
病,2,6757
綦,1,3378
司,1,3378
隱,5,16892
筮,1,3378
留,6,20270
嬖,2,6757
居,1,3378
滿,2,6757
籍,1,3378
句,1,3378
仲,3,10135
釋,1,3378
田,4,13514
誅,3,10135
舜,9,30405
月,7,23649
完,5,16892
孫,1,3378
高,1,3378
家,4,13514
前,1,3378
敢,1,3378
州,1,3378
奉,2,6757
娶,5,16892
戌,1,3378
伐,12,40541
正,3,10135
胥,1,3378
瞽,1,3378
母,2,6757
否,1,3378
太,18,60811
妾,3,10135
分,1,3378
魯,2,6757
右,1,3378
侵,1,3378
閭,1,3378
葉,1,3378
守,2,6757
騶,1,3378
郟,1,3378
空,1,3378
求,3,10135
罪,1,3378
均,1,3378
迎,1,3378
畢,1,3378
敬,2,6757
懷,6,20270
維,1,3378
伯,3,10135
立,51,172297
旅,1,3378
似,2,6757
令,4,13514
寵,1,3378
兩,1,3378
容,1,3378
幽,6,20270
見,1,3378
續,2,6757
釐,5,16892
餘,2,6757
盟,1,3378
羽,1,3378
免,3,10135
姑,2,6757
懼,1,3378
周,22,74324
（,1,3378
行,2,6757
趙,1,3378
工,1,3378
濤,2,6757
誘,1,3378
父,6,20270
犬,1,3378
際,1,3378
御,3,10135
差,2,6757
獨,1,3378
祀,4,13514
卒,42,141892
鳴,1,3378
記,1,3378
國,10,33784
慎,3,10135
艾,1,3378
后,5,16892
氏,6,20270
徒,1,3378
皋,2,6757
奪,2,6757
昭,3,10135
酒,1,3378
詐,1,3378
燮,1,3378
明,1,3378
卿,2,6757
亂,4,13514
滕,1,3378
《,1,3378
年,71,239865
命,1,3378
將,1,3378
陵,2,6757
政,2,6757
顓,1,3378
）,1,3378
采,1,3378
夷,3,10135
殷,7,23649
族,1,3378
臣,5,16892
奔,6,20270
瞍,1,3378
媯,4,13514
縣,1,3378
夏,9,30405
苗,2,6757
惡,2,6757
血,1,3378
身,1,3378
皇,1,3378
中,2,6757
徵,10,33784
嶽,1,3378
喪,1,3378
偃,1,3378
齊,14,47297
遂,5,16892
軍,1,3378
丐,1,3378
封,12,40541
