Character, Abs. Freq., Rel. Freq.
恒,1,3089
急,4,12357
閼,2,6179
首,1,3089
上,38,117393
使,23,71053
竟,2,6179
數,8,24714
厚,1,3089
（,2,6179
邸,1,3089
受,1,3089
致,1,3089
顯,1,3089
冠,1,3089
盧,19,58696
許,3,9268
僨,1,3089
司,1,3089
」,26,80321
率,1,3089
梁,3,9268
侯,21,64875
柴,2,6179
降,13,40161
身,2,6179
稱,7,21625
魏,2,6179
河,1,3089
頗,2,6179
入,15,46339
主,1,3089
綰,28,86500
煩,1,3089
倚,1,3089
當,7,21625
漳,1,3089
邪,1,3089
果,1,3089
石,1,3089
書,4,12357
春,5,15446
令,11,33982
世,3,9268
聚,1,3089
崩,3,9268
居,11,33982
）,2,6179
宮,1,3089
視,2,6179
近,2,6179
右,4,12357
頓,5,15446
滅,1,3089
一,7,21625
聲,1,3089
遣,2,6179
勢,1,3089
守,7,21625
常,13,40161
到,1,3089
卒,6,18536
劫,2,6179
還,7,21625
家,5,15446
思,2,6179
覆,1,3089
名,3,9268
時,8,24714
兩,5,15446
求,4,12357
裔,1,3089
財,1,3089
楚,5,15446
因,3,9268
真,1,3089
據,1,3089
特,1,3089
食,2,6179
疵,1,3089
陷,1,3089
痿,1,3089
坐,1,3089
徼,1,3089
武,3,9268
「,26,80321
亞,1,3089
弩,1,3089
！,7,21625
喜,2,6179
鴈,1,3089
誰,1,3089
請,3,9268
德,1,3089
告,1,3089
盲,1,3089
無,6,18536
仆,7,21625
金,1,3089
悉,1,3089
鋒,1,3089
哀,1,3089
治,2,6179
北,8,24714
男,1,3089
閉,1,3089
離,1,3089
怒,1,3089
死,6,18536
面,2,6179
詿,1,3089
宛,2,6179
咸,1,3089
引,3,9268
馬,4,12357
來,2,6179
處,1,3089
被,2,6179
忘,2,6179
富,1,3089
戲,1,3089
景,1,3089
歸,9,27804
弟,2,6179
觖,1,3089
朐,1,3089
鄭,1,3089
項,9,27804
族,2,6179
聊,1,3089
晉,4,12357
寸,1,3089
王,71,219339
祖,14,43250
自,7,21625
存,1,3089
秦,1,3089
暮,1,3089
谷,3,9268
積,1,3089
素,1,3089
成,5,15446
愈,2,6179
羽,1,3089
案,2,6179
衣,3,9268
周,5,15446
嘉,1,3089
東,12,37071
麾,1,3089
號,1,3089
鄉,1,3089
冬,5,15446
罷,1,3089
嫣,1,3089
韓,37,114303
群,4,12357
陛,3,9268
立,9,27804
孤,2,6179
見,9,27804
隨,2,6179
重,1,3089
封,9,27804
共,2,6179
勿,1,3089
餘,7,21625
史,2,6179
行,3,9268
南,7,21625
樊,3,9268
責,1,3089
橫,1,3089
勁,1,3089
日,4,12357
垣,4,12357
酒,3,9268
籍,6,18536
裨,1,3089
剖,1,3089
破,9,27804
遺,2,6179
登,1,3089
內,2,6179
天,7,21625
沛,4,12357
瑕,1,3089
邯,6,18536
鞏,1,3089
通,2,6179
山,7,21625
孽,2,6179
逆,1,3089
曲,1,3089
囚,1,3089
劉,3,9268
萬,2,6179
非,5,15446
賢,1,3089
謀,2,6179
苛,1,3089
悲,1,3089
定,10,30893
罪,6,18536
侍,1,3089
望,3,9268
夷,2,6179
氏,4,12357
塞,1,3089
曾,1,3089
持,1,3089
左,5,15446
屬,5,15446
決,2,6179
君,1,3089
審,1,3089
約,1,3089
洛,2,6179
為,43,132839
：,26,80321
銅,1,3089
原,3,9268
邊,5,15446
歲,4,12357
滎,4,12357
安,4,12357
乘,2,6179
向,1,3089
徐,1,3089
孫,7,21625
謝,1,3089
蠡,1,3089
水,1,3089
乞,1,3089
今,9,27804
布,3,9268
脫,1,3089
遭,1,3089
稍,1,3089
備,1,3089
鞮,1,3089
；,6,18536
失,2,6179
和,2,6179
置,1,3089
白,2,6179
淮,2,6179
奔,1,3089
猶,1,3089
奴,21,64875
圍,3,9268
覺,1,3089
慰,1,3089
問,3,9268
復,11,33982
初,2,6179
赦,3,9268
徒,1,3089
最,1,3089
各,2,6179
走,3,9268
甚,2,6179
助,1,3089
敬,1,3089
續,1,3089
事,8,24714
散,1,3089
疑,4,12357
擊,20,61786
任,1,3089
尺,1,3089
太,12,37071
謁,1,3089
愛,5,15446
鄲,6,18536
活,1,3089
茶,1,3089
計,3,9268
病,7,21625
黥,2,6179
陰,3,9268
監,1,3089
諫,1,3089
慕,1,3089
等,12,37071
范,2,6179
仁,1,3089
合,2,6179
陽,16,49428
深,1,3089
弓,2,6179
屯,1,3089
生,7,21625
蠻,3,9268
解,2,6179
越,1,3089
變,2,6179
收,1,3089
堯,1,3089
懷,2,6179
代,15,46339
迎,1,3089
恐,4,12357
舍,2,6179
詔,3,9268
即,1,3089
追,3,9268
符,1,3089
亡,13,40161
耳,3,9268
進,1,3089
閒,3,9268
丘,5,15446
遷,1,3089
會,1,3089
禮,1,3089
心,1,3089
豨,37,114303
前,1,3089
豎,1,3089
迫,1,3089
滿,1,3089
堅,1,3089
危,1,3089
霧,1,3089
謾,1,3089
輒,1,3089
多,2,6179
交,1,3089
客,8,24714
地,9,27804
夏,1,3089
報,3,9268
冒,5,15446
道,3,9268
仗,1,3089
旦,2,6179
更,2,6179
學,1,3089
長,7,21625
臥,1,3089
困,1,3089
救,3,9268
賀,2,6179
從,13,40161
邑,4,12357
公,10,30893
高,19,58696
？,6,18536
臣,12,37071
我,1,3089
勃,1,3089
起,4,12357
文,1,3089
樓,1,3089
侵,1,3089
慚,1,3089
伏,1,3089
購,2,6179
再,1,3089
孝,2,6179
嬰,4,12357
少,1,3089
參,2,6179
反,12,37071
略,5,15446
矢,1,3089
敞,1,3089
盛,1,3089
利,1,3089
驗,1,3089
召,2,6179
荼,3,9268
遍,1,3089
吳,4,12357
罵,4,12357
緩,1,3089
全,1,3089
援,1,3089
誅,4,12357
彭,1,3089
貴,1,3089
說,7,21625
相,9,27804
奏,1,3089
權,1,3089
襄,2,6179
胡,18,55607
徙,2,6179
漢,40,123571
衍,1,3089
吾,3,9268
信,33,101946
實,1,3089
就,2,6179
懼,1,3089
川,1,3089
貊,1,3089
智,1,3089
誤,2,6179
皇,3,9268
久,2,6179
八,2,6179
燕,24,74143
姓,1,3089
戶,2,6179
豈,1,3089
斬,8,24714
匈,21,64875
徵,1,3089
噲,3,9268
騎,7,21625
土,1,3089
言,6,18536
士,3,9268
擅,1,3089
人,24,74143
傅,1,3089
連,3,9268
將,29,89589
命,3,9268
胥,1,3089
私,1,3089
讓,1,3089
傳,1,3089
俱,2,6179
遠,3,9268
黃,10,30893
廣,1,3089
力,2,6179
聞,4,12357
大,8,24714
它,1,3089
千,5,15446
羊,2,6179
材,1,3089
張,9,27804
檄,1,3089
潁,1,3089
對,2,6179
幸,6,18536
益,1,3089
呂,3,9268
往,6,18536
御,2,6179
獨,3,9268
吏,2,6179
妻,2,6179
種,1,3089
賞,2,6179
詐,2,6179
具,3,9268
七,6,18536
異,1,3089
豐,1,3089
緱,1,3089
疏,1,3089
月,6,18536
趙,14,43250
伺,1,3089
招,1,3089
同,3,9268
賓,4,12357
昌,7,21625
穨,5,15446
臨,1,3089
曼,4,12357
位,1,3089
距,2,6179
貸,1,3089
良,1,3089
西,1,3089
軍,12,37071
寤,1,3089
論,1,3089
年,18,55607
平,5,15446
婦,1,3089
閭,1,3089
勝,10,30893
車,1,3089
外,3,9268
拜,2,6179
爭,2,6179
帝,1,3089
中,10,30893
臧,4,12357
語,1,3089
擢,1,3089
里,3,9268
知,6,18536
列,4,12357
齊,3,9268
苗,1,3089
及,18,55607
孰,1,3089
諸,10,30893
葉,1,3089
飲,1,3089
后,5,15446
彊,2,6179
陶,1,3089
法,2,6179
泄,1,3089
禍,1,3089
兵,24,74143
戰,2,6179
巷,1,3089
賈,2,6179
欲,8,24714
辟,3,9268
赴,1,3089
親,3,9268
曹,1,3089
攻,3,9268
奪,1,3089
護,1,3089
窮,1,3089
屠,1,3089
他,1,3089
城,13,40161
頟,1,3089
撫,1,3089
靈,1,3089
壯,3,9268
陳,12,37071
物,1,3089
游,1,3089
畔,1,3089
功,8,24714
遂,9,27804
明,1,3089
關,1,3089
賜,1,3089
敗,7,21625
蜀,1,3089
虜,3,9268
官,1,3089
寬,2,6179
待,1,3089
專,1,3089
門,1,3089
擇,1,3089
伐,1,3089
尉,9,27804
敢,1,3089
寇,2,6179
伍,1,3089
蕭,1,3089
習,1,3089
別,1,3089
秋,2,6179
跂,1,3089
匿,4,12357
善,2,6179
累,1,3089
發,1,3089
國,5,15446
沙,1,3089
都,3,9268
盡,1,3089
江,1,3089
龍,1,3089
