Character, Abs. Freq., Rel. Freq.
幽,1,22026
歷,1,22026
辱,1,22026
非,1,22026
宗,1,22026
咸,1,22026
苗,1,22026
新,1,22026
驕,1,22026
口,1,22026
餘,3,66079
根,1,22026
勞,1,22026
代,1,22026
尊,1,22026
稷,1,22026
枝,1,22026
協,1,22026
欲,2,44053
固,1,22026
嬖,1,22026
舊,1,22026
閱,1,22026
無,1,22026
全,1,22026
家,1,22026
讀,1,22026
周,1,22026
亡,2,44053
和,1,22026
本,2,44053
里,1,22026
王,1,22026
孫,1,22026
誓,1,22026
人,2,44053
法,2,44053
蕃,1,22026
稍,1,22026
尚,1,22026
國,3,66079
名,1,22026
倍,1,22026
嘗,1,22026
戶,3,66079
品,1,22026
泰,1,22026
力,1,22026
閒,1,22026
居,1,22026
商,1,22026
溢,1,22026
遷,1,22026
臣,3,66079
坐,1,22026
爰,1,22026
統,1,22026
封,4,88106
受,1,22026
覽,1,22026
疑,1,22026
；,1,22026
文,1,22026
灌,1,22026
篤,1,22026
忘,1,22026
用,1,22026
屬,1,22026
帶,1,22026
微,1,22026
世,4,88106
淫,1,22026
百,4,88106
寵,1,22026
秋,1,22026
興,1,22026
大,2,44053
志,1,22026
緄,1,22026
社,1,22026
謹,1,22026
初,2,44053
夏,1,22026
年,1,22026
自,3,66079
歲,1,22026
著,1,22026
等,1,22026
」,2,44053
君,1,22026
益,1,22026
少,1,22026
小,2,44053
虞,1,22026
密,1,22026
上,1,22026
史,1,22026
表,1,22026
厲,2,44053
及,2,44053
仁,1,22026
夷,1,22026
闕,1,22026
？,3,66079
絳,1,22026
云,1,22026
漢,1,22026
務,1,22026
定,2,44053
曹,1,22026
使,1,22026
秏,1,22026
立,1,22026
息,1,22026
命,1,22026
民,1,22026
陵,1,22026
廟,1,22026
：,3,66079
裔,1,22026
春,1,22026
各,1,22026
衰,1,22026
道,1,22026
爵,1,22026
河,1,22026
帝,1,22026
末,1,22026
蕭,1,22026
散,1,22026
書,2,44053
成,1,22026
言,1,22026
殊,1,22026
同,1,22026
侯,5,110132
公,1,22026
隕,1,22026
為,1,22026
見,2,44053
高,1,22026
德,1,22026
兢,2,44053
萬,3,66079
鄉,1,22026
祖,1,22026
唐,1,22026
太,2,44053
「,2,44053
日,1,22026
天,2,44053
頗,1,22026
豈,2,44053
明,2,44053
功,5,110132
當,2,44053
富,1,22026
山,1,22026
數,3,66079
余,1,22026
衛,1,22026
！,1,22026
永,1,22026
奉,1,22026
失,2,44053
列,1,22026
林,1,22026
義,1,22026
歸,1,22026
觀,1,22026
古,2,44053
載,1,22026
異,2,44053
八,1,22026
勳,1,22026
推,1,22026
廢,1,22026
鏡,1,22026
終,1,22026
厚,1,22026
伐,1,22026
今,1,22026
伯,1,22026
要,1,22026
《,1,22026
蓋,1,22026
首,1,22026
寧,1,22026
身,1,22026
罔,1,22026
察,1,22026
禁,1,22026
紀,1,22026
盡,2,44053
葉,1,22026
都,1,22026
》,1,22026
禮,1,22026
聞,2,44053
積,1,22026
千,2,44053
城,1,22026
