Character, Abs. Freq., Rel. Freq.
」,10,186567
師,2,37313
盛,1,18657
士,1,18657
道,2,37313
天,7,130597
拘,1,18657
吾,2,37313
上,1,18657
謀,1,18657
曆,1,18657
反,1,18657
新,1,18657
宿,1,18657
一,3,55970
年,4,74627
緯,1,18657
陽,4,74627
封,1,18657
著,1,18657
王,5,93284
春,1,18657
柰,1,18657
及,1,18657
生,8,149254
設,2,37313
國,2,37313
；,8,149254
穗,1,18657
長,4,74627
伐,2,37313
君,2,37313
聚,2,37313
際,1,18657
知,1,18657
會,1,18657
舜,1,18657
象,1,18657
種,2,37313
甲,1,18657
收,2,37313
銀,1,18657
舉,1,18657
八,2,37313
早,1,18657
冬,2,37313
念,1,18657
集,1,18657
陰,5,93284
信,1,18657
金,1,18657
男,1,18657
糶,1,18657
真,2,37313
穀,1,18657
意,1,18657
從,1,18657
深,1,18657
原,2,37313
歡,1,18657
謹,1,18657
理,1,18657
極,1,18657
成,2,37313
死,6,111940
塗,1,18657
惟,2,37313
霸,1,18657
厥,1,18657
審,2,37313
臣,1,18657
入,1,18657
逋,1,18657
思,1,18657
太,1,18657
兵,2,37313
養,1,18657
夏,2,37313
倍,1,18657
破,1,18657
救,1,18657
應,1,18657
息,1,18657
吳,2,37313
文,1,18657
恐,1,18657
穢,2,37313
察,3,55970
門,1,18657
？,3,55970
欲,3,55970
望,1,18657
賤,2,37313
女,1,18657
富,1,18657
苗,3,55970
明,2,37313
：,10,186567
敵,1,18657
興,2,37313
』,4,74627
孤,3,55970
「,10,186567
除,3,55970
老,1,18657
仰,1,18657
倉,2,37313
前,1,18657
別,1,18657
作,1,18657
蓄,1,18657
少,3,55970
畜,2,37313
熾,1,18657
失,2,37313
勾,1,18657
越,6,111940
備,1,18657
堯,1,18657
庫,1,18657
永,1,18657
善,2,37313
筴,1,18657
對,1,18657
無,6,111940
量,1,18657
美,1,18657
『,4,74627
實,1,18657
府,1,18657
德,2,37313
稅,1,18657
留,2,37313
藏,2,37313
歎,1,18657
請,1,18657
歲,1,18657
戶,1,18657
虛,4,74627
問,2,37313
地,4,74627
勵,1,18657
氣,3,55970
陳,1,18657
計,7,130597
觀,1,18657
內,1,18657
滿,1,18657
樂,1,18657
時,4,74627
要,1,18657
偽,2,37313
存,4,74627
！,2,37313
榖,1,18657
貴,2,37313
勸,1,18657
秋,2,37313
見,1,18657
數,1,18657
研,6,111940
踐,1,18657
居,1,18657
亡,4,74627
物,4,74627
民,1,18657
省,1,18657
