Character, Abs. Freq., Rel. Freq.
大,17,103595
太,1,6094
盟,1,6094
屬,1,6094
楚,1,6094
；,16,97502
進,3,18282
蠡,2,12188
官,2,12188
親,1,6094
昔,3,18282
宿,1,6094
一,8,48751
吳,9,54845
破,2,12188
少,1,6094
毀,1,6094
惑,2,12188
糴,1,6094
念,1,6094
年,8,48751
范,2,12188
龍,1,6094
蹈,1,6094
重,4,24375
惜,1,6094
千,1,6094
外,2,12188
』,1,6094
鹿,1,6094
登,1,6094
視,1,6094
貨,1,6094
咸,1,6094
泉,1,6094
非,1,6094
辱,5,30469
神,5,30469
甲,1,6094
修,1,6094
柟,1,6094
朝,1,6094
奉,2,12188
白,1,6094
位,1,6094
分,2,12188
怨,2,12188
兵,1,6094
邑,1,6094
諫,2,12188
繩,1,6094
？,13,79220
論,2,12188
屣,1,6094
美,2,12188
各,3,18282
侯,1,6094
脫,1,6094
對,2,12188
前,2,12188
木,4,24375
返,1,6094
霸,3,18282
文,5,30469
嬰,1,6094
轉,1,6094
圍,1,6094
囚,2,12188
作,1,6094
精,1,6094
殆,1,6094
刻,1,6094
列,2,12188
名,3,18282
黃,1,6094
」,24,146252
幸,2,12188
善,3,18282
雪,2,12188
起,5,30469
師,1,6094
歸,1,6094
宮,2,12188
會,1,6094
絕,1,6094
術,8,48751
多,1,6094
難,4,24375
冀,1,6094
聞,7,42657
面,1,6094
敢,3,18282
坐,2,12188
厥,1,6094
殊,1,6094
：,27,164534
獲,1,6094
受,6,36563
手,1,6094
和,1,6094
類,1,6094
無,2,12188
磨,1,6094
魯,1,6094
覽,1,6094
弊,1,6094
巷,1,6094
路,1,6094
告,1,6094
蛇,1,6094
幣,2,12188
伯,1,6094
使,13,79220
卑,1,6094
因,1,6094
歌,1,6094
復,2,12188
厄,2,12188
吟,1,6094
粟,1,6094
報,2,12188
慚,2,12188
諛,1,6094
被,3,18282
信,1,6094
履,1,6094
皇,1,6094
衰,1,6094
昌,1,6094
察,2,12188
研,6,36563
圓,1,6094
侵,1,6094
磻,1,6094
臺,4,24375
今,5,30469
須,1,6094
高,3,18282
獻,3,18282
山,3,18282
左,5,30469
傳,2,12188
羈,1,6094
巧,2,12188
溪,1,6094
死,8,48751
嘻,1,6094
亡,3,18282
默,2,12188
王,39,237660
望,3,18282
否,1,6094
艾,1,6094
飲,1,6094
敵,1,6094
問,2,12188
備,1,6094
伐,3,18282
事,4,24375
管,1,6094
女,1,6094
行,3,18282
國,8,48751
遠,3,18282
殺,1,6094
狀,1,6094
況,1,6094
祭,3,18282
患,2,12188
選,3,18282
仇,1,6094
相,1,6094
工,4,24375
句,1,6094
咎,1,6094
輟,1,6094
計,7,42657
色,4,24375
命,1,6094
固,1,6094
別,1,6094
謬,1,6094
彩,1,6094
等,2,12188
湯,1,6094
餘,3,18282
求,2,12188
桓,2,12188
士,14,85314
餓,1,6094
穆,1,6094
澤,1,6094
梓,1,6094
天,6,36563
諸,4,24375
楩,1,6094
陰,3,18282
畫,2,12188
芳,1,6094
好,3,18282
聲,3,18282
盡,5,30469
里,1,6094
貪,1,6094
責,1,6094
語,1,6094
召,1,6094
輔,1,6094
智,4,24375
嗟,1,6094
遺,4,24375
鬼,2,12188
明,2,12188
操,1,6094
施,1,6094
易,5,30469
水,1,6094
姑,1,6094
趨,1,6094
願,7,42657
尋,1,6094
城,1,6094
欲,4,24375
議,1,6094
開,1,6094
養,1,6094
時,1,6094
形,2,12188
立,2,12188
合,1,6094
道,2,12188
輕,2,12188
謀,3,18282
錯,1,6094
富,3,18282
紂,1,6094
江,1,6094
雕,1,6094
丹,1,6094
小,1,6094
鳥,1,6094
益,1,6094
竊,1,6094
盛,1,6094
席,1,6094
指,1,6094
人,11,67032
懷,2,12188
免,1,6094
拜,1,6094
酒,1,6094
章,1,6094
客,1,6094
效,2,12188
吾,4,24375
用,1,6094
恥,2,12188
七,1,6094
參,1,6094
設,1,6094
上,1,6094
靈,1,6094
孤,5,30469
變,1,6094
實,5,30469
校,1,6094
尊,2,12188
鍾,1,6094
言,2,12188
母,1,6094
暑,1,6094
虛,4,24375
勾,3,18282
貴,1,6094
遂,2,12188
室,2,12188
長,1,6094
守,1,6094
賢,4,24375
良,1,6094
觀,2,12188
晉,1,6094
負,1,6094
飛,1,6094
失,1,6094
隱,1,6094
地,1,6094
祉,1,6094
勿,1,6094
柰,1,6094
役,1,6094
檄,1,6094
亂,2,12188
金,2,12188
疲,2,12188
賴,1,6094
身,3,18282
右,5,30469
熟,1,6094
聽,1,6094
定,1,6094
知,4,24375
利,3,18282
公,2,12188
虜,1,6094
迷,1,6094
奴,1,6094
周,1,6094
民,5,30469
哭,1,6094
魚,1,6094
匿,2,12188
殿,1,6094
蒙,2,12188
深,3,18282
見,4,24375
中,1,6094
材,4,24375
安,2,12188
辭,3,18282
門,2,12188
入,1,6094
投,1,6094
食,1,6094
喜,1,6094
璧,1,6094
顏,1,6094
力,1,6094
生,3,18282
同,1,6094
漸,1,6094
福,2,12188
君,11,67032
敬,1,6094
功,2,12188
儼,1,6094
財,4,24375
歎,1,6094
主,2,12188
仲,1,6094
稽,1,6094
賞,1,6094
攻,1,6094
鏤,1,6094
內,3,18282
空,1,6094
仰,1,6094
憂,5,30469
討,1,6094
！,3,18282
苦,1,6094
愛,1,6094
根,2,12188
種,11,67032
自,3,18282
光,1,6094
鋒,1,6094
愧,3,18282
槁,1,6094
賄,1,6094
承,1,6094
義,1,6094
仁,2,12188
郊,2,12188
誠,1,6094
策,2,12188
治,2,12188
制,2,12188
熊,1,6094
齊,1,6094
踐,3,18282
東,3,18282
閉,1,6094
口,1,6094
八,1,6094
州,1,6094
從,1,6094
友,1,6094
西,3,18282
寒,1,6094
舉,1,6094
驚,1,6094
災,2,12188
彊,1,6094
青,1,6094
削,1,6094
審,1,6094
規,1,6094
政,1,6094
為,4,24375
夜,1,6094
鳴,1,6094
心,5,30469
榖,1,6094
聊,1,6094
意,1,6094
悅,2,12188
滅,2,12188
思,2,12188
窮,1,6094
謹,2,12188
臣,19,115783
反,1,6094
竭,1,6094
讎,2,12188
即,2,12188
教,1,6094
刃,1,6094
軀,1,6094
群,6,36563
百,1,6094
海,1,6094
寡,3,18282
再,1,6094
餌,1,6094
聚,1,6094
吏,1,6094
成,1,6094
任,3,18282
示,1,6094
胥,1,6094
越,18,109689
正,2,12188
請,2,12188
第,2,12188
蘇,1,6094
陵,1,6094
月,1,6094
祀,1,6094
桀,1,6094
戮,1,6094
『,1,6094
雙,1,6094
器,1,6094
陽,3,18282
日,1,6094
誨,1,6094
礱,1,6094
「,24,146252
