Character, Abs. Freq., Rel. Freq.
諸,2,10718
達,2,10718
援,2,10718
己,2,10718
誹,2,10718
禮,16,85745
倚,2,10718
服,2,10718
無,12,64309
賞,2,10718
魏,2,10718
近,2,10718
踞,2,10718
位,2,10718
主,16,85745
殺,2,10718
國,2,10718
」,6,32154
大,2,10718
堯,6,32154
色,2,10718
吾,6,32154
東,2,10718
修,4,21436
丘,2,10718
庳,2,10718
欲,8,42872
造,2,10718
舉,4,21436
自,4,21436
士,28,150054
昏,2,10718
確,2,10718
覺,2,10718
測,2,10718
南,2,10718
從,4,21436
北,4,21436
議,2,10718
非,2,10718
外,2,10718
坐,2,10718
用,2,10718
安,2,10718
隄,2,10718
儒,2,10718
畜,2,10718
譽,2,10718
猶,2,10718
善,6,32154
源,2,10718
朝,2,10718
言,2,10718
奚,2,10718
祿,8,42872
勝,4,21436
木,4,21436
謀,2,10718
懾,2,10718
賢,6,32154
立,2,10718
刑,2,10718
抱,2,10718
迷,2,10718
世,2,10718
卿,4,21436
鵠,2,10718
桃,2,10718
遂,6,32154
高,2,10718
臣,2,10718
智,4,21436
問,4,21436
固,6,32154
宇,2,10718
精,2,10718
空,4,21436
貴,4,21436
終,4,21436
巧,2,10718
：,6,32154
今,2,10718
堅,2,10718
八,2,10718
令,2,10718
敢,4,21436
望,2,10718
遠,2,10718
肯,6,32154
變,2,10718
宙,2,10718
長,2,10718
竭,2,10718
桓,6,32154
產,4,21436
地,2,10718
壺,2,10718
說,2,10718
多,2,10718
知,10,53591
段,4,21436
息,2,10718
難,2,10718
歸,4,21436
旦,4,21436
墨,2,10718
庸,2,10718
門,4,21436
愈,2,10718
貧,2,10718
肖,2,10718
─,4,21436
法,2,10718
陽,2,10718
虜,2,10718
？,14,75027
憂,2,10718
綣,6,32154
受,6,32154
霸,6,32154
荊,4,21436
城,2,10718
獻,2,10718
中,2,10718
人,18,96463
周,4,21436
就,4,21436
卑,2,10718
黃,4,21436
移,2,10718
女,2,10718
見,18,96463
覆,2,10718
疑,2,10718
友,2,10718
實,4,21436
德,4,21436
端,2,10718
布,6,32154
適,2,10718
渝,2,10718
慮,2,10718
驁,8,42872
食,2,10718
稷,2,10718
勿,4,21436
邪,2,10718
天,20,107181
氣,2,10718
叔,2,10718
節,6,32154
甕,2,10718
索,2,10718
垂,2,10718
內,8,42872
干,4,21436
侯,10,53591
連,2,10718
王,24,128617
騁,2,10718
少,4,21436
日,6,32154
身,2,10718
論,6,32154
行,18,96463
翟,4,21436
帝,10,53591
倦,2,10718
化,4,21436
道,14,75027
倨,2,10718
上,4,21436
爵,4,21436
責,2,10718
心,4,21436
面,4,21436
神,2,10718
桀,2,10718
成,8,42872
止,4,21436
富,2,10718
物,2,10718
牖,2,10718
充,2,10718
官,4,21436
堂,2,10718
遺,4,21436
林,2,10718
巷,2,10718
誠,4,21436
年,4,21436
相,16,85745
羞,2,10718
反,2,10718
孰,2,10718
父,2,10718
乘,4,21436
齊,8,42872
師,2,10718
往,4,21436
志,4,21436
刀,2,10718
小,4,21436
文,12,64309
為,12,64309
狠,2,10718
時,2,10718
衣,8,42872
瘁,2,10718
夸,2,10718
縱,2,10718
假,2,10718
輕,6,32154
七,2,10718
攝,2,10718
甚,2,10718
宗,2,10718
鄭,4,21436
驕,12,64309
「,6,32154
李,2,10718
萬,4,21436
弟,4,21436
；,8,42872
窮,4,21436
錐,2,10718
深,2,10718
武,4,21436
公,14,75027
循,2,10718
好,4,21436
陰,2,10718
一,4,21436
俗,2,10718
