Character, Abs. Freq., Rel. Freq.
執,2,19231
私,2,19231
申,2,19231
境,2,19231
少,2,19231
收,8,76923
祗,2,19231
季,4,38462
郊,2,19231
：,4,38462
僕,2,19231
會,2,19231
薪,2,19231
無,10,96154
官,2,19231
日,6,57692
備,4,38462
水,4,38462
鴈,2,19231
籍,2,19231
度,2,19231
器,2,19231
旍,2,19231
敗,2,19231
矢,2,19231
夏,2,19231
藏,6,57692
總,4,38462
鼽,2,19231
地,6,57692
駱,2,19231
寧,2,19231
及,2,19231
爵,2,19231
弓,2,19231
中,6,57692
務,2,19231
解,2,19231
厲,4,38462
窒,2,19231
冬,4,38462
歲,2,19231
戎,4,38462
大,6,57692
吹,2,19231
來,6,57692
百,6,57692
一,2,19231
天,12,115385
侯,4,38462
興,2,19231
黃,4,38462
「,2,19231
堪,2,19231
食,2,19231
駕,4,38462
冢,2,19231
輕,2,19231
屏,2,19231
北,2,19231
裂,2,19231
賊,2,19231
室,2,19231
射,4,38462
伐,2,19231
嚮,2,19231
祀,2,19231
徒,2,19231
旐,2,19231
行,6,57692
戮,2,19231
廟,4,38462
牲,2,19231
祠,2,19231
司,4,38462
留,2,19231
罪,2,19231
為,8,76923
車,2,19231
多,4,38462
穴,2,19231
風,2,19231
氣,4,38462
搢,2,19231
師,2,19231
炭,2,19231
田,2,19231
虛,2,19231
帝,6,57692
候,2,19231
命,10,96154
宰,2,19231
倉,2,19231
咸,4,38462
旦,2,19231
右,2,19231
嚴,2,19231
蟲,4,38462
深,2,19231
蛤,2,19231
近,2,19231
國,4,38462
獸,2,19231
肝,2,19231
律,2,19231
祭,6,57692
令,8,76923
饗,2,19231
犬,4,38462
獵,2,19231
稅,2,19231
薦,2,19231
獄,2,19231
養,2,19231
民,8,76923
月,14,134615
合,2,19231
祿,2,19231
賓,2,19231
刑,2,19231
朔,2,19231
飭,4,38462
寒,2,19231
給,2,19231
宜,4,38462
皞,2,19231
霜,2,19231
數,4,38462
華,2,19231
墐,2,19231
告,2,19231
入,8,76923
腥,2,19231
音,2,19231
當,2,19231
個,2,19231
秋,4,38462
外,2,19231
門,2,19231
上,2,19231
諸,4,38462
旂,2,19231
縣,2,19231
工,2,19231
殃,2,19231
禽,4,38462
庚,2,19231
服,4,38462
昏,2,19231
豺,2,19231
落,2,19231
草,2,19231
墮,2,19231
土,4,38462
設,2,19231
貢,2,19231
衣,4,38462
號,2,19231
誓,2,19231
馬,2,19231
遠,2,19231
丁,2,19231
趣,2,19231
騶,2,19231
整,2,19231
戶,2,19231
方,2,19231
嘗,4,38462
獀,2,19231
習,4,38462
麻,2,19231
扑,2,19231
暖,2,19231
犧,2,19231
要,2,19231
乘,2,19231
主,2,19231
學,2,19231
商,2,19231
玉,2,19231
白,8,76923
毛,2,19231
力,2,19231
房,2,19231
辛,4,38462
稻,2,19231
貴,2,19231
旅,2,19231
受,4,38462
七,2,19231
賤,2,19231
柳,2,19231
邊,2,19231
路,2,19231
盜,2,19231
教,2,19231
載,4,38462
木,2,19231
敬,2,19231
寢,2,19231
輿,2,19231
休,2,19231
職,2,19231
共,2,19231
分,2,19231
秩,2,19231
」,2,19231
舉,2,19231
蓐,2,19231
─,4,38462
農,2,19231
種,2,19231
級,2,19231
操,2,19231
事,4,38462
廉,2,19231
法,2,19231
制,2,19231
章,2,19231
重,2,19231
降,2,19231
居,2,19231
菊,2,19231
神,4,38462
蟄,2,19231
宣,2,19231
俯,2,19231
臭,2,19231
春,2,19231
味,2,19231
