Character, Abs. Freq., Rel. Freq.
起,2,10040
食,10,50201
齊,6,30120
酒,2,10040
廟,6,30120
屈,2,10040
報,2,10040
澤,2,10040
飲,2,10040
侯,2,10040
錢,2,10040
聞,4,20080
百,2,10040
顏,2,10040
願,2,10040
勢,2,10040
死,4,20080
憎,2,10040
止,2,10040
》,2,10040
請,8,40161
北,2,10040
財,2,10040
斯,2,10040
今,4,20080
」,38,190763
天,10,50201
安,4,20080
中,8,40161
顯,2,10040
說,10,50201
公,6,30120
免,4,20080
功,2,10040
寡,4,20080
令,6,30120
留,4,20080
共,2,10040
彊,4,20080
御,2,10040
追,4,20080
敢,2,10040
餔,2,10040
任,2,10040
老,2,10040
母,2,10040
畢,2,10040
再,4,20080
自,4,20080
靈,4,20080
臣,6,30120
右,2,10040
趙,4,20080
一,8,40161
鬥,2,10040
處,2,10040
絕,2,10040
貌,4,20080
束,2,10040
顛,2,10040
嘻,4,20080
急,2,10040
甚,4,20080
古,2,10040
量,6,30120
使,2,10040
待,4,20080
書,2,10040
韓,2,10040
相,2,10040
西,4,20080
轝,2,10040
年,2,10040
語,2,10040
君,24,120482
遁,2,10040
救,2,10040
舉,2,10040
─,4,20080
德,8,40161
面,4,20080
干,2,10040
謁,2,10040
活,4,20080
吾,4,20080
會,2,10040
乞,2,10040
間,2,10040
賜,2,10040
房,4,20080
易,2,10040
遺,2,10040
反,6,30120
上,2,10040
還,6,30120
務,2,10040
荊,16,80321
？,18,90361
立,4,20080
色,2,10040
殺,4,20080
朐,2,10040
淳,6,30120
乘,6,30120
薄,2,10040
對,10,50201
千,2,10040
濟,4,20080
伏,2,10040
無,10,50201
號,2,10040
力,12,60241
薛,18,90361
咽,2,10040
王,24,120482
他,2,10040
多,2,10040
幾,2,10040
羞,2,10040
臥,2,10040
賢,8,40161
逢,2,10040
坐,2,10040
豈,4,20080
禮,6,30120
小,8,40161
絳,4,20080
郊,2,10040
哀,2,10040
儀,12,60241
身,4,20080
全,2,10040
人,24,120482
將,8,40161
資,2,10040
攻,6,30120
脯,4,20080
詩,2,10040
欲,2,10040
名,8,40161
行,4,20080
《,2,10040
女,4,20080
陳,2,10040
宣,26,130522
受,2,10040
復,4,20080
赳,4,20080
武,2,10040
難,2,10040
走,4,20080
遊,4,20080
善,2,10040
固,6,30120
遇,4,20080
文,16,80321
糧,2,10040
因,2,10040
惠,4,20080
恣,2,10040
材,2,10040
兵,4,20080
寧,2,10040
發,2,10040
主,2,10040
拜,6,30120
骫,4,20080
況,2,10040
敬,2,10040
國,8,40161
游,2,10040
桑,4,20080
客,10,50201
髡,6,30120
前,2,10040
猶,2,10040
道,2,10040
視,2,10040
魏,6,30120
嘗,8,40161
誰,2,10040
堪,2,10040
重,2,10040
晉,2,10040
餓,6,30120
疾,6,30120
蹙,2,10040
聽,2,10040
鄙,2,10040
更,2,10040
遂,6,30120
危,4,20080
卻,2,10040
為,28,140562
張,12,60241
厄,2,10040
城,2,10040
清,4,20080
歸,4,20080
驕,2,10040
：,34,170683
車,4,20080
言,2,10040
孟,32,160643
周,6,30120
方,2,10040
昭,10,50201
獨,2,10040
！,6,30120
憂,2,10040
士,16,80321
宦,2,10040
餘,2,10040
秦,10,50201
問,4,20080
忘,2,10040
送,4,20080
「,38,190763
及,2,10040
見,8,40161
博,4,20080
東,2,10040
昔,2,10040
胡,2,10040
知,6,30120
徒,2,10040
蠲,2,10040
大,2,10040
師,2,10040
氏,4,20080
萬,4,20080
命,2,10040
親,2,10040
用,2,10040
