Character, Abs. Freq., Rel. Freq.
猴,4,36298
無,6,54446
經,2,18149
越,2,18149
令,4,36298
為,12,108893
太,2,18149
昔,2,18149
舉,2,18149
相,4,36298
』,10,90744
察,2,18149
對,2,18149
孔,4,36298
聞,24,217786
進,2,18149
遠,2,18149
通,2,18149
汲,2,18149
亥,6,54446
桓,2,18149
言,4,36298
律,2,18149
公,4,36298
『,10,90744
天,8,72595
論,2,18149
諸,2,18149
狗,4,36298
教,2,18149
？,4,36298
宋,6,54446
福,2,18149
非,12,108893
正,6,54446
一,18,163339
─,4,36298
草,2,18149
白,4,36298
問,6,54446
：,16,145191
武,2,18149
黎,4,36298
晉,8,72595
服,2,18149
數,2,18149
宰,2,18149
大,4,36298
叔,4,36298
分,2,18149
孫,2,18149
黑,4,36298
國,6,54446
傳,6,54446
樂,10,90744
楚,2,18149
舜,6,54446
地,2,18149
物,2,18149
豕,4,36298
史,2,18149
伯,2,18149
衛,2,18149
君,4,36298
理,2,18149
敖,2,18149
欲,4,36298
筮,2,18149
聲,2,18149
似,8,72595
本,2,18149
踐,2,18149
河,4,36298
亡,2,18149
丁,8,72595
及,4,36298
中,4,36298
齊,2,18149
外,2,18149
張,2,18149
失,2,18149
節,2,18149
涉,4,36298
管,2,18149
使,2,18149
聖,4,36298
趙,2,18149
句,2,18149
吳,2,18149
尹,2,18149
莊,2,18149
精,2,18149
溉,2,18149
和,6,54446
氏,8,72595
襄,2,18149
多,4,36298
身,2,18149
近,2,18149
益,2,18149
愚,2,18149
侯,2,18149
人,30,272232
審,8,72595
夔,12,108893
重,4,36298
死,2,18149
夏,4,36298
熟,2,18149
己,6,54446
沈,2,18149
智,2,18149
」,16,145191
家,4,36298
莽,2,18149
王,4,36298
玃,4,36298
吾,2,18149
告,2,18149
讀,2,18149
類,4,36298
哀,2,18149
居,2,18149
嚭,2,18149
道,2,18149
常,2,18149
緣,2,18149
八,2,18149
信,2,18149
慎,4,36298
求,4,36298
情,4,36298
記,2,18149
母,4,36298
魯,2,18149
「,16,145191
師,4,36298
鮑,2,18149
霸,2,18149
平,2,18149
井,10,90744
風,2,18149
穿,6,54446
辭,2,18149
驗,2,18149
