Character, Abs. Freq., Rel. Freq.
軍,2,18450
表,16,147601
侍,2,18450
殘,4,36900
往,4,36900
罝,2,18450
獻,4,36900
我,2,18450
罰,4,36900
賢,4,36900
上,16,147601
」,12,110701
晏,4,36900
自,4,36900
衛,6,55351
螻,2,18450
河,2,18450
植,2,18450
名,2,18450
說,4,36900
鳥,2,18450
父,2,18450
一,8,73801
世,2,18450
臺,2,18450
皮,2,18450
豈,2,18450
積,2,18450
網,2,18450
莊,6,55351
姬,2,18450
立,8,73801
獨,2,18450
絲,2,18450
起,10,92251
突,2,18450
天,2,18450
漂,2,18450
日,12,110701
惡,2,18450
小,10,92251
賞,8,73801
：,12,110701
山,2,18450
攻,2,18450
食,6,55351
容,2,18450
待,2,18450
審,2,18450
石,4,36900
主,6,55351
卑,4,36900
民,8,73801
「,12,110701
謹,2,18450
知,6,55351
居,2,18450
獸,2,18450
甯,2,18450
殺,4,36900
齊,2,18450
西,2,18450
鴻,4,36900
加,2,18450
桓,2,18450
爭,2,18450
問,2,18450
？,8,73801
群,2,18450
僨,8,73801
林,2,18450
登,2,18450
防,2,18450
姓,2,18450
肉,2,18450
宮,2,18450
使,2,18450
破,2,18450
觀,2,18450
為,6,55351
巨,2,18450
論,2,18450
辱,2,18450
怨,4,36900
來,6,55351
集,2,18450
吳,8,73801
道,6,55351
非,4,36900
南,4,36900
蹙,4,36900
人,22,202952
位,2,18450
諭,2,18450
愛,2,18450
好,2,18450
守,2,18450
州,8,73801
傷,2,18450
即,2,18450
輕,4,36900
公,20,184502
囿,4,36900
垤,2,18450
粟,2,18450
中,4,36900
身,2,18450
相,6,55351
焚,2,18450
治,2,18450
物,8,73801
釋,2,18450
因,2,18450
熛,2,18450
將,2,18450
殖,2,18450
逐,4,36900
孫,2,18450
仕,4,36900
令,6,55351
信,8,73801
邑,8,73801
事,2,18450
年,2,18450
戒,2,18450
死,2,18450
燒,2,18450
稱,2,18450
黚,2,18450
成,2,18450
奪,2,18450
置,2,18450
長,4,36900
明,4,36900
洩,2,18450
望,2,18450
安,2,18450
試,2,18450
尊,4,36900
敢,2,18450
圃,4,36900
復,2,18450
夜,4,36900
大,6,55351
；,10,92251
笑,2,18450
言,4,36900
晉,2,18450
見,6,55351
─,4,36900
適,2,18450
射,2,18450
國,4,36900
恣,4,36900
無,4,36900
虞,2,18450
門,6,55351
謁,2,18450
兵,2,18450
君,2,18450
宅,2,18450
失,4,36900
戎,8,73801
前,2,18450
告,2,18450
冠,2,18450
外,4,36900
欲,4,36900
情,6,55351
臣,4,36900
