Character, Abs. Freq., Rel. Freq.
─,4,38095
行,8,76190
萬,2,19048
勝,2,19048
餘,4,38095
合,2,19048
孔,2,19048
貴,2,19048
內,2,19048
治,8,76190
易,2,19048
清,6,57143
匹,2,19048
聽,4,38095
德,4,38095
諸,2,19048
通,12,114286
弟,2,19048
問,2,19048
物,4,38095
中,2,19048
利,4,38095
靜,4,38095
心,6,57143
止,2,19048
感,2,19048
塞,4,38095
蕩,2,19048
？,12,114286
恐,4,38095
惶,4,38095
富,2,19048
知,18,171429
天,10,95238
悖,4,38095
無,8,76190
義,6,57143
：,8,76190
許,2,19048
氣,2,19048
一,4,38095
樂,2,19048
貪,4,38095
正,4,38095
舍,2,19048
自,2,19048
使,2,19048
節,4,38095
為,8,76190
符,2,19048
當,2,19048
導,2,19048
繆,4,38095
非,8,76190
怒,2,19048
己,6,57143
人,12,114286
徒,4,38095
情,4,38095
智,2,19048
道,6,57143
墨,2,19048
聖,4,38095
累,4,38095
屬,2,19048
嚴,2,19048
惡,2,19048
欺,4,38095
王,2,19048
」,8,76190
命,4,38095
主,4,38095
固,4,38095
教,6,57143
執,4,38095
理,2,19048
況,6,57143
冬,2,19048
暖,2,19048
猶,4,38095
舜,4,38095
哀,2,19048
就,2,19048
私,6,57143
步,2,19048
客,2,19048
充,2,19048
夏,2,19048
彊,2,19048
明,4,38095
胸,2,19048
用,2,19048
裘,4,38095
𥵳,4,38095
喜,6,57143
容,2,19048
欲,2,19048
愛,6,57143
度,4,38095
堯,2,19048
審,2,19048
昏,4,38095
汙,4,38095
性,4,38095
滿,2,19048
名,2,19048
顯,2,19048
仁,6,57143
費,2,19048
盡,2,19048
外,6,57143
言,2,19048
意,6,57143
季,6,57143
奚,4,38095
虛,4,38095
術,8,76190
解,2,19048
動,2,19048
賢,2,19048
衣,2,19048
「,8,76190
色,2,19048
