Character, Abs. Freq., Rel. Freq.
因,4,22297
目,4,22297
殷,2,11148
世,2,11148
懼,4,22297
益,4,22297
處,2,11148
夏,4,22297
託,10,55741
心,8,44593
卻,2,11148
便,2,11148
辱,4,22297
神,2,11148
流,2,11148
少,2,11148
審,2,11148
見,2,11148
諭,2,11148
湖,2,11148
義,4,22297
小,2,11148
夙,2,11148
時,2,11148
道,12,66890
─,4,22297
賞,12,66890
疾,2,11148
父,4,22297
味,2,11148
欲,6,33445
譬,2,11148
萬,16,89186
勇,4,22297
肖,2,11148
愈,4,22297
尚,2,11148
名,2,11148
天,4,22297
止,2,11148
執,2,11148
常,4,22297
造,4,22297
餘,4,22297
布,2,11148
拒,2,11148
禁,4,22297
縛,2,11148
察,4,22297
上,2,11148
死,4,22297
食,2,11148
愛,8,44593
麥,4,22297
內,2,11148
鸂,4,22297
衣,2,11148
宋,2,11148
充,8,44593
甚,2,11148
功,2,11148
鹽,4,22297
禹,2,11148
壹,4,22297
興,2,11148
紀,6,33445
入,2,11148
勢,6,33445
罰,12,66890
秦,2,11148
行,8,44593
古,6,33445
武,4,22297
徒,10,55741
變,2,11148
踐,2,11148
多,14,78038
無,20,111483
定,2,11148
劍,4,22297
實,4,22297
復,2,11148
立,2,11148
火,2,11148
惡,8,44593
；,4,22297
馬,6,33445
身,2,11148
官,4,22297
惑,2,11148
血,2,11148
己,4,22297
起,4,22297
君,4,22297
宮,2,11148
深,2,11148
商,4,22297
民,54,301003
加,2,11148
國,14,78038
試,4,22297
爭,2,11148
種,8,44593
沙,2,11148
廬,4,22297
守,2,11148
斷,2,11148
咎,2,11148
兵,4,22297
信,2,11148
密,2,11148
王,2,11148
湯,6,33445
利,16,89186
敵,2,11148
綱,6,33445
息,4,22297
御,2,11148
外,2,11148
今,6,33445
幾,2,11148
進,4,22297
熟,2,11148
闔,4,22297
非,12,66890
寑,2,11148
金,2,11148
論,4,22297
？,8,44593
工,2,11148
吳,2,11148
卒,4,22297
自,6,33445
用,56,312152
本,2,11148
使,4,22297
為,16,89186
須,2,11148
管,4,22297
投,4,22297
祈,2,11148
邪,4,22297
大,4,22297
威,20,111483
倒,4,22297
攻,2,11148
擊,2,11148
太,4,22297
昔,2,11148
恃,2,11148
代,2,11148
敗,2,11148
主,6,33445
拙,2,11148
乘,2,11148
當,2,11148
人,6,33445
似,2,11148
文,2,11148
引,4,22297
怪,2,11148
適,2,11148
猶,2,11148
張,2,11148
存,2,11148
就,2,11148
稷,4,22297
地,2,11148
榮,4,22297
農,2,11148
車,2,11148
亡,4,22297
齊,2,11148
歸,2,11148
一,2,11148
遽,2,11148
千,4,22297
專,2,11148
絕,2,11148
肩,2,11148
句,2,11148
害,4,22297
水,6,33445
