Character, Abs. Freq., Rel. Freq.
寶,2,21322
亡,2,21322
賢,4,42644
辭,2,21322
長,16,170576
大,6,63966
本,4,42644
吾,2,21322
境,4,42644
尚,2,21322
安,2,21322
居,2,21322
狐,2,21322
君,4,42644
桀,2,21322
物,2,21322
今,2,21322
病,2,21322
入,2,21322
白,6,63966
補,2,21322
耳,2,21322
視,2,21322
短,4,42644
聞,2,21322
固,2,21322
定,2,21322
畏,10,106610
紂,2,21322
婁,2,21322
使,2,21322
立,6,63966
教,4,42644
力,2,21322
議,8,85288
魏,2,21322
駢,2,21322
「,4,42644
」,4,42644
千,2,21322
帝,2,21322
兵,2,21322
遂,2,21322
？,2,21322
辯,6,63966
天,4,42644
內,2,21322
舜,2,21322
說,2,21322
知,14,149254
醜,6,63966
庶,2,21322
主,4,42644
猶,4,42644
堯,2,21322
皇,2,21322
邊,2,21322
無,14,149254
跖,4,42644
受,4,42644
況,2,21322
術,2,21322
學,6,63966
觀,2,21322
戎,16,170576
楚,18,191898
善,4,42644
齊,4,42644
烏,2,21322
裘,2,21322
孟,4,42644
賁,4,42644
：,4,42644
功,2,21322
食,4,42644
田,2,21322
離,2,21322
用,2,21322
為,8,85288
備,2,21322
惡,6,63966
察,2,21322
名,2,21322
假,4,42644
─,4,42644
末,4,42644
王,6,63966
雞,2,21322
；,6,63966
生,8,85288
褐,2,21322
獲,2,21322
言,10,106610
勇,2,21322
被,2,21322
衣,2,21322
錦,2,21322
舍,2,21322
數,2,21322
修,4,42644
人,20,213220
失,4,42644
國,2,21322
粹,4,42644
士,4,42644
苟,2,21322
患,4,42644
