Character, Abs. Freq., Rel. Freq.
船,2,15480
畏,2,15480
多,2,15480
唾,2,15480
；,6,46440
戒,2,15480
王,6,46440
龢,4,30960
今,6,46440
為,22,170279
機,2,15480
道,4,30960
度,2,15480
行,2,15480
請,6,46440
員,8,61920
果,2,15480
寶,14,108359
執,2,15480
公,4,30960
萬,2,15480
許,6,46440
奚,2,15480
野,6,46440
千,6,46440
罕,8,61920
應,2,15480
信,2,15480
鎰,2,15480
人,34,263158
黍,4,30960
無,10,77399
昔,2,15480
精,4,30960
解,2,15480
數,2,15480
民,2,15480
俗,4,30960
食,2,15480
玉,4,30960
」,18,139319
因,2,15480
蓋,2,15480
小,2,15480
每,2,15480
從,2,15480
非,4,30960
異,6,46440
美,2,15480
大,2,15480
一,2,15480
願,4,30960
猶,2,15480
圭,2,15480
劍,6,46440
！,2,15480
汝,2,15480
耕,2,15480
告,2,15480
百,6,46440
觕,4,30960
利,8,61920
賜,4,30960
江,10,77399
德,2,15480
上,8,61920
鄙,4,30960
見,6,46440
摶,4,30960
受,14,108359
氏,4,30960
惡,4,30960
：,18,139319
賢,4,30960
長,4,30960
祭,2,15480
敖,6,46440
寢,4,30960
「,18,139319
南,2,15480
我,8,61920
楚,2,15480
鄭,4,30960
─,4,30960
爵,2,15480
兒,4,30960
辭,2,15480
吾,4,30960
孫,6,46440
問,4,30960
甚,2,15480
拜,2,15480
名,6,46440
舉,2,15480
失,2,15480
知,14,108359
封,6,46440
予,2,15480
叔,6,46440
城,2,15480
求,4,30960
漁,2,15480
絕,2,15480
刺,2,15480
身,2,15480
國,8,61920
吳,4,30960
鬼,2,15480
檐,2,15480
祿,2,15480
法,2,15480
言,4,30960
急,2,15480
死,6,46440
荊,8,61920
使,2,15480
示,6,46440
宋,4,30960
璧,4,30960
金,12,92879
？,6,46440
惟,2,15480
肯,4,30960
古,2,15480
主,4,30960
族,2,15480
太,2,15480
間,2,15480
彌,8,61920
己,2,15480
欲,2,15480
相,2,15480
載,2,15480
丘,4,30960
亡,2,15480
方,2,15480
疾,2,15480
東,2,15480
天,2,15480
越,4,30960
丈,14,108359
胥,2,15480
地,10,77399
喜,2,15480
將,6,46440
祝,2,15480
涉,2,15480
獻,4,30960
司,2,15480
險,2,15480
聞,2,15480
望,2,15480
嚮,2,15480
登,2,15480
