Character, Abs. Freq., Rel. Freq.
倍,2,17241
大,2,17241
非,6,51724
；,8,68966
南,2,17241
跖,2,17241
我,2,17241
物,4,34483
主,8,68966
劫,2,17241
文,12,103448
同,2,17241
閉,2,17241
周,2,17241
犯,2,17241
老,4,34483
聖,2,17241
原,2,17241
紂,2,17241
面,12,103448
池,2,17241
暴,2,17241
盡,2,17241
澤,2,17241
收,2,17241
祿,2,17241
昔,2,17241
鳥,4,34483
孰,2,17241
衣,2,17241
射,4,34483
桀,4,34483
親,2,17241
離,2,17241
荷,2,17241
為,4,34483
死,4,34483
杖,8,68966
武,2,17241
顯,2,17241
生,2,17241
抇,2,17241
地,2,17241
妻,2,17241
寶,2,17241
古,2,17241
方,4,34483
國,14,120690
長,2,17241
步,2,17241
寡,2,17241
兵,2,17241
侍,2,17241
疾,2,17241
聞,6,51724
獸,2,17241
欲,8,68966
辨,2,17241
貴,8,68966
無,4,34483
弱,2,17241
問,8,68966
命,2,17241
戰,2,17241
企,2,17241
漢,2,17241
遏,2,17241
賢,2,17241
！,2,17241
養,4,34483
德,2,17241
況,4,34483
更,6,51724
吏,6,51724
人,20,172414
墜,2,17241
危,2,17241
葬,4,34483
蝥,2,17241
弟,4,34483
高,6,51724
一,8,68966
教,2,17241
？,16,137931
紓,2,17241
亂,2,17241
網,10,86207
富,2,17241
搏,2,17241
棺,2,17241
湯,12,103448
見,2,17241
罟,2,17241
細,2,17241
廣,2,17241
徒,2,17241
攻,2,17241
孔,6,51724
巨,2,17241
尊,4,34483
骸,2,17241
楗,2,17241
─,4,34483
奪,4,34483
「,24,206897
禽,2,17241
厚,2,17241
等,2,17241
位,2,17241
從,8,68966
義,2,17241
王,14,120690
亡,4,34483
吾,4,34483
遂,2,17241
左,4,34483
喻,2,17241
嘻,2,17241
今,6,51724
天,8,68966
兄,2,17241
開,2,17241
骨,4,34483
父,2,17241
母,2,17241
公,2,17241
侵,2,17241
學,2,17241
恙,8,68966
：,24,206897
遠,2,17241
務,2,17241
作,2,17241
材,6,51724
意,2,17241
尺,2,17241
髊,2,17241
存,2,17241
疏,2,17241
治,2,17241
杇,2,17241
右,4,34483
揖,2,17241
彊,2,17241
仁,2,17241
使,2,17241
用,8,68966
諭,2,17241
蛛,2,17241
歸,2,17241
祝,6,51724
異,2,17241
安,2,17241
」,24,206897
成,4,34483
令,2,17241
幼,2,17241
置,10,86207
來,4,34483
飴,4,34483
及,4,34483
杙,2,17241
萬,2,17241
賤,2,17241
