Character, Abs. Freq., Rel. Freq.
亂,6,52539
漫,4,35026
列,2,17513
長,2,17513
士,8,70053
天,6,52539
割,2,17513
身,4,35026
石,2,17513
求,2,17513
阻,2,17513
盟,6,52539
旦,2,17513
就,6,52539
棄,2,17513
保,4,35026
易,2,17513
丘,2,17513
」,8,70053
膠,2,17513
將,4,35026
笑,2,17513
行,10,87566
宜,2,17513
書,4,35026
聞,6,52539
殺,2,17513
異,2,17513
祀,4,35026
昔,4,35026
貨,2,17513
北,2,17513
「,8,70053
桑,2,17513
高,2,17513
辭,4,35026
侯,2,17513
堅,4,35026
汙,2,17513
歸,4,35026
遽,2,17513
因,2,17513
等,2,17513
立,2,17513
赤,4,35026
方,2,17513
福,2,17513
丹,2,17513
忠,2,17513
破,2,17513
私,2,17513
視,2,17513
暴,2,17513
一,10,87566
重,8,70053
首,2,17513
庳,2,17513
奚,2,17513
富,2,17513
潔,2,17513
頭,6,52539
盡,4,35026
神,2,17513
：,8,70053
受,2,17513
養,2,17513
治,10,87566
孤,2,17513
德,4,35026
共,6,52539
鬲,2,17513
猶,2,17513
埋,4,35026
農,2,17513
時,2,17513
開,2,17513
奪,4,35026
同,4,35026
殷,6,52539
竹,2,17513
敬,2,17513
譆,2,17513
氏,2,17513
謀,2,17513
任,2,17513
今,6,52539
餓,2,17513
林,2,17513
世,6,52539
即,2,17513
避,4,35026
磨,2,17513
闇,2,17513
官,2,17513
周,12,105079
紹,2,17513
興,2,17513
樂,4,35026
為,20,175131
道,4,35026
叔,8,70053
正,6,52539
內,6,52539
自,6,52539
欲,2,17513
利,2,17513
齊,6,52539
似,2,17513
文,2,17513
夷,6,52539
成,2,17513
豪,2,17513
上,2,17513
好,2,17513
說,2,17513
王,6,52539
處,4,35026
！,2,17513
孟,2,17513
衰,2,17513
偏,2,17513
見,2,17513
吾,12,105079
觀,2,17513
血,4,35026
輕,6,52539
遭,4,35026
苟,2,17513
無,2,17513
位,2,17513
陽,4,35026
意,2,17513
生,2,17513
明,2,17513
；,2,17513
？,2,17513
公,2,17513
加,2,17513
威,2,17513
伐,2,17513
奉,2,17513
諸,2,17513
性,4,35026
歿,2,17513
情,2,17513
並,2,17513
祈,2,17513
要,2,17513
─,4,35026
非,4,35026
西,4,35026
僻,2,17513
夢,2,17513
全,2,17513
微,2,17513
壞,2,17513
信,4,35026
古,2,17513
召,2,17513
常,2,17513
武,2,17513
揚,2,17513
相,6,52539
擇,2,17513
岐,2,17513
牲,6,52539
定,2,17513
守,2,17513
使,4,35026
伯,8,70053
人,12,105079
