Character, Abs. Freq., Rel. Freq.
殷,26,152225
雨,2,11710
太,4,23419
期,10,58548
諫,2,11710
朅,2,11710
讒,4,23419
岐,2,11710
決,2,11710
明,2,11710
錦,2,11710
師,4,23419
為,12,70258
周,8,46838
功,4,23419
舟,2,11710
主,6,35129
位,2,11710
夜,2,11710
湖,2,11710
臨,2,11710
吹,2,11710
適,4,23419
天,4,23419
怪,2,11710
無,8,46838
敵,8,46838
殺,2,11710
竫,2,11710
歷,2,11710
舜,2,11710
候,4,23419
世,2,11710
：,42,245902
今,2,11710
苦,2,11710
制,2,11710
坐,4,23419
伊,2,11710
彌,2,11710
駕,2,11710
月,2,11710
都,2,11710
立,4,23419
揚,2,11710
─,4,23419
姓,4,23419
令,6,35129
加,2,11710
甲,10,58548
穫,2,11710
安,2,11710
朝,2,11710
秦,4,23419
衣,4,23419
力,2,11710
溝,2,11710
武,46,269321
用,2,11710
塗,2,11710
命,6,35129
遭,2,11710
中,2,11710
對,10,58548
墨,2,11710
反,6,35129
陸,2,11710
闕,2,11710
惡,4,23419
專,2,11710
紂,2,11710
陳,4,23419
裸,4,23419
甚,2,11710
；,6,35129
要,4,23419
當,2,11710
推,2,11710
注,2,11710
死,2,11710
崩,2,11710
孔,2,11710
越,4,23419
病,2,11710
七,2,11710
我,2,11710
敢,4,23419
慝,4,23419
海,2,11710
使,4,23419
入,4,23419
道,2,11710
星,2,11710
早,2,11710
勝,6,35129
己,2,11710
將,6,35129
禹,4,23419
國,6,35129
？,16,93677
報,10,58548
禪,2,11710
復,2,11710
克,2,11710
視,2,11710
吾,6,35129
釐,2,11710
聞,2,11710
義,4,23419
誹,4,23419
戰,2,11710
千,4,23419
迴,2,11710
心,2,11710
西,2,11710
忍,2,11710
人,12,70258
通,2,11710
乘,2,11710
嘻,2,11710
見,8,46838
夏,2,11710
欲,6,35129
問,2,11710
旦,2,11710
徙,6,35129
軍,2,11710
「,42,245902
知,10,58548
賢,4,23419
江,2,11710
王,50,292740
百,6,35129
大,4,23419
朔,2,11710
一,2,11710
告,6,35129
鬲,16,93677
東,2,11710
代,2,11710
怨,4,23419
行,8,46838
賁,2,11710
輟,2,11710
果,2,11710
戮,2,11710
欺,4,23419
寶,2,11710
卒,2,11710
君,2,11710
遽,2,11710
疾,4,23419
審,2,11710
車,4,23419
救,2,11710
禽,2,11710
長,4,23419
益,4,23419
湯,4,23419
公,8,46838
荊,2,11710
鮪,2,11710
郊,4,23419
堯,2,11710
」,42,245902
再,2,11710
亂,12,70258
！,2,11710
水,4,23419
拙,2,11710
選,2,11710
往,6,35129
日,6,35129
因,32,187354
信,6,35129
言,2,11710
亡,4,23419
械,2,11710
笙,2,11710
瑕,2,11710
邑,2,11710
膠,16,93677
休,4,23419
列,2,11710
刑,2,11710
伯,2,11710
尚,4,23419
授,2,11710
商,2,11710
固,2,11710
虎,2,11710
走,4,23419
晦,2,11710
成,8,46838
遠,2,11710
民,6,35129
耕,2,11710
察,2,11710
良,4,23419
請,4,23419
時,2,11710
