Character, Abs. Freq., Rel. Freq.
亂,2,9225
證,2,9225
昔,2,9225
糴,2,9225
餓,2,9225
土,4,18450
樂,2,9225
少,2,9225
告,4,18450
功,6,27675
因,6,27675
甚,4,18450
觴,2,9225
刺,4,18450
富,2,9225
誰,2,9225
襄,10,46125
令,2,9225
廢,2,9225
美,2,9225
迎,2,9225
饑,12,55351
屋,8,36900
反,4,18450
事,4,18450
患,6,27675
具,2,9225
賢,8,36900
悔,2,9225
氏,2,9225
匱,2,9225
譬,2,9225
霸,2,9225
稱,2,9225
地,6,27675
遇,18,83026
境,2,9225
奈,2,9225
磨,2,9225
失,2,9225
妻,10,46125
馬,8,36900
蠡,4,18450
卒,2,9225
上,4,18450
民,2,9225
輸,2,9225
食,16,73801
國,10,46125
君,18,83026
操,2,9225
備,2,9225
萬,2,9225
入,2,9225
名,2,9225
勿,2,9225
通,2,9225
諫,4,18450
安,2,9225
主,4,18450
福,2,9225
敵,2,9225
狀,2,9225
─,4,18450
服,10,46125
葬,4,18450
宜,4,18450
兵,8,36900
自,4,18450
舍,2,9225
遂,4,18450
代,20,92251
晉,2,9225
弟,4,18450
今,8,36900
盡,4,18450
殺,2,9225
輕,2,9225
踰,2,9225
危,2,9225
許,2,9225
吾,16,73801
耕,2,9225
？,10,46125
聞,8,36900
材,2,9225
武,14,64576
號,2,9225
從,2,9225
體,2,9225
腦,2,9225
姊,4,18450
重,2,9225
遵,2,9225
病,2,9225
教,2,9225
收,4,18450
越,26,119926
羽,2,9225
笄,4,18450
道,2,9225
喪,8,36900
及,4,18450
居,2,9225
辱,2,9225
俗,2,9225
使,6,27675
各,2,9225
歸,2,9225
范,4,18450
塗,2,9225
餘,2,9225
數,4,18450
雨,4,18450
淵,2,9225
弱,2,9225
粟,2,9225
旋,2,9225
鬥,2,9225
登,4,18450
幣,2,9225
七,2,9225
遙,2,9225
謁,2,9225
阪,2,9225
『,2,9225
治,2,9225
存,2,9225
人,16,73801
差,2,9225
強,2,9225
王,34,156827
將,4,18450
阨,2,9225
時,4,18450
蔡,12,55351
農,4,18450
山,4,18450
鄰,2,9225
；,10,46125
命,2,9225
大,10,46125
秦,2,9225
吳,28,129151
世,2,9225
思,2,9225
財,4,18450
亡,10,46125
擊,2,9225
好,4,18450
』,2,9225
我,2,9225
為,8,36900
姨,2,9225
」,26,119926
湯,14,64576
簡,4,18450
固,2,9225
車,2,9225
侯,8,36900
養,2,9225
息,12,55351
死,4,18450
湖,2,9225
年,4,18450
智,2,9225
卑,2,9225
斗,6,27675
耨,2,9225
陸,2,9225
郡,4,18450
金,2,9225
饗,4,18450
恐,4,18450
江,2,9225
謀,4,18450
仁,6,27675
仇,4,18450
義,6,27675
趙,4,18450
召,6,27675
游,4,18450
猶,2,9225
設,2,9225
理,2,9225
禍,2,9225
善,10,46125
：,26,119926
須,2,9225
豈,2,9225
襲,2,9225
讎,4,18450
肖,8,36900
色,2,9225
臣,6,27675
舞,4,18450
燕,2,9225
天,6,27675
諾,8,36900
置,2,9225
辭,2,9225
臾,2,9225
佯,2,9225
攻,8,36900
非,14,64576
欲,4,18450
處,2,9225
慮,2,9225
長,2,9225
敬,4,18450
請,12,55351
群,2,9225
衰,6,27675
一,4,18450
桀,14,64576
望,8,36900
接,2,9225
願,2,9225
楚,4,18450
戰,2,9225
酒,2,9225
酣,2,9225
俱,4,18450
禽,2,9225
伍,2,9225
顯,2,9225
易,2,9225
「,26,119926
敢,2,9225
謹,2,9225
往,2,9225
紂,14,64576
中,2,9225
辯,2,9225
齊,2,9225
夏,8,36900
進,2,9225
百,2,9225
太,4,18450
無,6,27675
成,4,18450
禮,2,9225
寡,4,18450
奉,2,9225
良,4,18450
胥,2,9225
