Character, Abs. Freq., Rel. Freq.
柔,1,78125
床,3,234375
天,1,78125
往,1,78125
宅,1,78125
行,1,78125
山,1,78125
地,1,78125
息,1,78125
君,2,156250
盈,1,78125
利,1,78125
順,1,78125
用,1,78125
寵,1,78125
切,1,78125
附,1,78125
上,3,234375
民,1,78125
象,1,78125
剝,8,625000
失,1,78125
消,1,78125
人,3,234375
近,1,78125
宮,1,78125
災,1,78125
攸,1,78125
；,1,78125
止,1,78125
虛,1,78125
輿,1,78125
辨,1,78125
廬,1,78125
變,1,78125
小,2,156250
長,1,78125
載,1,78125
厚,1,78125
尤,1,78125
終,2,156250
咎,1,78125
膚,1,78125
无,2,156250
滅,1,78125
安,1,78125
剛,1,78125
觀,1,78125
尚,1,78125
