Character, Abs. Freq., Rel. Freq.
害,2,144928
善,1,72464
大,7,507246
天,5,362319
初,1,72464
孚,1,72464
辨,1,72464
用,1,72464
；,2,144928
公,1,72464
文,1,72464
佑,1,72464
明,2,144928
交,2,144928
上,3,217391
載,1,72464
位,1,72464
小,1,72464
發,1,72464
人,1,72464
備,1,72464
火,1,72464
志,1,72464
元,1,72464
揚,1,72464
順,1,72464
吉,2,144928
晰,1,72464
亨,2,144928
遏,1,72464
柔,1,72464
中,2,144928
時,1,72464
彭,1,72464
命,1,72464
德,1,72464
積,1,72464
應,2,144928
厥,1,72464
无,3,217391
咎,1,72464
敗,1,72464
行,1,72464
威,1,72464
健,1,72464
休,1,72464
尊,1,72464
自,1,72464
信,1,72464
匪,1,72464
車,1,72464
剛,1,72464
惡,1,72464
君,1,72464
易,1,72464
