Character, Abs. Freq., Rel. Freq.
；,2,144928
疑,1,72464
吉,2,144928
為,1,72464
元,2,144928
道,1,72464
合,1,72464
損,8,579710
盈,1,72464
剛,1,72464
佑,1,72464
澤,1,72464
上,3,217391
喜,1,72464
君,1,72464
大,1,72464
往,2,144928
貞,2,144928
益,4,289855
窒,1,72464
山,1,72464
疾,1,72464
虛,1,72464
志,3,217391
事,1,72464
利,2,144928
享,1,72464
孚,1,72464
行,3,217391
偕,1,72464
尚,1,72464
人,1,72464
攸,1,72464
中,1,72464
欲,1,72464
咎,1,72464
遄,1,72464
？,1,72464
簋,2,144928
柔,1,72464
一,1,72464
曷,1,72464
无,1,72464
忿,1,72464
懲,1,72464
應,1,72464
時,3,217391
用,2,144928
自,1,72464
巳,1,72464
