Character, Abs. Freq., Rel. Freq.
稱,1,62893
地,3,188679
福,1,62893
卑,3,188679
多,1,62893
寡,1,62893
自,1,62893
害,1,62893
征,2,125786
天,2,125786
師,1,62893
亨,1,62893
侵,1,62893
中,2,125786
神,1,62893
尊,1,62893
踰,1,62893
用,2,125786
貞,1,62893
上,1,62893
志,1,62893
；,2,125786
盈,4,251572
牧,1,62893
民,1,62893
行,2,125786
濟,1,62893
物,1,62893
變,1,62893
流,1,62893
國,1,62893
終,1,62893
謙,13,817610
人,1,62893
伐,1,62893
明,1,62893
君,4,251572
施,1,62893
虧,1,62893
光,2,125786
惡,1,62893
好,1,62893
山,1,62893
撝,1,62893
服,2,125786
心,1,62893
鳴,2,125786
邑,1,62893
違,1,62893
益,2,125786
鬼,1,62893
吉,1,62893
利,2,125786
平,1,62893
裒,1,62893
萬,1,62893
道,5,314465
勞,1,62893
无,1,62893
