Character, Abs. Freq., Rel. Freq.
義,1,68027
賁,4,272109
舍,1,68027
位,1,68027
；,4,272109
无,3,204082
變,1,68027
貞,1,68027
察,1,68027
乘,1,68027
往,1,68027
化,1,68027
火,1,68027
婚,1,68027
興,1,68027
庶,1,68027
車,1,68027
亨,2,136054
咎,1,68027
成,1,68027
須,1,68027
疑,1,68027
君,1,68027
文,7,476190
志,1,68027
時,1,68027
寇,1,68027
白,1,68027
來,1,68027
止,1,68027
獄,1,68027
媾,1,68027
敢,1,68027
政,1,68027
喜,1,68027
攸,1,68027
人,2,136054
匪,1,68027
明,2,136054
小,1,68027
折,1,68027
徒,1,68027
陵,1,68027
利,1,68027
山,1,68027
尤,1,68027
吉,2,136054
永,1,68027
柔,2,136054
觀,2,136054
上,3,204082
天,3,204082
終,2,136054
剛,2,136054
分,1,68027
當,1,68027
