Character, Abs. Freq., Rel. Freq.
利,2,118343
犯,1,59172
光,1,59172
敬,2,118343
位,3,177515
正,2,118343
外,1,59172
我,1,59172
寇,1,59172
；,3,177515
樂,1,59172
孚,1,59172
川,1,59172
敗,1,59172
終,2,118343
須,1,59172
功,1,59172
險,1,59172
泥,1,59172
郊,1,59172
難,1,59172
言,1,59172
食,2,118343
前,1,59172
慎,1,59172
血,1,59172
剛,1,59172
沙,1,59172
雲,1,59172
聽,1,59172
酒,1,59172
天,2,118343
災,1,59172
窮,1,59172
衍,1,59172
咎,1,59172
吉,4,236686
當,1,59172
健,1,59172
順,1,59172
義,1,59172
亨,1,59172
來,1,59172
速,1,59172
往,1,59172
大,2,118343
失,2,118343
行,1,59172
上,1,59172
君,1,59172
用,1,59172
陷,1,59172
需,7,414201
无,1,59172
客,1,59172
中,3,177515
宴,1,59172
涉,1,59172
常,1,59172
自,1,59172
困,1,59172
恆,1,59172
飲,1,59172
貞,2,118343
小,1,59172
致,1,59172
