Character, Abs. Freq., Rel. Freq.
失,1,69444
剛,2,138889
鼎,6,416667
玉,1,69444
我,1,69444
正,1,69444
明,1,69444
人,1,69444
耳,3,208333
命,1,69444
慎,1,69444
賢,1,69444
；,1,69444
享,1,69444
進,1,69444
亨,4,277778
養,1,69444
實,2,138889
无,1,69444
從,1,69444
否,1,69444
行,1,69444
公,1,69444
大,1,69444
為,1,69444
上,4,277778
目,1,69444
中,2,138889
火,2,138889
巽,2,138889
聖,2,138889
餗,1,69444
節,1,69444
飪,1,69444
貴,1,69444
終,1,69444
凝,1,69444
元,1,69444
木,2,138889
黃,1,69444
聰,1,69444
象,1,69444
顛,1,69444
帝,1,69444
義,1,69444
尤,1,69444
仇,1,69444
利,1,69444
應,1,69444
趾,1,69444
革,1,69444
疾,1,69444
悖,1,69444
位,1,69444
信,1,69444
柔,2,138889
覆,1,69444
君,1,69444
鉉,1,69444
