Character, Abs. Freq., Rel. Freq.
成,12,6743
祿,6,3372
林,8,4495
良,10,5619
孟,2,1124
吉,2,1124
官,12,6743
敢,4,2248
觀,6,3372
祀,68,38211
及,78,43830
柏,2,1124
具,4,2248
軹,2,1124
廄,8,4495
巡,18,10115
輸,2,1124
地,32,17982
異,4,2248
立,6,3372
教,22,12362
阻,6,3372
殳,2,1124
蓋,2,1124
枚,2,1124
里,56,31468
賤,4,2248
分,14,7867
達,18,10115
墓,2,1124
駣,2,1124
使,38,21353
坐,10,5619
麗,6,3372
隸,6,3372
數,22,12362
辭,2,1124
閱,2,1124
軍,74,41582
撲,2,1124
授,28,15734
祖,4,2248
枲,2,1124
惡,4,2248
御,8,4495
辜,6,3372
朝,30,16858
戎,20,11238
羽,2,1124
日,10,5619
易,4,2248
青,2,1124
聽,10,5619
遽,2,1124
布,10,5619
聲,2,1124
虞,4,2248
；,254,142729
肆,4,2248
金,10,5619
賁,14,7867
河,10,5619
訓,6,3372
茨,2,1124
除,6,3372
寢,10,5619
量,14,7867
蠻,6,3372
獼,2,1124
圃,2,1124
校,14,7867
會,40,22477
外,46,25849
茢,2,1124
無,22,12362
遷,2,1124
從,32,17982
餘,2,1124
司,120,67431
葬,4,2248
哭,6,3372
職,22,12362
鼎,2,1124
弩,16,8991
參,6,3372
犯,10,5619
旅,42,23601
振,16,8991
東,16,8991
勇,2,1124
稍,4,2248
冬,8,4495
弒,2,1124
蒞,4,2248
沐,2,1124
暴,2,1124
抗,2,1124
賦,2,1124
茀,2,1124
敦,2,1124
礿,2,1124
萊,6,3372
粥,2,1124
為,52,29220
擯,6,3372
卜,2,1124
禳,4,2248
藪,18,10115
語,2,1124
云,2,1124
勞,14,7867
箭,2,1124
鼙,6,3372
吊,8,4495
政,50,28096
搏,2,1124
匡,6,3372
大,204,114633
士,216,121376
主,8,4495
摯,4,2248
考,8,4495
福,2,1124
陪,4,2248
鎮,22,12362
常,12,6743
倅,8,4495
祈,4,2248
衣,2,1124
內,12,6743
膳,4,2248
養,16,8991
周,8,4495
閩,2,1124
疆,6,3372
計,2,1124
宜,38,21353
蒙,2,1124
盟,4,2248
行,36,20229
車,106,59564
徐,2,1124
牲,34,19105
廟,2,1124
杜,2,1124
系,6,3372
鼜,2,1124
師,58,32592
罪,2,1124
騋,2,1124
魏,2,1124
好,2,1124
熊,2,1124
牛,6,3372
海,2,1124
秋,12,6743
禁,16,8991
任,10,5619
辟,2,1124
極,2,1124
望,2,1124
擊,2,1124
史,92,51697
羅,12,6743
圖,4,2248
律,2,1124
斂,6,3372
將,8,4495
割,4,2248
馬,208,116880
齊,20,11238
耦,10,5619
駒,8,4495
高,2,1124
賢,4,2248
甲,16,8991
恒,4,2248
候,6,3372
期,2,1124
圍,4,2248
川,30,16858
冀,2,1124
德,4,2248
右,42,23601
抉,2,1124
久,2,1124
左,26,14610
固,14,7867
多,2,1124
豻,4,2248
帥,36,20229
形,4,2248
建,20,11238
訟,4,2248
延,2,1124
宅,2,1124
嘔,2,1124
沂,4,2248
節,24,13486
獲,14,7867
衍,2,1124
隅,2,1124
幣,6,3372
藝,2,1124
廞,4,2248
柩,2,1124
岱,2,1124
毛,4,2248
家,20,11238
庳,2,1124
沸,2,1124
晉,4,2248
區,2,1124
北,14,7867
瑉,2,1124
闔,2,1124
質,14,7867
壙,2,1124
揚,6,3372
試,2,1124
人,622,349517
侯,50,28096
狄,2,1124
祊,2,1124
鳩,2,1124
弓,52,29220
蓐,2,1124
盾,24,13486
天,16,8991
因,2,1124
勛,10,5619
盧,2,1124
充,8,4495
儀,28,15734
笄,6,3372
丹,2,1124
轡,6,3372
親,2,1124
壘,2,1124
纮,2,1124
軓,2,1124
貴,4,2248
閑,14,7867
城,6,3372
趣,10,5619
燔,2,1124
埽,2,1124
撰,2,1124
疫,2,1124
喪,42,23601
氏,56,31468
溝,6,3372
平,14,7867
土,12,6743
卻,2,1124
攻,8,4495
疾,8,4495
苛,2,1124
擾,12,6743
卿,32,17982
惟,6,3372
魚,8,4495
佐,10,5619
泲,4,2248
銘,2,1124
冕,10,5619
速,2,1124
句,2,1124
蘋,2,1124
浸,18,10115
敬,6,3372
黃,4,2248
民,60,33715
讀,2,1124
脯,2,1124
前,26,14610
命,20,11238
安,2,1124
余,2,1124
戒,32,17982
等,24,13486
貢,8,4495
春,22,12362
設,18,10115
展,2,1124
郁,2,1124
湛,2,1124
軷,6,3372
拾,2,1124
宗,2,1124
原,8,4495
晝,2,1124
綦,2,1124
貫,2,1124
游,2,1124
制,16,8991
殽,2,1124
銜,2,1124
執,44,24725
否,2,1124
害,8,4495
失,2,1124
七,8,4495
爟,6,3372
遣,4,2248
食,26,14610
半,2,1124
搜,6,3372
銀,2,1124
兵,34,19105
兗,2,1124
巫,4,2248
鄙,12,6743
奉,6,3372
男,24,13486
霍,2,1124
野,20,11238
種,16,8991
實,2,1124
夕,2,1124
雍,2,1124
珥,4,2248
陵,6,3372
器,14,7867
國,148,83165
崩,2,1124
桃,2,1124
中,100,56192
尸,4,2248
救,6,3372
滅,2,1124
益,2,1124
畚,2,1124
同,36,20229
乏,2,1124
服,46,25849
鍭,2,1124
來,2,1124
羊,20,11238
移,2,1124
輿,4,2248
享,4,2248
役,12,6743
淫,2,1124
雒,2,1124
待,10,5619
徵,2,1124
衡,2,1124
重,2,1124
盥,4,2248
麥,2,1124
虎,10,5619
蒲,6,3372
乘,30,16858
路,36,20229
置,2,1124
鹽,2,1124
椹,6,3372
止,12,6743
池,4,2248
蹕,2,1124
變,2,1124
自,6,3372
鄉,10,5619
綱,2,1124
均,4,2248
咸,2,1124
奠,4,2248
式,2,1124
邸,2,1124
貳,8,4495
伯,2,1124
度,2,1124
修,10,5619
特,8,4495
戰,16,8991
傳,6,3372
荒,2,1124
諸,40,22477
用,42,23601
圭,2,1124
甸,4,2248
女,18,10115
耳,8,4495
新,2,1124
獸,16,8991
他,4,2248
葛,2,1124
善,2,1124
書,14,7867
死,4,2248
蠶,2,1124
璧,2,1124
孤,22,12362
州,28,15734
散,6,3372
頒,30,16858
皂,6,3372
蘩,2,1124
歲,10,5619
適,4,2248
版,2,1124
誓,4,2248
穀,20,11238
射,74,41582
屬,18,10115
牽,2,1124
獻,28,15734
潁,2,1124
騶,2,1124
紀,8,4495
渠,4,2248
雞,2,1124
守,44,24725
挾,2,1124
熒,2,1124
繕,6,3372
駭,2,1124
位,26,14610
初,4,2248
裘,2,1124
汭,2,1124
敘,2,1124
沃,4,2248
險,6,3372
弦,2,1124
弊,16,8991
潞,2,1124
墻,2,1124
鐲,10,5619
沈,4,2248
作,36,20229
茇,2,1124
駕,4,2248
監,2,1124
楊,2,1124
發,2,1124
采,18,10115
利,34,19105
通,10,5619
駑,8,4495
珍,4,2248
合,24,13486
樹,8,4495
治,34,19105
察,2,1124
介,8,4495
禽,16,8991
夷,8,4495
幽,2,1124
存,2,1124
舞,8,4495
事,82,46078
賈,14,7867
季,4,2248
小,36,20229
皁,2,1124
歸,2,1124
裳,2,1124
狂,2,1124
聚,2,1124
封,8,4495
醫,6,3372
張,4,2248
逆,20,11238
令,66,37087
飲,10,5619
鉞,2,1124
紐,2,1124
方,110,61812
《,12,6743
羔,4,2248
就,6,3372
闋,2,1124
景,2,1124
覲,10,5619
昭,4,2248
每,2,1124
淶,2,1124
蠟,2,1124
挈,10,5619
側,2,1124
厲,2,1124
興,2,1124
夜,8,4495
厭,2,1124
群,28,15734
列,2,1124
俎,4,2248
環,8,4495
工,6,3372
弁,16,8991
買,2,1124
宰,2,1124
萬,8,4495
門,20,11238
表,20,11238
松,2,1124
共,26,14610
旗,22,12362
衛,4,2248
退,12,6743
老,2,1124
難,2,1124
矰,6,3372
翦,2,1124
登,8,4495
田,44,24725
齒,4,2248
漳,2,1124
胥,60,33715
序,4,2248
湖,2,1124
黍,4,2248
玉,22,12362
豫,2,1124
「,4,2248
南,12,6743
龍,2,1124
疏,2,1124
虖,2,1124
諭,2,1124
府,62,34839
阜,4,2248
澤,24,13486
衰,2,1124
齎,4,2248
送,8,4495
掌,212,119128
岳,2,1124
畿,26,14610
泗,2,1124
卵,2,1124
鸞,2,1124
畜,24,13486
！,4,2248
施,6,3372
韋,2,1124
賓,30,16858
袞,2,1124
賜,6,3372
稻,6,3372
酌,2,1124
豆,4,2248
損,2,1124
祭,100,56192
刑,4,2248
皮,10,5619
羞,8,4495
燕,14,7867
廋,4,2248
鳴,6,3372
罰,6,3372
糧,2,1124
離,2,1124
庌,2,1124
山,44,24725
玄,4,2248
眚,2,1124
正,68,38211
箙,12,6743
斝,2,1124
徒,132,74174
樂,12,6743
》,12,6743
屯,2,1124
绖,6,3372
化,2,1124
穆,2,1124
苗,2,1124
弧,2,1124
江,4,2248
貉,6,3372
明,4,2248
伍,10,5619
宮,10,5619
館,2,1124
隰,2,1124
降,2,1124
各,28,15734
物,58,32592
志,4,2248
員,2,1124
涇,2,1124
渭,2,1124
吏,18,10115
一,92,51697
壇,2,1124
塞,2,1124
遇,2,1124
烝,4,2248
誦,4,2248
遠,4,2248
規,8,4495
居,8,4495
講,2,1124
巷,2,1124
墳,2,1124
舍,14,7867
植,4,2248
貕,2,1124
刺,2,1124
矢,62,34839
匹,2,1124
籠,4,2248
旃,2,1124
財,14,7867
仆,54,30344
功,32,17982
知,8,4495
馌,2,1124
夏,10,5619
殺,4,2248
委,2,1124
代,2,1124
徇,4,2248
爨,2,1124
室,2,1124
鐃,8,4495
走,4,2248
公,28,15734
尺,6,3372
菑,2,1124
溠,2,1124
王,150,84289
秉,2,1124
旟,2,1124
首,6,3372
雁,2,1124
窮,2,1124
比,12,6743
翣,2,1124
戈,24,13486
闕,12,6743
揖,10,5619
祁,2,1124
馭,40,22477
縣,12,6743
淮,2,1124
并,6,3372
馳,4,2248
月,4,2248
瞢,2,1124
漢,2,1124
錫,2,1124
力,4,2248
汾,2,1124
稽,6,3372
藩,6,3372
輕,2,1124
竟,4,2248
懷,4,2248
躁,2,1124
飾,12,6743
釁,8,4495
殷,2,1124
卒,16,8991
西,8,4495
名,22,12362
遂,16,8991
徹,2,1124
說,4,2248
警,2,1124
絲,2,1124
爵,10,5619
君,2,1124
水,4,2248
致,30,16858
旌,6,3372
維,8,4495
槁,6,3372
寡,2,1124
誅,10,5619
時,14,7867
造,6,3372
社,10,5619
營,6,3372
藥,2,1124
法,60,33715
襦,2,1124
反,4,2248
輪,2,1124
積,4,2248
驟,2,1124
壺,10,5619
藏,6,3372
還,2,1124
歷,2,1124
詰,2,1124
薺,2,1124
灑,2,1124
受,26,14610
選,2,1124
佚,2,1124
井,2,1124
千,10,5619
契,2,1124
進,14,7867
臣,8,4495
亂,2,1124
斬,6,3372
肉,2,1124
：,284,159586
稷,6,3372
聞,2,1124
邦,64,35963
絜,2,1124
籍,2,1124
容,8,4495
呼,2,1124
摝,2,1124
鐸,14,7867
漆,2,1124
鳥,26,14610
