Character, Abs. Freq., Rel. Freq.
民,10,31908
陸,4,12763
地,6,19145
殘,2,6382
惡,2,6382
力,4,12763
受,2,6382
壺,4,12763
患,8,25526
罪,14,44671
姓,4,12763
臣,10,31908
金,6,19145
即,2,6382
果,2,6382
食,6,19145
移,2,6382
徹,2,6382
運,2,6382
甬,2,6382
諸,2,6382
吳,24,76579
牙,2,6382
舟,6,19145
命,6,19145
面,4,12763
帶,4,12763
士,12,38290
埋,2,6382
伐,2,6382
國,38,121251
譬,2,6382
偶,2,6382
目,2,6382
身,4,12763
？,14,44671
收,2,6382
嫁,2,6382
成,8,25526
議,2,6382
疾,2,6382
服,6,19145
鄞,2,6382
請,20,63816
歸,4,12763
上,6,19145
及,4,12763
安,4,12763
旱,2,6382
匹,2,6382
俱,2,6382
美,6,19145
時,2,6382
環,2,6382
賀,2,6382
待,2,6382
；,10,31908
甲,6,19145
迎,2,6382
使,6,19145
勸,2,6382
敢,4,12763
游,2,6382
貧,2,6382
兒,2,6382
方,6,19145
報,6,19145
我,4,12763
厲,2,6382
宸,2,6382
宋,2,6382
失,4,12763
退,8,25526
聞,16,51053
皮,2,6382
師,6,19145
養,4,12763
敗,6,19145
私,2,6382
廣,2,6382
西,2,6382
宰,4,12763
節,2,6382
絺,2,6382
政,6,19145
汝,4,12763
雨,2,6382
畢,2,6382
諫,4,12763
死,12,38290
七,2,6382
蕃,2,6382
豚,2,6382
沈,2,6382
生,10,31908
往,2,6382
飯,2,6382
沒,2,6382
胥,2,6382
傷,4,12763
寶,2,6382
軍,2,6382
事,6,19145
踐,20,63816
戰,8,25526
勇,2,6382
稻,2,6382
辭,2,6382
織,2,6382
蓑,2,6382
水,10,31908
御,2,6382
姑,4,12763
宦,4,12763
冬,2,6382
百,6,19145
江,4,12763
居,10,31908
求,6,19145
將,18,57435
賂,4,12763
郊,2,6382
從,4,12763
非,6,19145
周,2,6382
讎,6,19145
賞,4,12763
黨,2,6382
仇,4,12763
補,2,6382
寡,36,114869
言,2,6382
行,12,38290
蔑,2,6382
焚,2,6382
侯,2,6382
盡,2,6382
暴,2,6382
泣,2,6382
骨,2,6382
人,56,178685
疹,2,6382
勝,4,12763
棲,4,12763
進,8,25526
免,2,6382
愿,4,12763
禮,4,12763
今,14,44671
古,6,19145
摩,2,6382
稷,2,6382
納,4,12763
志,4,12763
社,2,6382
憂,4,12763
弊,2,6382
恥,10,31908
敵,2,6382
句,24,76579
孥,2,6382
『,2,6382
庸,2,6382
太,4,12763
兄,10,31908
當,2,6382
妻,4,12763
飽,2,6382
利,6,19145
老,4,12763
復,2,6382
吾,22,70198
猶,2,6382
欲,6,19145
寧,2,6382
馬,2,6382
中,2,6382
丈,4,12763
帥,4,12763
更,2,6382
載,2,6382
賈,2,6382
旅,4,12763
說,2,6382
來,4,12763
年,6,19145
卑,2,6382
共,2,6382
赦,4,12763
爪,2,6382
昔,6,19145
孤,2,6382
執,6,19145
婦,8,25526
潔,2,6382
女,22,70198
種,6,19145
宗,4,12763
擇,2,6382
資,8,25526
哺,2,6382
令,12,38290
吊,2,6382
名,2,6382
左,2,6382
予,4,12763
乏,4,12763
號,2,6382
喜,2,6382
無,34,108488
父,20,63816
秦,2,6382
會,4,12763
許,2,6382
千,4,12763
聲,2,6382
少,4,12763
為,8,25526
公,6,19145
右,2,6382
茍,4,12763
酒,4,12763
支,2,6382
攻,4,12763
達,4,12763
愛,2,6382
前,2,6382
囿,2,6382
原,2,6382
八,2,6382
娶,2,6382
悔,2,6382
遂,4,12763
！,4,12763
衣,4,12763
萬,2,6382
啜,2,6382
改,2,6382
夏,2,6382
差,16,51053
昆,4,12763
忘,2,6382
』,2,6382
乘,4,12763
億,2,6382
笠,2,6382
孺,2,6382
壯,4,12763
封,2,6382
守,2,6382
致,6,19145
：,36,114869
葬,4,12763
母,12,38290
賢,4,12763
邑,2,6382
思,8,25526
「,34,108488
視,2,6382
助,4,12763
里,2,6382
勉,6,19145
大,10,31908
南,2,6382
手,2,6382
殺,2,6382
王,12,38290
告,2,6382
東,4,12763
嚭,6,19145
君,50,159541
廟,6,19145
釋,4,12763
義,2,6382
辱,8,25526
玉,6,19145
徒,6,19145
常,4,12763
犀,2,6382
聽,6,19145
露,2,6382
系,2,6382
宇,2,6382
弟,6,19145
一,4,12763
孰,4,12763
用,2,6382
車,4,12763
親,2,6382
謀,8,25526
內,2,6382
越,34,108488
北,2,6382
稽,4,12763
飾,2,6382
滅,8,25526
月,2,6382
誓,4,12763
天,12,38290
」,32,102106
哭,2,6382
器,2,6382
余,2,6382
問,2,6382
脂,2,6382
對,6,19145
壹,2,6382
刑,4,12763
知,6,19145
犬,2,6382
員,2,6382
醫,2,6382
室,4,12763
餼,2,6382
