Character, Abs. Freq., Rel. Freq.
道,2,58480
佐,2,58480
隊,2,58480
鑿,2,58480
決,4,116959
謹,2,58480
力,2,58480
及,2,58480
地,6,175439
瓦,2,58480
船,8,233918
瞀,2,58480
質,2,58480
深,4,116959
漏,2,58480
步,2,58480
八,2,58480
令,4,116959
水,8,233918
疾,2,58480
塹,2,58480
內,6,175439
材,4,116959
異,2,58480
善,2,58480
備,2,58480
丈,2,58480
父,2,58480
視,4,116959
機,2,58480
射,2,58480
廣,2,58480
共,2,58480
耳,4,116959
周,2,58480
選,2,58480
鞮,2,58480
上,4,116959
井,2,58480
母,2,58480
並,2,58480
轀,4,116959
城,8,233918
為,12,350877
弩,2,58480
中,4,116959
轒,4,116959
亓,6,175439
食,2,58480
甲,2,58480
外,6,175439
計,2,58480
置,2,58480
苗,2,58480
養,2,58480
泉,2,58480
高,2,58480
舍,2,58480
劍,2,58480
穿,2,58480
臨,6,175439
擅,6,175439
方,4,116959
度,2,58480
一,2,58480
妻,2,58480
旁,2,58480
偏,2,58480
隄,2,58480
士,4,116959
人,14,409357
