Character, Abs. Freq., Rel. Freq.
柰,2,23753
系,2,23753
徑,2,23753
吾,2,23753
各,2,23753
奇,2,23753
端,2,23753
：,4,47506
俱,6,71259
守,4,47506
再,4,47506
縳,2,23753
荅,2,23753
屬,2,23753
居,2,23753
左,12,142518
橫,2,23753
敢,2,23753
將,2,23753
奴,2,23753
稱,2,23753
軸,4,47506
大,8,95012
外,2,23753
拜,4,47506
寇,2,23753
墨,2,23753
七,2,23753
兵,2,23753
鈞,2,23753
一,8,95012
蒙,2,23753
重,4,47506
巨,2,23753
羊,10,118765
臨,6,71259
為,12,142518
櫓,2,23753
上,10,118765
寸,20,237530
主,2,23753
圜,2,23753
旁,2,23753
郭,2,23753
禽,2,23753
厚,8,95012
磿,2,23753
銅,2,23753
人,6,71259
黔,10,118765
戈,2,23753
兩,2,23753
勝,2,23753
藉,2,23753
蚤,2,23753
圍,4,47506
連,4,47506
引,2,23753
前,4,47506
「,4,47506
高,8,95012
小,2,23753
尺,22,261283
弩,18,213777
道,2,23753
積,2,23753
用,4,47506
器,2,23753
備,2,23753
箭,2,23753
衡,4,47506
枚,2,23753
口,4,47506
長,10,118765
卷,2,23753
留,2,23753
遂,4,47506
車,4,47506
具,2,23753
機,4,47506
材,4,47506
拙,2,23753
」,2,23753
詘,2,23753
無,4,47506
行,2,23753
儀,2,23753
齊,4,47506
城,14,166271
同,2,23753
技,2,23753
植,8,95012
八,2,23753
右,12,142518
筐,16,190024
矢,10,118765
勞,2,23753
薄,2,23753
半,2,23753
鹿,4,47506
薪,2,23753
鉤,6,71259
方,6,71259
問,4,47506
攻,2,23753
臂,8,95012
射,6,71259
？,4,47506
敗,2,23753
害,2,23753
邪,2,23753
羅,2,23753
內,4,47506
強,2,23753
樓,2,23753
適,2,23753
輪,6,71259
繩,2,23753
石,4,47506
武,2,23753
臺,2,23753
土,4,47506
距,6,71259
博,4,47506
收,2,23753
數,2,23753
中,2,23753
卒,2,23753
弦,8,95012
