Character, Abs. Freq., Rel. Freq.
分,2,2737
寡,4,5473
宜,4,5473
煦,2,2737
盈,10,13684
尾,4,5473
循,2,2737
酒,8,10947
右,4,5473
明,4,5473
吾,10,13684
收,6,8210
自,6,8210
任,4,5473
斫,2,2737
極,4,5473
載,4,5473
物,8,10947
拒,2,2737
敗,2,2737
意,8,10947
仵,2,2737
壽,2,2737
據,2,2737
金,6,8210
』,8,10947
劫,2,2737
衡,8,10947
繪,4,5473
力,8,10947
前,16,21894
吉,2,2737
廣,2,2737
王,2,2737
麋,10,13684
負,2,2737
后,4,5473
北,6,8210
鳥,2,2737
通,2,2737
關,2,2737
傳,2,2737
親,4,5473
利,16,21894
標,6,8210
知,8,10947
夾,4,5473
疑,8,10947
方,14,19157
上,20,27367
魚,2,2737
嫁,2,2737
擢,2,2737
務,2,2737
富,2,2737
戰,2,2737
我,16,21894
當,16,21894
商,2,2737
宇,10,13684
名,14,19157
撓,4,5473
異,12,16420
柱,2,2737
靡,2,2737
餘,2,2737
虐,4,5473
施,4,5473
合,8,10947
固,6,8210
觭,2,2737
愛,26,35577
請,2,2737
文,26,35577
殿,6,8210
絕,8,10947
目,12,16420
屨,6,8210
陷,2,2737
無,96,131363
柂,4,5473
色,8,10947
反,2,2737
小,20,27367
罪,2,2737
沈,4,5473
類,6,8210
鬥,6,8210
引,8,10947
殺,2,2737
連,2,2737
缶,4,5473
獸,2,2737
景,48,65681
假,8,10947
間,2,2737
治,6,8210
兩,12,16420
古,8,10947
鑠,2,2737
握,2,2737
給,4,5473
非,70,95785
氏,2,2737
逃,2,2737
偏,10,13684
瑟,4,5473
左,2,2737
「,32,43788
薄,2,2737
益,8,10947
路,2,2737
抬,2,2737
賈,8,10947
適,6,8210
參,2,2737
論,6,8210
體,2,2737
欲,10,13684
死,6,8210
諸,2,2737
門,2,2737
楹,4,5473
逢,4,5473
膠,2,2737
衣,4,5473
橫,2,2737
室,12,16420
誰,6,8210
貌,6,8210
事,2,2737
貴,4,5473
猶,20,27367
堯,8,10947
尒,2,2737
誖,8,10947
常,2,2737
己,2,2737
肝,2,2737
錐,4,5473
刀,10,13684
首,2,2737
正,28,38314
識,2,2737
生,8,10947
㢓,4,5473
輲,2,2737
友,2,2737
徙,4,5473
爵,2,2737
傴,2,2737
說,10,13684
度,4,5473
應,12,16420
告,4,5473
喪,2,2737
臣,2,2737
中,30,41051
橘,2,2737
寒,2,2737
視,16,21894
黑,4,5473
夏,2,2737
犬,10,13684
長,26,35577
買,4,5473
車,2,2737
仁,6,8210
府,2,2737
直,12,16420
弦,6,8210
雜,2,2737
為,48,65681
士,2,2737
繩,8,10947
起,2,2737
臧,4,5473
暴,2,2737
粟,4,5473
杝,2,2737
戈,2,2737
沛,2,2737
臛,2,2737
校,4,5473
削,2,2737
歲,4,5473
炭,2,2737
同,16,21894
就,2,2737
山,2,2737
遂,2,2737
修,8,10947
；,36,49261
脾,4,5473
麗,6,8210
令,2,2737
外,12,16420
廬,2,2737
半,8,10947
窮,24,32841
讎,6,8210
殆,2,2737
進,4,5473
毋,4,5473
遠,18,24631
尺,6,8210
久,10,13684
加,6,8210
淺,6,8210
見,20,27367
深,2,2737
入,4,5473
縣,8,10947
包,2,2737
平,2,2737
人,50,68418
和,6,8210
傷,8,10947
今,22,30104
南,10,13684
水,4,5473
愈,8,10947
權,8,10947
成,8,10947
周,2,2737
堅,8,10947
問,22,30104
甚,6,8210
招,2,2737
病,2,2737
本,2,2737
數,16,21894
地,4,5473
用,10,13684
工,4,5473
敝,6,8210
獨,6,8210
法,4,5473
緣,2,2737
言,4,5473
𧈳,22,30104
執,2,2737
愚,4,5473
盡,44,60208
損,6,8210
息,4,5473
馬,50,68418
勝,10,13684
狗,12,16420
聲,2,2737
時,2,2737
止,10,13684
熱,4,5473
否,2,2737
民,4,5473
荊,6,8210
廢,4,5473
射,2,2737
臨,2,2737
輕,12,16420
霍,16,21894
敷,6,8210
邦,2,2737
鬻,4,5473
旁,6,8210
茅,2,2737
審,2,2737
倍,4,5473
段,2,2737
光,20,27367
短,12,16420
教,8,10947
屢,4,5473
離,6,8210
高,10,13684
牛,64,87575
從,2,2737
勇,2,2737
堂,6,8210
軍,2,2737
飲,2,2737
日,8,10947
功,2,2737
流,4,5473
糴,10,13684
端,6,8210
易,10,13684
燭,2,2737
絲,6,8210
飽,4,5473
履,2,2737
義,8,10947
一,40,54735
存,18,24631
火,20,27367
角,8,10947
椎,6,8210
土,2,2737
重,38,51998
相,24,32841
夜,2,2737
誹,24,32841
兵,2,2737
狂,6,8210
舟,2,2737
」,32,43788
讓,6,8210
挈,18,24631
唱,6,8210
粺,2,2737
實,10,13684
多,16,21894
美,8,10947
捶,2,2737
徑,2,2737
？,32,43788
內,10,13684
耳,4,5473
城,2,2737
髮,4,5473
梯,6,8210
智,126,172414
食,2,2737
難,8,10947
交,2,2737
使,26,35577
刺,2,2737
：,136,186097
厚,2,2737
害,8,10947
石,20,27367
輿,2,2737
均,8,10947
『,8,10947
惟,16,21894
倚,4,5473
木,20,27367
奪,2,2737
羽,2,2737
鑒,34,46524
洋,2,2737
軲,4,5473
惡,8,10947
聞,4,5473
遺,4,5473
予,2,2737
主,6,8210
俱,32,43788
辯,4,5473
肺,2,2737
箴,2,2737
字,2,2737
兼,2,2737
處,14,19157
理,4,5473
天,2,2737
學,12,16420
少,6,8210
行,16,21894
舉,26,35577
齒,4,5473
近,18,24631
巧,4,5473
白,24,32841
大,22,30104
春,4,5473
嘗,2,2737
壘,2,2737
臭,4,5473
亡,6,8210
澤,2,2737
制,2,2737
善,8,10947
輪,4,5473
變,12,16420
摶,4,5473
報,2,2737
秋,2,2737
指,20,27367
懼,4,5473
孰,14,19157
